# wave[microns]    norm_trans
  2.9999998E-01    0.0000000E+00
  3.0500001E-01    1.6000001E-02
  3.1000000E-01    6.8000004E-02
  3.1500000E-01    1.6700000E-01
  3.1999999E-01    2.8700000E-01
  3.2499999E-01    4.2300001E-01
  3.2999998E-01    5.6000000E-01
  3.3499998E-01    6.7299998E-01
  3.4000000E-01    7.7200001E-01
  3.4500000E-01    8.4100002E-01
  3.4999999E-01    9.0499997E-01
  3.5499999E-01    9.4300002E-01
  3.5999998E-01    9.8100001E-01
  3.6499998E-01    9.9299997E-01
  3.7000000E-01    1.0000000E+00
  3.7500000E-01    9.8900002E-01
  3.8000000E-01    9.1600001E-01
  3.8499999E-01    8.0400002E-01
  3.8999999E-01    6.2500000E-01
  3.9499998E-01    4.2300001E-01
  3.9999998E-01    2.3800001E-01
  4.0500000E-01    1.1400000E-01
  4.1000000E-01    5.0999999E-02
  4.1499999E-01    1.8999999E-02
  4.1999999E-01    0.0000000E+00
