# wave[microns]    norm_trans
  4.7000000E-01    0.0000000E+00
  4.7999999E-01    2.9999999E-02
  4.8999998E-01    1.6300000E-01
  5.0000000E-01    4.5800000E-01
  5.0999999E-01    7.7999997E-01
  5.1999998E-01    9.6700001E-01
  5.2999997E-01    1.0000000E+00
  5.3999996E-01    9.7299999E-01
  5.5000001E-01    8.9800000E-01
  5.6000000E-01    7.9200000E-01
  5.6999999E-01    6.8400002E-01
  5.7999998E-01    5.7400000E-01
  5.8999997E-01    4.6100000E-01
  5.9999996E-01    3.5900000E-01
  6.1000001E-01    2.7000001E-01
  6.2000000E-01    1.9700000E-01
  6.3000000E-01    1.3500001E-01
  6.3999999E-01    8.1000000E-02
  6.4999998E-01    4.5000002E-02
  6.5999997E-01    2.5000000E-02
  6.6999996E-01    1.7000001E-02
  6.8000001E-01    1.3000000E-02
  6.9000000E-01    8.9999996E-03
  6.9999999E-01    0.0000000E+00
