# wave[microns]    norm_trans
  1.8000000E+00    0.0000000E+00
  1.8499999E+00    1.0000000E-01
  1.9000000E+00    4.7999999E-01
  1.9499999E+00    9.4999999E-01
  2.0000000E+00    1.0000000E+00
  2.0500000E+00    9.8000002E-01
  2.0999999E+00    9.5999998E-01
  2.1499999E+00    9.4999999E-01
  2.2000000E+00    9.7000003E-01
  2.2500000E+00    9.5999998E-01
  2.3000000E+00    9.4000000E-01
  2.3499999E+00    9.4999999E-01
  2.3999999E+00    9.4999999E-01
  2.4500000E+00    8.3999997E-01
  2.5000000E+00    4.6000001E-01
  2.5500000E+00    7.9999998E-02
  2.5999999E+00    0.0000000E+00
