# wave[microns]    norm_trans
  5.1999998E-01    0.0000000E+00
  5.3999996E-01    5.9999999E-02
  5.6000000E-01    2.8000000E-01
  5.7999998E-01    5.0000000E-01
  5.9999996E-01    6.9000000E-01
  6.2000000E-01    7.9000002E-01
  6.3999999E-01    8.8000000E-01
  6.5999997E-01    9.4000000E-01
  6.8000001E-01    9.8000002E-01
  6.9999999E-01    1.0000000E+00
  7.1999997E-01    9.4000000E-01
  7.4000001E-01    8.5000002E-01
  7.5999999E-01    7.3000002E-01
  7.7999997E-01    5.6999999E-01
  7.9999995E-01    4.1999999E-01
  8.1999999E-01    3.1000000E-01
  8.3999997E-01    1.7000000E-01
  8.5999995E-01    1.1000000E-01
  8.8000000E-01    5.9999999E-02
  8.9999998E-01    3.9999999E-02
  9.1999996E-01    2.0000000E-02
  9.4000000E-01    9.9999998E-03
  9.5999998E-01    0.0000000E+00
