# wave[microns]    norm_trans
  4.5999998E-01    0.0000000E+00
  4.7999999E-01    2.0408163E-02
  5.0000000E-01    3.8775510E-01
  5.1999998E-01    9.2857146E-01
  5.3999996E-01    1.0000000E+00
  5.6000000E-01    7.3469388E-01
  5.7999998E-01    6.3265306E-01
  5.9999996E-01    4.0816325E-01
  6.2000000E-01    2.0408162E-01
  6.3999999E-01    8.1632651E-02
  6.5999997E-01    2.0408163E-02
  6.8000001E-01    1.0204081E-02
  6.9999999E-01    1.0204081E-02
  7.1999997E-01    1.0204081E-02
  7.4000001E-01    0.0000000E+00
