# wave[microns]    norm_trans
  7.5739998E-01    1.5476338E-05
  7.5749999E-01    1.5591606E-05
  7.5760001E-01    1.5706772E-05
  7.5769997E-01    1.5821906E-05
  7.5779998E-01    1.5936937E-05
  7.5790000E-01    1.6051916E-05
  7.5799996E-01    1.6166790E-05
  7.5809997E-01    1.6281972E-05
  7.5819999E-01    1.6397134E-05
  7.5830001E-01    1.6512196E-05
  7.5839996E-01    1.6627213E-05
  7.5849998E-01    1.6742131E-05
  7.5860000E-01    1.6857002E-05
  7.5869995E-01    1.6971775E-05
  7.5879997E-01    1.7086499E-05
  7.5889999E-01    1.7201128E-05
  7.5900000E-01    1.7315710E-05
  7.5909996E-01    1.7429691E-05
  7.5919998E-01    1.7543567E-05
  7.5929999E-01    1.7657365E-05
  7.5940001E-01    1.7771055E-05
  7.5949997E-01    1.7884719E-05
  7.5959998E-01    1.7998251E-05
  7.5970000E-01    1.8111756E-05
  7.5979996E-01    1.8225213E-05
  7.5989997E-01    1.8338533E-05
  7.5999999E-01    1.8451748E-05
  7.6010001E-01    1.8742458E-05
  7.6019996E-01    1.9032916E-05
  7.6029998E-01    1.9323063E-05
  7.6040000E-01    1.9612869E-05
  7.6049995E-01    1.9902342E-05
  7.6059997E-01    2.0191528E-05
  7.6069999E-01    2.0480438E-05
  7.6080000E-01    2.0768975E-05
  7.6089996E-01    2.1057271E-05
  7.6099998E-01    2.1345255E-05
  7.6109999E-01    2.1632259E-05
  7.6119995E-01    2.1919039E-05
  7.6129997E-01    2.2205428E-05
  7.6139998E-01    2.2491493E-05
  7.6150000E-01    2.2777300E-05
  7.6159996E-01    2.3062717E-05
  7.6169997E-01    2.3347840E-05
  7.6179999E-01    2.3632610E-05
  7.6190001E-01    2.3917162E-05
  7.6199996E-01    2.4201285E-05
  7.6209998E-01    2.4484629E-05
  7.6220000E-01    2.4767645E-05
  7.6229995E-01    2.5050329E-05
  7.6239997E-01    2.5332669E-05
  7.6249999E-01    2.5614681E-05
  7.6260000E-01    2.5896399E-05
  7.6269996E-01    2.6177750E-05
  7.6279998E-01    2.6458754E-05
  7.6289999E-01    2.6739479E-05
  7.6299995E-01    2.7019822E-05
  7.6309997E-01    2.7300792E-05
  7.6319999E-01    2.7581491E-05
  7.6330000E-01    2.7861828E-05
  7.6339996E-01    2.8141951E-05
  7.6349998E-01    2.8421753E-05
  7.6359999E-01    2.8701112E-05
  7.6370001E-01    2.8980250E-05
  7.6379997E-01    2.9259078E-05
  7.6389998E-01    2.9537541E-05
  7.6400000E-01    2.9815843E-05
  7.6409996E-01    3.0230132E-05
  7.6419997E-01    3.0644111E-05
  7.6429999E-01    3.1057582E-05
  7.6440001E-01    3.1470590E-05
  7.6449996E-01    3.1883144E-05
  7.6459998E-01    3.2295287E-05
  7.6470000E-01    3.2706928E-05
  7.6479995E-01    3.3118202E-05
  7.6489997E-01    3.3528813E-05
  7.6499999E-01    3.3939177E-05
  7.6510000E-01    3.4348715E-05
  7.6519996E-01    3.4757893E-05
  7.6529998E-01    3.5166726E-05
  7.6539999E-01    3.5574816E-05
  7.6550001E-01    3.5982612E-05
  7.6559997E-01    3.6390062E-05
  7.6569998E-01    3.6796755E-05
  7.6580000E-01    3.7203234E-05
  7.6589996E-01    3.7609243E-05
