# wave[microns]    norm_trans
  3.5599998E-01    0.0000000E+00
  3.5609999E-01    6.3173159E-04
  3.5619998E-01    1.2640576E-03
  3.5630000E-01    1.8969681E-03
  3.5639998E-01    2.5304800E-03
  3.5650000E-01    3.1646038E-03
  3.5659999E-01    3.7992981E-03
  3.5670000E-01    4.4345963E-03
  3.5679999E-01    5.0704749E-03
  3.5689998E-01    5.7069762E-03
  3.5699999E-01    6.3440599E-03
  3.5709998E-01    6.9814366E-03
  3.5720000E-01    7.6193954E-03
  3.5729998E-01    8.2578566E-03
  3.5740000E-01    8.8968342E-03
  3.5749999E-01    9.5364507E-03
  3.5760000E-01    1.0176591E-02
  3.5769999E-01    1.0817190E-02
  3.5779998E-01    1.1458389E-02
  3.5789999E-01    1.2100130E-02
  3.5799998E-01    1.2742381E-02
  3.5810000E-01    1.3385870E-02
  3.5819998E-01    1.4030004E-02
  3.5830000E-01    1.4674710E-02
  3.5839999E-01    1.5319940E-02
  3.5850000E-01    1.5965857E-02
  3.5859999E-01    1.6612381E-02
  3.5869998E-01    1.7259557E-02
  3.5879999E-01    1.7907299E-02
  3.5889998E-01    1.8555550E-02
  3.5900000E-01    1.9204503E-02
  3.5909998E-01    1.9853650E-02
  3.5920000E-01    2.0503432E-02
  3.5929999E-01    2.1153683E-02
  3.5940000E-01    2.1804571E-02
  3.5949999E-01    2.2455979E-02
  3.5959998E-01    2.3108030E-02
  3.5969999E-01    2.3760719E-02
  3.5979998E-01    2.4413740E-02
  3.5990000E-01    2.5067596E-02
  3.5999998E-01    2.5722036E-02
  3.6010000E-01    2.6377957E-02
  3.6019999E-01    2.7034504E-02
  3.6030000E-01    2.7691755E-02
  3.6039999E-01    2.8349640E-02
  3.6049998E-01    2.9008152E-02
  3.6059999E-01    2.9667143E-02
  3.6069998E-01    3.0326998E-02
  3.6080000E-01    3.0987410E-02
  3.6089998E-01    3.1648446E-02
  3.6100000E-01    3.2309953E-02
  3.6109999E-01    3.2971565E-02
  3.6120000E-01    3.3633880E-02
  3.6129999E-01    3.4296699E-02
  3.6139998E-01    3.4959950E-02
  3.6149999E-01    3.5623886E-02
  3.6159998E-01    3.6288716E-02
  3.6170000E-01    3.6953859E-02
  3.6179999E-01    3.7619710E-02
  3.6190000E-01    3.8286161E-02
  3.6199999E-01    3.8953010E-02
  3.6210001E-01    3.9620820E-02
  3.6219999E-01    4.0289439E-02
  3.6229998E-01    4.0958572E-02
  3.6240000E-01    4.1628104E-02
  3.6249998E-01    4.2298459E-02
  3.6260000E-01    4.2969428E-02
  3.6269999E-01    4.3641128E-02
  3.6280000E-01    4.4312976E-02
  3.6289999E-01    4.4985898E-02
  3.6300001E-01    4.5659319E-02
  3.6309999E-01    4.6334922E-02
