# wave[microns]    norm_trans
  5.0000000E-01    1.3653893E-05
  5.0010002E-01    1.3727171E-05
  5.0019997E-01    1.3800421E-05
  5.0029999E-01    1.3873698E-05
  5.0040001E-01    1.3946953E-05
  5.0049996E-01    1.4020232E-05
  5.0059998E-01    1.4093537E-05
  5.0070000E-01    1.4166837E-05
  5.0080001E-01    1.4240179E-05
  5.0089997E-01    1.4313495E-05
  5.0099999E-01    1.4386822E-05
  5.0110000E-01    1.4460868E-05
  5.0119996E-01    1.4534913E-05
  5.0129998E-01    1.4608992E-05
  5.0139999E-01    1.4683105E-05
  5.0150001E-01    1.4757235E-05
  5.0159997E-01    1.4831398E-05
  5.0169998E-01    1.4905524E-05
  5.0180000E-01    1.4979663E-05
  5.0189996E-01    1.5053877E-05
  5.0199997E-01    1.5128052E-05
  5.0209999E-01    1.5127069E-05
  5.0220001E-01    1.5126086E-05
  5.0229996E-01    1.5125141E-05
  5.0239998E-01    1.5124155E-05
  5.0250000E-01    1.5123189E-05
  5.0260001E-01    1.5122183E-05
  5.0269997E-01    1.5121200E-05
  5.0279999E-01    1.5120229E-05
  5.0290000E-01    1.5119223E-05
  5.0299996E-01    1.5118234E-05
  5.0309998E-01    1.5117603E-05
  5.0319999E-01    1.5116971E-05
  5.0330001E-01    1.5116377E-05
  5.0339997E-01    1.5115743E-05
  5.0349998E-01    1.5115127E-05
  5.0360000E-01    1.5114474E-05
  5.0369996E-01    1.5113818E-05
  5.0379997E-01    1.5113220E-05
  5.0389999E-01    1.5112561E-05
  5.0400001E-01    1.5111904E-05
  5.0409997E-01    1.5111864E-05
  5.0419998E-01    1.5111767E-05
  5.0430000E-01    1.5111685E-05
  5.0440001E-01    1.5111626E-05
  5.0449997E-01    1.5111543E-05
  5.0459999E-01    1.5111458E-05
  5.0470001E-01    1.5111396E-05
  5.0479996E-01    1.5111308E-05
  5.0489998E-01    1.5111205E-05
  5.0500000E-01    1.5111118E-05
  5.0510001E-01    1.5110397E-05
  5.0519997E-01    1.5109639E-05
  5.0529999E-01    1.5108917E-05
  5.0540000E-01    1.5108174E-05
  5.0549996E-01    1.5107415E-05
  5.0559998E-01    1.5106652E-05
  5.0569999E-01    1.5105928E-05
  5.0580001E-01    1.5105166E-05
  5.0589997E-01    1.5104419E-05
  5.0599998E-01    1.5103691E-05
  5.0610000E-01    1.5164809E-05
  5.0620002E-01    1.5225918E-05
  5.0629997E-01    1.5287105E-05
  5.0639999E-01    1.5348263E-05
  5.0650001E-01    1.5409440E-05
  5.0659996E-01    1.5470609E-05
  5.0669998E-01    1.5531832E-05
  5.0680000E-01    1.5593036E-05
  5.0690001E-01    1.5654250E-05
  5.0699997E-01    1.5715499E-05
  5.0709999E-01    1.5775779E-05
  5.0720000E-01    1.5836025E-05
  5.0729996E-01    1.5896281E-05
  5.0739998E-01    1.5956562E-05
  5.0749999E-01    1.6016851E-05
  5.0760001E-01    1.6077129E-05
  5.0769997E-01    1.6137432E-05
  5.0779998E-01    1.6197786E-05
  5.0790000E-01    1.6258082E-05
  5.0800002E-01    1.6318387E-05
  5.0809997E-01    1.6378954E-05
  5.0819999E-01    1.6439526E-05
  5.0830001E-01    1.6500086E-05
  5.0839996E-01    1.6560680E-05
  5.0849998E-01    1.6621299E-05
  5.0860000E-01    1.6681892E-05
  5.0870001E-01    1.6742488E-05
  5.0879997E-01    1.6803095E-05
  5.0889999E-01    1.6863753E-05
  5.0900000E-01    1.6924398E-05
  5.0909996E-01    1.6986171E-05
  5.0919998E-01    1.7047982E-05
