# wave[microns]    norm_trans
  3.5599998E-01    0.0000000E+00
  3.5609999E-01    3.1323603E-04
  3.5619998E-01    6.2816247E-04
  3.5630000E-01    9.4478461E-04
  3.5639998E-01    1.2630983E-03
  3.5650000E-01    1.5831055E-03
  3.5659999E-01    1.9048064E-03
  3.5670000E-01    2.2282016E-03
  3.5679999E-01    2.5532916E-03
  3.5689998E-01    2.8800762E-03
  3.5699999E-01    3.2085567E-03
  3.5709998E-01    3.5388470E-03
  3.5720000E-01    3.8708644E-03
  3.5729998E-01    4.2045913E-03
  3.5740000E-01    4.5400374E-03
  3.5749999E-01    4.8771906E-03
  3.5760000E-01    5.2160881E-03
  3.5769999E-01    5.5566942E-03
  3.5779998E-01    5.8990354E-03
  3.5789999E-01    6.2430869E-03
  3.5799998E-01    6.5888744E-03
  3.5810000E-01    6.9356291E-03
  3.5819998E-01    7.2840871E-03
  3.5830000E-01    7.6341806E-03
  3.5839999E-01    7.9859262E-03
  3.5850000E-01    8.3393650E-03
  3.5859999E-01    8.6943768E-03
  3.5869998E-01    9.0511004E-03
  3.5879999E-01    9.4094602E-03
  3.5889998E-01    9.7694686E-03
  3.5900000E-01    1.0131133E-02
  3.5909998E-01    1.0495025E-02
  3.5920000E-01    1.0860587E-02
  3.5929999E-01    1.1227893E-02
  3.5940000E-01    1.1596869E-02
  3.5949999E-01    1.1967511E-02
  3.5959998E-01    1.2339876E-02
  3.5969999E-01    1.2713964E-02
  3.5979998E-01    1.3089718E-02
  3.5990000E-01    1.3467168E-02
  3.5999998E-01    1.3846350E-02
  3.6010000E-01    1.4232250E-02
  3.6019999E-01    1.4620086E-02
  3.6030000E-01    1.5009936E-02
  3.6039999E-01    1.5401620E-02
  3.6049998E-01    1.5795277E-02
  3.6059999E-01    1.6190840E-02
  3.6069998E-01    1.6588410E-02
  3.6080000E-01    1.6987888E-02
  3.6089998E-01    1.7389303E-02
  3.6100000E-01    1.7792659E-02
  3.6109999E-01    1.8197192E-02
  3.6120000E-01    1.8603588E-02
  3.6129999E-01    1.9011931E-02
  3.6139998E-01    1.9422090E-02
  3.6149999E-01    1.9834237E-02
  3.6159998E-01    2.0248245E-02
  3.6170000E-01    2.0664159E-02
  3.6179999E-01    2.1081969E-02
  3.6190000E-01    2.1501731E-02
  3.6199999E-01    2.1923348E-02
  3.6210001E-01    2.2345800E-02
  3.6219999E-01    2.2770112E-02
  3.6229998E-01    2.3196330E-02
  3.6240000E-01    2.3624310E-02
  3.6249998E-01    2.4054244E-02
  3.6260000E-01    2.4485938E-02
  3.6269999E-01    2.4919540E-02
  3.6280000E-01    2.5355047E-02
  3.6289999E-01    2.5792358E-02
  3.6300001E-01    2.6231589E-02
  3.6309999E-01    2.6672909E-02
  3.6319998E-01    2.7116098E-02
  3.6330000E-01    2.7561095E-02
  3.6339998E-01    2.8008128E-02
  3.6350000E-01    2.8456846E-02
  3.6359999E-01    2.8907541E-02
  3.6370000E-01    2.9360043E-02
  3.6379999E-01    2.9814463E-02
  3.6389998E-01    3.0270616E-02
  3.6399999E-01    3.0728761E-02
  3.6409998E-01    3.1193346E-02
  3.6420000E-01    3.1660065E-02
  3.6429998E-01    3.2128654E-02
  3.6440000E-01    3.2599378E-02
  3.6449999E-01    3.3072039E-02
  3.6460000E-01    3.3546768E-02
  3.6469999E-01    3.4023434E-02
  3.6479998E-01    3.4502026E-02
  3.6489999E-01    3.4982707E-02
  3.6499998E-01    3.5465375E-02
  3.6510000E-01    3.5948168E-02
  3.6519998E-01    3.6433063E-02
  3.6530000E-01    3.6919683E-02
  3.6539999E-01    3.7408330E-02
  3.6550000E-01    3.7899006E-02
  3.6559999E-01    3.8391471E-02
  3.6569998E-01    3.8885973E-02
  3.6579999E-01    3.9382502E-02
  3.6589998E-01    3.9880913E-02
  3.6600000E-01    4.0381256E-02
  3.6609998E-01    4.0881373E-02
  3.6620000E-01    4.1383401E-02
  3.6629999E-01    4.1887239E-02
  3.6640000E-01    4.2393051E-02
  3.6649999E-01    4.2900853E-02
  3.6659998E-01    4.3410368E-02
  3.6669999E-01    4.3922067E-02
  3.6679998E-01    4.4435564E-02
  3.6690000E-01    4.4950794E-02
  3.6699998E-01    4.5467999E-02
  3.6710000E-01    4.5988314E-02
  3.6719999E-01    4.6510726E-02
  3.6730000E-01    4.7034975E-02
  3.6739999E-01    4.7561228E-02
  3.6749998E-01    4.8089229E-02
  3.6759999E-01    4.8619326E-02
  3.6769998E-01    4.9151063E-02
  3.6780000E-01    4.9685016E-02
  3.6789998E-01    5.0220780E-02
  3.6800000E-01    5.0758466E-02
  3.6809999E-01    5.1304094E-02
  3.6820000E-01    5.1851783E-02
  3.6829999E-01    5.2401517E-02
  3.6839998E-01    5.2953329E-02
  3.6849999E-01    5.3507261E-02
  3.6859998E-01    5.4063167E-02
  3.6870000E-01    5.4621022E-02
  3.6879998E-01    5.5181053E-02
  3.6890000E-01    5.5743217E-02
  3.6899999E-01    5.6307349E-02
  3.6910000E-01    5.6865413E-02
  3.6919999E-01    5.7425793E-02
  3.6929998E-01    5.7987738E-02
  3.6939999E-01    5.8551818E-02
  3.6949998E-01    5.9117664E-02
  3.6960000E-01    5.9685308E-02
  3.6969998E-01    6.0255043E-02
  3.6980000E-01    6.0826469E-02
  3.6989999E-01    6.1399896E-02
  3.7000000E-01    6.1975442E-02
  3.7009999E-01    6.2562235E-02
  3.7019998E-01    6.3151442E-02
  3.7029999E-01    6.3742869E-02
  3.7039998E-01    6.4336248E-02
  3.7050000E-01    6.4931467E-02
  3.7059999E-01    6.5529250E-02
  3.7070000E-01    6.6128872E-02
  3.7079999E-01    6.6730566E-02
  3.7090001E-01    6.7334384E-02
  3.7099999E-01    6.7940138E-02
  3.7109998E-01    6.8553299E-02
  3.7120000E-01    6.9168411E-02
  3.7129998E-01    6.9785699E-02
  3.7140000E-01    7.0405424E-02
  3.7149999E-01    7.1027189E-02
  3.7160000E-01    7.1651287E-02
  3.7169999E-01    7.2277308E-02
  3.7180001E-01    7.2905630E-02
  3.7189999E-01    7.3536031E-02
  3.7199998E-01    7.4169137E-02
  3.7210000E-01    7.4803077E-02
  3.7219998E-01    7.5439602E-02
  3.7230000E-01    7.6078311E-02
  3.7239999E-01    7.6719329E-02
  3.7250000E-01    7.7362262E-02
  3.7259999E-01    7.8007646E-02
  3.7269998E-01    7.8654937E-02
  3.7279999E-01    7.9304680E-02
  3.7289998E-01    7.9956345E-02
  3.7300000E-01    8.0610320E-02
  3.7309998E-01    8.1280358E-02
  3.7320000E-01    8.1952676E-02
  3.7329999E-01    8.2627408E-02
  3.7340000E-01    8.3304554E-02
  3.7349999E-01    8.3984278E-02
  3.7359998E-01    8.4665984E-02
  3.7369999E-01    8.5350551E-02
  3.7379998E-01    8.6037397E-02
  3.7390000E-01    8.6726680E-02
  3.7399998E-01    8.7418534E-02
  3.7410000E-01    8.8105358E-02
  3.7419999E-01    8.8794477E-02
  3.7430000E-01    8.9485802E-02
  3.7439999E-01    9.0179913E-02
  3.7449998E-01    9.0875901E-02
  3.7459999E-01    9.1574505E-02
  3.7469998E-01    9.2275135E-02
  3.7480000E-01    9.2978418E-02
  3.7489998E-01    9.3684033E-02
  3.7500000E-01    9.4391681E-02
  3.7509999E-01    9.5041625E-02
  3.7520000E-01    9.5693588E-02
  3.7529999E-01    9.6347563E-02
  3.7539998E-01    9.7003989E-02
  3.7549999E-01    9.7662576E-02
  3.7559998E-01    9.8323375E-02
  3.7570000E-01    9.8985970E-02
  3.7579998E-01    9.9651083E-02
  3.7590000E-01    1.0031803E-01
  3.7599999E-01    1.0098764E-01
  3.7610000E-01    1.0166503E-01
  3.7619999E-01    1.0234467E-01
  3.7629998E-01    1.0302673E-01
  3.7639999E-01    1.0371090E-01
  3.7649998E-01    1.0439750E-01
  3.7660000E-01    1.0508636E-01
  3.7669998E-01    1.0577734E-01
  3.7680000E-01    1.0647059E-01
  3.7689999E-01    1.0716628E-01
  3.7700000E-01    1.0786407E-01
  3.7709999E-01    1.0855288E-01
  3.7719998E-01    1.0924363E-01
  3.7729999E-01    1.0993686E-01
  3.7739998E-01    1.1063189E-01
  3.7750000E-01    1.1132906E-01
  3.7759998E-01    1.1202841E-01
  3.7770000E-01    1.1273006E-01
  3.7779999E-01    1.1343385E-01
  3.7790000E-01    1.1413962E-01
  3.7799999E-01    1.1484771E-01
  3.7809998E-01    1.1560802E-01
  3.7819999E-01    1.1637110E-01
  3.7829998E-01    1.1713658E-01
  3.7840000E-01    1.1790538E-01
  3.7849998E-01    1.1867662E-01
  3.7860000E-01    1.1945083E-01
  3.7869999E-01    1.2022764E-01
  3.7880000E-01    1.2100744E-01
  3.7889999E-01    1.2179043E-01
  3.7899998E-01    1.2257569E-01
  3.7909999E-01    1.2337152E-01
  3.7919998E-01    1.2417065E-01
  3.7930000E-01    1.2497305E-01
  3.7939999E-01    1.2577763E-01
  3.7950000E-01    1.2658554E-01
  3.7959999E-01    1.2739658E-01
  3.7970001E-01    1.2821017E-01
  3.7979999E-01    1.2902671E-01
  3.7989998E-01    1.2984699E-01
  3.8000000E-01    1.3066925E-01
  3.8009998E-01    1.3136785E-01
  3.8020000E-01    1.3206804E-01
  3.8029999E-01    1.3277008E-01
  3.8040000E-01    1.3347392E-01
  3.8049999E-01    1.3417956E-01
  3.8059998E-01    1.3488747E-01
  3.8069999E-01    1.3559678E-01
  3.8079998E-01    1.3630809E-01
  3.8090000E-01    1.3702126E-01
  3.8099998E-01    1.3773586E-01
  3.8110000E-01    1.3847740E-01
  3.8119999E-01    1.3922088E-01
  3.8130000E-01    1.3996619E-01
  3.8139999E-01    1.4071402E-01
  3.8149998E-01    1.4146350E-01
  3.8159999E-01    1.4221527E-01
  3.8169998E-01    1.4296915E-01
  3.8180000E-01    1.4372472E-01
  3.8189998E-01    1.4448276E-01
  3.8200000E-01    1.4524269E-01
  3.8209999E-01    1.4601478E-01
  3.8220000E-01    1.4678909E-01
  3.8229999E-01    1.4756493E-01
  3.8239998E-01    1.4834338E-01
  3.8249999E-01    1.4912431E-01
  3.8259998E-01    1.4990675E-01
  3.8270000E-01    1.5069209E-01
  3.8279998E-01    1.5147921E-01
  3.8290000E-01    1.5226875E-01
  3.8299999E-01    1.5306053E-01
  3.8310000E-01    1.5388899E-01
  3.8319999E-01    1.5472043E-01
  3.8329998E-01    1.5555423E-01
  3.8339999E-01    1.5639038E-01
  3.8349998E-01    1.5722981E-01
  3.8360000E-01    1.5807129E-01
  3.8369998E-01    1.5891545E-01
  3.8380000E-01    1.5976214E-01
  3.8389999E-01    1.6061121E-01
  3.8400000E-01    1.6146308E-01
  3.8409999E-01    1.6230765E-01
  3.8419998E-01    1.6315499E-01
  3.8429999E-01    1.6400436E-01
  3.8439998E-01    1.6485673E-01
  3.8450000E-01    1.6571142E-01
  3.8459998E-01    1.6656840E-01
  3.8470000E-01    1.6742837E-01
  3.8479999E-01    1.6829093E-01
  3.8490000E-01    1.6915604E-01
  3.8499999E-01    1.7002314E-01
  3.8509998E-01    1.7092752E-01
  3.8519999E-01    1.7183474E-01
  3.8529998E-01    1.7274407E-01
  3.8540000E-01    1.7365701E-01
  3.8549998E-01    1.7457262E-01
  3.8560000E-01    1.7549133E-01
  3.8569999E-01    1.7641270E-01
  3.8580000E-01    1.7733724E-01
  3.8589999E-01    1.7826416E-01
