# wave[microns]    norm_trans
  7.9990000E-01    0.0000000E+00
  7.9999995E-01    6.1182334E-05
  8.0100000E-01    6.1304613E-05
  8.0199999E-01    6.1434809E-05
  8.0299997E-01    6.1569323E-05
  8.0399996E-01    6.1697300E-05
  8.0500001E-01    6.1826415E-05
  8.0599999E-01    6.1955954E-05
  8.0699998E-01    6.2085717E-05
  8.0799997E-01    6.2215812E-05
  8.0899996E-01    6.2346241E-05
  8.1000000E-01    6.2476784E-05
  8.1099999E-01    6.2607657E-05
  8.1199998E-01    6.2738656E-05
  8.1299996E-01    6.2869985E-05
  8.1399995E-01    6.3001539E-05
  8.1500000E-01    6.3133210E-05
  8.1599998E-01    6.3265222E-05
  8.1699997E-01    6.3397456E-05
  8.1799996E-01    6.3529811E-05
  8.1900001E-01    6.3786722E-05
  8.1999999E-01    6.4044369E-05
  8.2099998E-01    6.4289912E-05
  8.2199997E-01    6.4536214E-05
  8.2299995E-01    6.4783189E-05
  8.2400000E-01    6.4984677E-05
  8.2499999E-01    6.5186572E-05
  8.2522672E-01    6.5232397E-05
  8.2599998E-01    6.5394197E-05
  8.2699996E-01    6.5603654E-05
  8.2799995E-01    6.5813587E-05
  8.2900000E-01    6.6023853E-05
  8.2999998E-01    6.6234371E-05
  8.3022809E-01    6.6282472E-05
  8.3099997E-01    6.6445637E-05
  8.3199996E-01    6.6657329E-05
  8.3300000E-01    6.6869264E-05
  8.3399999E-01    6.7081680E-05
  8.3499998E-01    6.7294324E-05
  8.3599997E-01    6.7507449E-05
  8.3699995E-01    6.7577592E-05
  8.3800000E-01    6.7647611E-05
  8.3899999E-01    6.7717743E-05
  8.3999997E-01    6.7787864E-05
  8.4099996E-01    6.7844708E-05
  8.4200001E-01    6.7901451E-05
  8.4299999E-01    6.7958328E-05
  8.4399998E-01    6.8015222E-05
  8.4499997E-01    6.8072122E-05
  8.4523219E-01    6.8085366E-05
  8.4599996E-01    6.8124909E-05
  8.4700000E-01    6.8176426E-05
  8.4799999E-01    6.8228161E-05
  8.4899998E-01    6.8280795E-05
  8.4999996E-01    6.8335195E-05
  8.5099995E-01    6.8432708E-05
  8.5200000E-01    6.8531938E-05
  8.5299999E-01    6.8631891E-05
  8.5399997E-01    6.8732127E-05
  8.5499996E-01    6.8754450E-05
  8.5523486E-01    6.8759686E-05
  8.5600001E-01    6.8762684E-05
  8.5699999E-01    6.8766310E-05
  8.5799998E-01    6.8769832E-05
  8.5899997E-01    6.8773136E-05
  8.5999995E-01    6.8776108E-05
  8.6023623E-01    6.8774188E-05
  8.6100000E-01    6.8795866E-05
  8.6199999E-01    6.8824049E-05
  8.6299998E-01    6.8852028E-05
  8.6399996E-01    6.8985906E-05
  8.6499995E-01    6.9119675E-05
  8.6523759E-01    6.9151411E-05
  8.6600000E-01    6.9235720E-05
  8.6699998E-01    6.9346227E-05
  8.6799997E-01    6.9456540E-05
  8.6899996E-01    6.9566637E-05
  8.7000000E-01    6.9676560E-05
  8.7099999E-01    6.9786144E-05
  8.7199998E-01    6.9895639E-05
  8.7299997E-01    7.0334857E-05
  8.7399995E-01    7.0775830E-05
  8.7500000E-01    7.1218567E-05
  8.7599999E-01    7.1663055E-05
  8.7699997E-01    7.2109192E-05
  8.7799996E-01    7.2557216E-05
  8.7899995E-01    7.3007015E-05
  8.8000000E-01    7.3458576E-05
  8.8099998E-01    7.3809016E-05
  8.8199997E-01    7.4160144E-05
  8.8299996E-01    7.4512227E-05
  8.8400000E-01    7.4991365E-05
  8.8499999E-01    7.5472457E-05
  8.8524294E-01    7.5589647E-05
  8.8599998E-01    7.5960679E-05
  8.8699996E-01    7.6452599E-05
  8.8799995E-01    7.6946477E-05
  8.8900000E-01    7.7442547E-05
  8.8999999E-01    7.7940689E-05
  8.9024431E-01    7.7987650E-05
  8.9099997E-01    7.8130557E-05
  8.9199996E-01    7.8319704E-05
  8.9300001E-01    7.8573799E-05
  8.9399999E-01    7.8763265E-05
  8.9499998E-01    7.8952644E-05
  8.9599997E-01    7.9207725E-05
  8.9699996E-01    7.9397907E-05
  8.9800000E-01    7.9654819E-05
  8.9899999E-01    7.9846932E-05
  8.9999998E-01    8.0039473E-05
  9.0024704E-01    8.0057566E-05
  9.0099996E-01    9.2168854E-05
  9.0199995E-01    1.0819244E-04
  9.0300000E-01    1.2432437E-04
  9.0399998E-01    1.4049104E-04
  9.0499997E-01    1.5669160E-04
  9.0524840E-01    1.6075511E-04
  9.0599996E-01    1.7005098E-04
  9.0700001E-01    1.8230993E-04
  9.0799999E-01    1.9475823E-04
  9.0899998E-01    2.0708215E-04
  9.0999997E-01    2.1943440E-04
  9.1099995E-01    2.3200775E-04
  9.1200000E-01    2.4442747E-04
  9.1299999E-01    2.5709020E-04
  9.1399997E-01    2.6957845E-04
  9.1499996E-01    2.8233206E-04
  9.1599995E-01    2.9489045E-04
  9.1700000E-01    3.0773599E-04
  9.1799998E-01    3.2036556E-04
  9.1899997E-01    3.3330408E-04
  9.1999996E-01    3.4600582E-04
  9.2100000E-01    3.5879539E-04
  9.2199999E-01    3.7130966E-04
  9.2299998E-01    3.8416021E-04
  9.2399997E-01    3.9706188E-04
  9.2499995E-01    4.1034383E-04
  9.2525381E-01    4.1363650E-04
  9.2600000E-01    3.8935718E-04
  9.2699999E-01    3.5704109E-04
  9.2799997E-01    3.2430813E-04
  9.2899996E-01    2.9172945E-04
  9.2999995E-01    2.5878732E-04
