# wave[microns]    norm_trans
  7.9990000E-01    0.0000000E+00
  7.9999995E-01    6.0616966E-05
  8.0022001E-01    5.8093359E-05
  8.0100000E-01    5.8176683E-05
  8.0199999E-01    5.8290969E-05
  8.0299997E-01    5.8409311E-05
  8.0399996E-01    5.8521412E-05
  8.0500001E-01    5.8634553E-05
  8.0522138E-01    5.8659666E-05
  8.0599999E-01    5.8752634E-05
  8.0699998E-01    5.8872211E-05
  8.0799997E-01    5.8992089E-05
  8.0899996E-01    5.9112268E-05
  8.1000000E-01    5.9232541E-05
  8.1022274E-01    5.9259380E-05
  8.1099999E-01    5.9358654E-05
  8.1199998E-01    5.9486487E-05
  8.1299996E-01    5.9614648E-05
  8.1399995E-01    5.9743038E-05
  8.1500000E-01    5.9871554E-05
  8.1522405E-01    5.9900406E-05
  8.1599998E-01    6.4649022E-05
  8.1699997E-01    7.0791604E-05
  8.1799996E-01    7.6959646E-05
  8.1900001E-01    8.3315716E-05
  8.1999999E-01    8.9721766E-05
  8.2099998E-01    9.6158803E-05
  8.2199997E-01    1.0264385E-04
  8.2299995E-01    1.0917697E-04
  8.2400000E-01    1.1567620E-04
  8.2499999E-01    1.2221465E-04
  8.2522672E-01    1.2370274E-04
  8.2599998E-01    1.2401091E-04
  8.2699996E-01    1.2440986E-04
  8.2799995E-01    1.2480973E-04
  8.2900000E-01    1.2521023E-04
  8.2999998E-01    1.2561123E-04
  8.3022809E-01    1.2570285E-04
  8.3099997E-01    1.1628503E-04
  8.3199996E-01    1.0401530E-04
  8.3300000E-01    9.1667932E-05
  8.3399999E-01    7.9243092E-05
  8.3499998E-01    6.6740278E-05
  8.3522946E-01    6.3860012E-05
  8.3599997E-01    6.4013724E-05
  8.3699995E-01    6.4077587E-05
  8.3800000E-01    6.4141328E-05
  8.3899999E-01    6.4205171E-05
  8.3999997E-01    6.4268998E-05
  8.4099996E-01    6.4320234E-05
  8.4200001E-01    6.4371369E-05
  8.4299999E-01    6.4422627E-05
  8.4399998E-01    6.4473898E-05
  8.4499997E-01    6.4525170E-05
  8.4523219E-01    6.4537105E-05
  8.4599996E-01    6.4574092E-05
  8.4700000E-01    6.4622278E-05
  8.4799999E-01    6.4670670E-05
  8.4899998E-01    6.4719913E-05
  8.4999996E-01    6.4770829E-05
  8.5099995E-01    6.4862609E-05
  8.5200000E-01    6.4956013E-05
  8.5299999E-01    6.5050101E-05
  8.5399997E-01    6.5144454E-05
  8.5499996E-01    6.5164961E-05
  8.5523486E-01    6.5169771E-05
  8.5600001E-01    1.0503515E-04
  8.5699999E-01    1.5716556E-04
  8.5799998E-01    2.0932784E-04
  8.5899997E-01    2.6152135E-04
  8.5999995E-01    3.1374508E-04
  8.6023623E-01    3.2607405E-04
  8.6100000E-01    3.1116586E-04
  8.6199999E-01    2.9164105E-04
  8.6299998E-01    2.7211020E-04
  8.6399996E-01    2.5296253E-04
  8.6499995E-01    2.3374900E-04
  8.6600000E-01    2.1446935E-04
  8.6699998E-01    1.9512444E-04
  8.6799997E-01    1.7571411E-04
  8.6899996E-01    1.5623846E-04
  8.7000000E-01    1.3669775E-04
  8.7023896E-01    1.3201852E-04
  8.7099999E-01    1.3218705E-04
  8.7199998E-01    1.3240843E-04
  8.7299997E-01    1.3325453E-04
  8.7399995E-01    1.3410413E-04
  8.7500000E-01    1.3495725E-04
  8.7599999E-01    1.3581388E-04
  8.7699997E-01    1.3667380E-04
  8.7799996E-01    1.3753749E-04
  8.7899995E-01    1.3840471E-04
  8.8000000E-01    1.3927547E-04
  8.8024157E-01    1.3943940E-04
  8.8099998E-01    1.6117102E-04
  8.8199997E-01    1.9006363E-04
  8.8299996E-01    2.1922853E-04
  8.8400000E-01    2.4908569E-04
  8.8499999E-01    2.7931678E-04
  8.8524294E-01    2.8671872E-04
  8.8599998E-01    2.8811867E-04
  8.8699996E-01    2.8997466E-04
  8.8799995E-01    2.9183796E-04
  8.8900000E-01    2.9370945E-04
  8.8999999E-01    2.9558866E-04
  8.9099997E-01    2.9630762E-04
  8.9199996E-01    2.9702673E-04
  8.9300001E-01    2.9799217E-04
  8.9399999E-01    2.9871252E-04
  8.9499998E-01    2.9943254E-04
  8.9524567E-01    2.9967051E-04
  8.9599997E-01    3.0040175E-04
  8.9699996E-01    3.0112484E-04
  8.9800000E-01    3.0210102E-04
  8.9899999E-01    3.0283145E-04
  8.9999998E-01    3.0356351E-04
  9.0024704E-01    3.0363259E-04
  9.0099996E-01    2.9240189E-04
  9.0199995E-01    2.7723642E-04
  9.0300000E-01    2.6228889E-04
  9.0399998E-01    2.4731982E-04
  9.0499997E-01    2.3232444E-04
  9.0524840E-01    2.2864227E-04
  9.0599996E-01    2.0602314E-04
  9.0700001E-01    1.7568554E-04
  9.0799999E-01    1.4540853E-04
  9.0899998E-01    1.1492332E-04
  9.0999997E-01    8.4375337E-05
  9.1024977E-01    7.6750351E-05
  9.1099995E-01    8.8388778E-05
  9.1200000E-01    1.0386876E-04
  9.1299999E-01    1.1948264E-04
  9.1399997E-01    1.3504483E-04
  9.1499996E-01    1.5076827E-04
  9.1525108E-01    1.5469346E-04
  9.1599995E-01    1.5482260E-04
  9.1700000E-01    1.5512605E-04
  9.1799998E-01    1.5530155E-04
  9.1899997E-01    1.5560832E-04
  9.1999996E-01    1.5578664E-04
  9.2025244E-01    1.5583819E-04
  9.2100000E-01    1.5016245E-04
  9.2199999E-01    1.4243422E-04
  9.2299998E-01    1.3481235E-04
  9.2399997E-01    1.2717569E-04
  9.2499995E-01    1.1961860E-04
  9.2600000E-01    1.1193403E-04
  9.2699999E-01    1.0431583E-04
  9.2799997E-01    9.6582418E-05
  9.2899996E-01    8.8902238E-05
  9.2999995E-01    8.1119444E-05
  9.3025517E-01    7.9146984E-05
  9.3099999E-01    1.2648102E-04
  9.3199998E-01    1.9011969E-04
  9.3299997E-01    2.5414926E-04
  9.3399996E-01    3.1819701E-04
  9.3500000E-01    3.8274509E-04
  9.3525654E-01    3.9926458E-04
  9.3599999E-01    3.7593026E-04
