# wave[microns]    norm_trans
  3.7599999E-01    8.5540486E-07
  3.7609999E-01    8.6276441E-07
  3.7610685E-01    8.6326689E-07
  3.7619999E-01    8.7706929E-07
  3.7629999E-01    8.9193272E-07
  3.7639999E-01    9.0680274E-07
  3.7649999E-01    9.2164027E-07
  3.7659999E-01    9.3648361E-07
  3.7669999E-01    9.5137412E-07
  3.7679999E-01    9.6627118E-07
  3.7689999E-01    9.8113322E-07
  3.7699999E-01    9.9604432E-07
  3.7709999E-01    1.0109617E-06
  3.7710709E-01    1.0120187E-06
  3.7719999E-01    1.0236090E-06
  3.7729999E-01    1.0360903E-06
  3.7739999E-01    1.0486222E-06
  3.7749999E-01    1.0611593E-06
  3.7759999E-01    1.0736563E-06
  3.7769999E-01    1.0862054E-06
  3.7779999E-01    1.0987127E-06
  3.7789999E-01    1.1112724E-06
  3.7799999E-01    1.1237899E-06
  3.7809999E-01    1.1363615E-06
  3.7810736E-01    1.1372886E-06
  3.7819999E-01    1.1638216E-06
  3.7829999E-01    1.1924285E-06
  3.7839999E-01    1.2210466E-06
  3.7849999E-01    1.2497302E-06
  3.7859999E-01    1.2784268E-06
  3.7869999E-01    1.3070809E-06
  3.7879999E-01    1.3358042E-06
  3.7889999E-01    1.3644819E-06
  3.7899999E-01    1.3932306E-06
  3.7909999E-01    1.4219312E-06
  3.7910763E-01    1.4241296E-06
  3.7919999E-01    1.4686502E-06
  3.7929999E-01    1.5168105E-06
  3.7939999E-01    1.5650567E-06
  3.7949999E-01    1.6133266E-06
  3.7959999E-01    1.6615473E-06
  3.7969999E-01    1.7098602E-06
  3.7979999E-01    1.7581206E-06
  3.7989999E-01    1.8064782E-06
  3.7999999E-01    1.8547783E-06
  3.8009999E-01    1.9038664E-06
  3.8010788E-01    1.9077399E-06
  3.8019999E-01    1.9811833E-06
  3.8029999E-01    2.0609153E-06
  3.8039999E-01    2.1407347E-06
  3.8049999E-01    2.2207369E-06
  3.8059999E-01    2.3008348E-06
  3.8069999E-01    2.3809239E-06
  3.8079999E-01    2.4612061E-06
  3.8089999E-01    2.5414737E-06
  3.8099999E-01    2.6219428E-06
  3.8109999E-01    2.7023874E-06
  3.8110814E-01    2.7089604E-06
  3.8119999E-01    2.8524317E-06
  3.8129999E-01    3.0088191E-06
  3.8139999E-01    3.1652539E-06
  3.8149999E-01    3.3218598E-06
  3.8159999E-01    3.4787861E-06
  3.8169999E-01    3.6358989E-06
  3.8179999E-01    3.7930318E-06
  3.8189999E-01    3.9503360E-06
  3.8199999E-01    4.1079876E-06
  3.8209999E-01    4.2658238E-06
  3.8219999E-01    4.4236531E-06
  3.8229999E-01    4.5818500E-06
  3.8239999E-01    4.7402340E-06
  3.8249999E-01    4.8985903E-06
  3.8259999E-01    5.0571178E-06
  3.8269999E-01    5.2160403E-06
  3.8279999E-01    5.3751502E-06
  3.8289999E-01    5.5342050E-06
  3.8299999E-01    5.6934310E-06
  3.8309999E-01    5.8533289E-06
  3.8319999E-01    6.0129069E-06
  3.8329999E-01    6.1726559E-06
  3.8339999E-01    6.3325761E-06
  3.8349999E-01    6.4932274E-06
  3.8359999E-01    6.6535036E-06
  3.8369999E-01    6.8139509E-06
  3.8379999E-01    6.9745694E-06
  3.8389999E-01    7.1359745E-06
  3.8399999E-01    7.2969492E-06
  3.8409999E-01    7.4580914E-06
  3.8419999E-01    7.6197317E-06
  3.8429999E-01    7.7815603E-06
  3.8439999E-01    7.9432298E-06
  3.8449999E-01    8.1050703E-06
  3.8459999E-01    8.2677950E-06
  3.8469999E-01    8.4299918E-06
  3.8479999E-01    8.5923597E-06
  3.8489999E-01    8.7548989E-06
  3.8499999E-01    8.9183778E-06
  3.8509999E-01    9.0812662E-06
  3.8510917E-01    9.0962274E-06
  3.8519999E-01    9.7617334E-06
  3.8529999E-01    1.0495256E-05
  3.8539999E-01    1.1230532E-05
  3.8549999E-01    1.1965690E-05
  3.8559999E-01    1.2701634E-05
  3.8569999E-01    1.3438947E-05
  3.8579999E-01    1.4177103E-05
  3.8589999E-01    1.4915470E-05
  3.8599999E-01    1.5654624E-05
  3.8609999E-01    1.6395264E-05
  3.8610944E-01    1.6465284E-05
  3.8619999E-01    1.9125203E-05
  3.8629999E-01    2.2064947E-05
  3.8639999E-01    2.5007834E-05
  3.8649999E-01    2.7955074E-05
  3.8659999E-01    3.0905700E-05
  3.8669999E-01    3.3858270E-05
  3.8679999E-01    3.6813984E-05
  3.8689999E-01    3.9776270E-05
  3.8699999E-01    4.2738527E-05
  3.8709999E-01    4.5703907E-05
  3.8710971E-01    4.5992408E-05
  3.8719999E-01    4.9256089E-05
  3.8729999E-01    5.2874949E-05
  3.8739999E-01    5.6495524E-05
  3.8749999E-01    6.0119930E-05
  3.8759999E-01    6.3750922E-05
  3.8769999E-01    6.7386038E-05
  3.8779999E-01    7.1022249E-05
  3.8789999E-01    7.4662293E-05
  3.8799999E-01    7.8309555E-05
  3.8809999E-01    8.1960885E-05
  3.8810995E-01    8.2324467E-05
  3.8819999E-01    9.1027298E-05
  3.8829999E-01    1.0070261E-04
  3.8839999E-01    1.1039291E-04
  3.8849999E-01    1.2009420E-04
  3.8859999E-01    1.2980098E-04
  3.8869999E-01    1.3951796E-04
  3.8879999E-01    1.4925160E-04
  3.8889999E-01    1.5899624E-04
  3.8899999E-01    1.6874469E-04
  3.8909999E-01    1.7851091E-04
  3.8911022E-01    1.7950977E-04
  3.8919999E-01    1.9445997E-04
  3.8929999E-01    2.1113939E-04
  3.8939999E-01    2.2782791E-04
  3.8949999E-01    2.4454445E-04
  3.8959999E-01    2.6126859E-04
