# wave[microns]    norm_trans
  6.1809998E-01    5.6551829E-08
  6.1817098E-01    5.0801471E-08
  6.1819998E-01    5.3638905E-08
  6.1829998E-01    6.3422347E-08
  6.1839998E-01    7.3206571E-08
  6.1849998E-01    8.2984499E-08
  6.1859998E-01    9.2769454E-08
  6.1869998E-01    1.0255519E-07
  6.1879998E-01    1.1234171E-07
  6.1889998E-01    1.2212901E-07
  6.1899998E-01    1.3191710E-07
  6.1909998E-01    1.4169989E-07
  6.1917127E-01    1.4867389E-07
  6.1919998E-01    1.4972727E-07
  6.1929998E-01    1.5340273E-07
  6.1939998E-01    1.5707848E-07
  6.1949998E-01    1.6075453E-07
  6.1959998E-01    1.6442387E-07
  6.1969998E-01    1.6810033E-07
  6.1979998E-01    1.7177709E-07
  6.1989998E-01    1.7545413E-07
  6.1999998E-01    1.7912380E-07
  6.2009998E-01    1.8280124E-07
  6.2017152E-01    1.8542637E-07
  6.2019998E-01    1.8666423E-07
  6.2029998E-01    1.9102076E-07
  6.2039998E-01    1.9537764E-07
  6.2049998E-01    1.9973486E-07
  6.2059998E-01    2.0409242E-07
  6.2069998E-01    2.0843254E-07
  6.2079998E-01    2.1279041E-07
  6.2089998E-01    2.1714863E-07
  6.2099998E-01    2.2150718E-07
  6.2109998E-01    2.2586608E-07
  6.2117181E-01    2.2899711E-07
  6.2119998E-01    2.2946742E-07
  6.2129998E-01    2.3112699E-07
  6.2139998E-01    2.3278646E-07
  6.2149998E-01    2.3445597E-07
  6.2159998E-01    2.3612560E-07
  6.2169998E-01    2.3779536E-07
  6.2179998E-01    2.3945506E-07
  6.2189998E-01    2.4112501E-07
  6.2199998E-01    2.4279508E-07
  6.2209998E-01    2.4445483E-07
  6.2217205E-01    2.4565858E-07
  6.2219998E-01    2.4426003E-07
  6.2229998E-01    2.3924219E-07
  6.2239998E-01    2.3423435E-07
  6.2249998E-01    2.2922611E-07
  6.2259998E-01    2.2421748E-07
  6.2269998E-01    2.1920846E-07
  6.2279998E-01    2.1419904E-07
  6.2289998E-01    2.0917136E-07
  6.2299998E-01    2.0416158E-07
  6.2309998E-01    1.9915272E-07
  6.2317235E-01    1.9552786E-07
  6.2319998E-01    1.9803620E-07
  6.2329998E-01    2.0711281E-07
  6.2339998E-01    2.1618106E-07
  6.2349998E-01    2.2525895E-07
  6.2359998E-01    2.3432763E-07
  6.2369998E-01    2.4340680E-07
  6.2379998E-01    2.5248679E-07
  6.2389998E-01    2.6155648E-07
  6.2399998E-01    2.7063774E-07
  6.2409998E-01    2.7971970E-07
  6.2417259E-01    2.8631439E-07
  6.2419998E-01    2.8649698E-07
  6.2429998E-01    2.8715128E-07
  6.2439998E-01    2.8781790E-07
  6.2449998E-01    2.8847230E-07
  6.2459998E-01    2.8913901E-07
  6.2469998E-01    2.8980578E-07
  6.2479998E-01    2.9047261E-07
  6.2489998E-01    2.9113949E-07
  6.2499998E-01    2.9178154E-07
  6.2509998E-01    2.9244834E-07
  6.2517288E-01    2.9293448E-07
  6.2519998E-01    2.9443439E-07
  6.2529998E-01    2.9996952E-07
  6.2539998E-01    3.0550514E-07
  6.2549998E-01    3.1102802E-07
  6.2559998E-01    3.1656439E-07
  6.2569998E-01    3.2208748E-07
  6.2579998E-01    3.2762459E-07
  6.2589998E-01    3.3316221E-07
  6.2599998E-01    3.3868589E-07
  6.2609998E-01    3.4422403E-07
  6.2617313E-01    3.4827518E-07
  6.2619998E-01    3.4865956E-07
  6.2629998E-01    3.5009092E-07
  6.2639998E-01    3.5150735E-07
  6.2649998E-01    3.5292387E-07
  6.2659998E-01    3.5435548E-07
  6.2669998E-01    3.5578721E-07
  6.2679998E-01    3.5721906E-07
  6.2689998E-01    3.5865104E-07
  6.2699998E-01    3.6006772E-07
  6.2709998E-01    3.6148443E-07
  6.2717342E-01    3.6253616E-07
  6.2719998E-01    3.6425154E-07
  6.2729998E-01    3.7070977E-07
  6.2739998E-01    3.7716857E-07
  6.2749998E-01    3.8362793E-07
  6.2759998E-01    3.9007124E-07
  6.2769998E-01    3.9651446E-07
  6.2779998E-01    4.0297496E-07
  6.2789998E-01    4.0943601E-07
  6.2799998E-01    4.1589763E-07
  6.2809998E-01    4.2234176E-07
  6.2817367E-01    4.2710330E-07
  6.2819998E-01    4.3076282E-07
  6.2829998E-01    4.4466839E-07
  6.2839998E-01    4.5855553E-07
  6.2849998E-01    4.7246292E-07
  6.2859998E-01    4.8635082E-07
  6.2869998E-01    5.0026003E-07
  6.2879998E-01    5.1417045E-07
  6.2889998E-01    5.2808208E-07
  6.2899998E-01    5.4199492E-07
  6.2909998E-01    5.5586130E-07
  6.2917396E-01    5.6615392E-07
