# wave[microns]    norm_trans
  4.7732700E+01    1.1960701E-09
  4.7789700E+01    9.8676101E-10
  4.7846901E+01    1.0967681E-09
  4.7904202E+01    1.0589518E-09
  4.7961601E+01    1.0631868E-09
  4.8019199E+01    1.7221718E-09
  4.8076900E+01    2.5410711E-09
  4.8134800E+01    2.7395342E-09
  4.8192799E+01    2.7284617E-09
  4.8250900E+01    2.5901676E-09
  4.8309200E+01    2.1450888E-09
  4.8367599E+01    1.6368952E-09
  4.8426201E+01    1.4858373E-09
  4.8484798E+01    1.1672869E-09
  4.8543701E+01    7.0907907E-10
  4.8602699E+01    1.2761696E-09
  4.8661800E+01    2.2411704E-09
  4.8721100E+01    2.7481346E-09
  4.8780499E+01    5.1328177E-09
  4.8840000E+01    7.6234192E-09
  4.8899799E+01    7.3950175E-09
  4.8959599E+01    1.0088357E-08
  4.9019600E+01    1.6837909E-08
  4.9079800E+01    1.8996406E-08
  4.9139999E+01    1.3375058E-08
  4.9200500E+01    1.6853855E-08
  4.9261101E+01    2.9040761E-08
  4.9321800E+01    2.6930985E-08
  4.9382702E+01    3.1843381E-08
  4.9443802E+01    4.8950088E-08
  4.9505001E+01    4.3380552E-08
  4.9566299E+01    3.9563552E-08
  4.9627800E+01    4.7632721E-08
  4.9689400E+01    3.7737710E-08
  4.9751202E+01    3.7945426E-08
  4.9813202E+01    5.4704685E-08
  4.9875301E+01    6.6840961E-08
  4.9937599E+01    1.0090570E-07
  5.0000000E+01    1.6445790E-07
  5.0062599E+01    2.3868975E-07
  5.0125301E+01    3.2497775E-07
  5.0188202E+01    4.2550886E-07
  5.0251301E+01    4.7522684E-07
  5.0314499E+01    4.8504955E-07
  5.0377800E+01    5.2112171E-07
  5.0441399E+01    5.0447704E-07
  5.0505100E+01    4.5965842E-07
  5.0568901E+01    4.5289994E-07
  5.0632900E+01    3.0947459E-07
  5.0697102E+01    2.1455351E-07
  5.0761398E+01    5.3986599E-07
  5.0825901E+01    1.0330918E-06
  5.0890598E+01    1.5095429E-06
  5.0955399E+01    2.2094121E-06
  5.1020401E+01    2.6320026E-06
  5.1085602E+01    2.6190589E-06
  5.1150902E+01    2.8495551E-06
  5.1216400E+01    3.0197277E-06
  5.1282101E+01    2.6458904E-06
  5.1347900E+01    2.6378564E-06
  5.1413898E+01    2.8244406E-06
  5.1480099E+01    2.4996825E-06
  5.1546398E+01    3.0530996E-06
  5.1612900E+01    4.3913747E-06
  5.1679600E+01    4.8194756E-06
  5.1746399E+01    5.3766703E-06
  5.1813499E+01    6.4240221E-06
  5.1880699E+01    6.0882599E-06
  5.1948101E+01    5.8833252E-06
  5.2015598E+01    7.2223042E-06
  5.2083302E+01    7.8855874E-06
  5.2151199E+01    8.5841657E-06
  5.2219299E+01    1.0638427E-05
  5.2287601E+01    1.1368727E-05
  5.2355999E+01    1.1568083E-05
  5.2424599E+01    1.3366046E-05
  5.2493401E+01    1.2967249E-05
  5.2562401E+01    1.0174790E-05
  5.2631599E+01    9.2757564E-06
  5.2700901E+01    8.4863841E-06
  5.2770401E+01    7.1656541E-06
  5.2840199E+01    8.8280349E-06
  5.2910099E+01    9.7647135E-06
  5.2980099E+01    7.0895544E-06
  5.3050400E+01    5.8659866E-06
  5.3120800E+01    5.8393616E-06
  5.3191502E+01    4.3113268E-06
  5.3262299E+01    4.7071198E-06
  5.3333302E+01    6.3795260E-06
  5.3404499E+01    6.3766765E-06
  5.3475899E+01    6.6780190E-06
  5.3547501E+01    8.0096170E-06
  5.3619301E+01    6.8420463E-06
  5.3691303E+01    4.9715891E-06
  5.3763397E+01    5.2787168E-06
  5.3835800E+01    5.5707901E-06
  5.3908401E+01    5.6032686E-06
  5.3981102E+01    7.1137247E-06
  5.4054100E+01    8.0475884E-06
  5.4127201E+01    7.5875751E-06
  5.4200500E+01    8.2319930E-06
  5.4274097E+01    8.3954019E-06
  5.4347801E+01    6.3382572E-06
  5.4421799E+01    5.7380612E-06
  5.4495899E+01    6.5653544E-06
  5.4570305E+01    6.8791946E-06
  5.4644798E+01    1.1324678E-05
  5.4719604E+01    1.8388879E-05
  5.4794495E+01    2.0471874E-05
  5.4869701E+01    2.1234417E-05
  5.4945103E+01    2.2509550E-05
  5.5020603E+01    1.7769164E-05
  5.5096405E+01    1.3879226E-05
  5.5172401E+01    1.7850876E-05
  5.5248600E+01    2.2011205E-05
  5.5324997E+01    3.1923551E-05
  5.5401695E+01    5.4327360E-05
  5.5478504E+01    7.1775677E-05
  5.5555595E+01    8.3953157E-05
  5.5632801E+01    1.0222101E-04
  5.5710297E+01    1.0069146E-04
  5.5787998E+01    7.0886446E-05
  5.5865902E+01    4.5369816E-05
  5.5944103E+01    2.2171027E-05
  5.6022400E+01    1.4214196E-06
  5.6101006E+01    1.3894743E-05
  5.6179794E+01    5.6873338E-05
  5.6258804E+01    9.0002504E-05
  5.6338005E+01    1.2905055E-04
  5.6417496E+01    1.6697246E-04
  5.6497204E+01    1.6304936E-04
  5.6577103E+01    1.5381492E-04
  5.6657196E+01    1.4852863E-04
  5.6737598E+01    1.0057593E-04
  5.6818203E+01    6.1116414E-05
  5.6898994E+01    6.7122666E-05
  5.6980095E+01    5.0510360E-05
  5.7061298E+01    2.2127939E-05
  5.7142899E+01    3.4934063E-05
  5.7224602E+01    4.7529891E-05
  5.7306599E+01    5.4360658E-05
  5.7388802E+01    8.5942258E-05
  5.7471294E+01    8.8369779E-05
  5.7554005E+01    6.4178763E-05
  5.7636902E+01    8.8412184E-05
  5.7720104E+01    1.1405481E-04
  5.7803501E+01    9.6570955E-05
  5.7887096E+01    1.0739605E-04
  5.7971001E+01    1.5055569E-04
  5.8055199E+01    2.0959407E-04
  5.8139500E+01    3.3323318E-04
  5.8224197E+01    4.6789838E-04
  5.8308998E+01    5.1009218E-04
  5.8394203E+01    5.0065405E-04
  5.8479500E+01    4.9611001E-04
  5.8565205E+01    4.8028413E-04
  5.8651001E+01    4.6408398E-04
  5.8737202E+01    4.3475314E-04
  5.8823502E+01    3.7098944E-04
  5.8910194E+01    3.3510436E-04
  5.8997101E+01    3.4448589E-04
  5.9084206E+01    3.3497045E-04
  5.9171604E+01    2.9495507E-04
  5.9259304E+01    2.6093255E-04
  5.9347198E+01    2.6787815E-04
  5.9435398E+01    3.2147748E-04
  5.9523800E+01    3.7048987E-04
  5.9612499E+01    3.6088857E-04
  5.9701496E+01    3.2830978E-04
