# wave[microns]    norm_trans
  1.6666666E+02    1.1925212E-10
  1.6694490E+02    0.0000000E+00
  1.6722408E+02    0.0000000E+00
  1.6747613E+02    0.0000000E+00
  1.6775708E+02    8.6659046E-10
  1.6803898E+02    2.4542782E-09
  1.6832183E+02    4.7240366E-10
  1.6857720E+02    5.1534944E-10
  1.6886187E+02    0.0000000E+00
  1.6914749E+02    0.0000000E+00
  1.6943409E+02    0.0000000E+00
  1.6972165E+02    1.4609732E-10
  1.6998130E+02    0.0000000E+00
  1.7027073E+02    0.0000000E+00
  1.7056114E+02    5.3837361E-10
  1.7085255E+02    4.0561724E-10
  1.7114496E+02    4.4333769E-10
  1.7140898E+02    6.2018289E-10
  1.7170329E+02    2.8674069E-10
  1.7199862E+02    4.1051600E-11
  1.7229496E+02    1.2398759E-09
  1.7256255E+02    6.4108426E-10
  1.7286084E+02    4.3958197E-10
  1.7316017E+02    6.5267799E-10
  1.7346053E+02    1.1639451E-09
  1.7376194E+02    8.0029393E-10
  1.7403411E+02    1.1636185E-09
  1.7433751E+02    1.0274331E-09
  1.7464198E+02    1.2253429E-10
  1.7494751E+02    7.3383410E-10
  1.7525411E+02    1.0218811E-09
  1.7553098E+02    6.4320705E-10
  1.7583963E+02    1.1977466E-09
  1.7614937E+02    1.4469301E-09
  1.7646020E+02    2.0084912E-09
  1.7674089E+02    2.6616590E-09
  1.7705382E+02    3.9924886E-09
  1.7736786E+02    4.9150882E-09
  1.7768301E+02    6.2099935E-09
  1.7799928E+02    7.9800784E-09
  1.7828489E+02    7.8853690E-09
  1.7860332E+02    8.8814500E-09
  1.7892288E+02    1.1825604E-08
  1.7924359E+02    1.6267146E-08
  1.7956545E+02    2.0999347E-08
  1.7985611E+02    2.6273677E-08
  1.8018018E+02    2.5898106E-08
  1.8050541E+02    2.0787067E-08
  1.8083182E+02    1.4203135E-08
  1.8112660E+02    9.4839974E-09
  1.8145527E+02    7.7890268E-09
  1.8178513E+02    6.8174396E-09
  1.8211619E+02    7.5898106E-09
  1.8244845E+02    7.6877858E-09
  1.8274853E+02    7.8118877E-09
  1.8308312E+02    7.2779229E-09
  1.8341892E+02    7.0101241E-09
  1.8375597E+02    5.4719138E-09
  1.8409425E+02    5.6858263E-09
  1.8439977E+02    4.4350098E-09
  1.8474044E+02    5.4000653E-09
  1.8508236E+02    6.0222077E-09
  1.8542555E+02    6.2393860E-09
  1.8573551E+02    4.9804050E-09
  1.8608113E+02    4.1329197E-09
  1.8642803E+02    2.5212280E-09
  1.8677624E+02    1.6459830E-09
  1.8712574E+02    1.2922926E-09
  1.8744142E+02    1.6574135E-09
  1.8779342E+02    1.1146310E-09
  1.8814675E+02    4.6832136E-10
  1.8850141E+02    4.4970607E-10
  1.8885741E+02    3.2674722E-10
  1.8917896E+02    2.2991509E-10
  1.8953752E+02    6.0271065E-10
  1.8989745E+02    4.9101894E-10
  1.9025875E+02    3.6577400E-10
  1.9058509E+02    2.4885696E-10
  1.9094901E+02    1.8207054E-10
  1.9131432E+02    7.5685826E-10
  1.9168104E+02    6.2900065E-10
  1.9204916E+02    1.0760941E-10
  1.9238168E+02    3.1515349E-10
  1.9275250E+02    2.9425212E-10
  1.9312475E+02    4.1672110E-10
  1.9349845E+02    8.5042456E-10
  1.9383601E+02    3.3785108E-10
  1.9421246E+02    3.5369040E-10
  1.9459038E+02    4.3860222E-10
  1.9496977E+02    6.8386675E-10
  1.9535065E+02    8.2511430E-10
  1.9569471E+02    6.9905291E-10
  1.9607843E+02    5.8099282E-10
  1.9646365E+02    3.1988896E-10
  1.9685039E+02    1.5925865E-09
  1.9723865E+02    4.1002613E-10
  1.9758940E+02    9.9134553E-10
  1.9798059E+02    6.8484651E-10
  1.9837333E+02    7.1342260E-10
  1.9876764E+02    5.1616590E-10
  1.9912385E+02    2.5244938E-09
  1.9952114E+02    1.7570216E-09
  1.9992003E+02    0.0000000E+00
  2.0032051E+02    1.0932397E-09
  2.0072260E+02    1.6459830E-09
  2.0108586E+02    1.8403005E-09
  2.0149103E+02    0.0000000E+00
  2.0189783E+02    2.4314174E-10
  2.0230629E+02    2.7514696E-09
  2.0271639E+02    0.0000000E+00
