# wave[microns]    norm_trans
  1.2768000E+01    0.0000000E+00
  1.2774000E+01    2.7048957E-04
  1.2780000E+01    2.7048957E-04
  1.2786000E+01    2.7048957E-04
  1.2791000E+01    2.7048957E-04
  1.2797000E+01    2.7048957E-04
  1.2803000E+01    5.4097915E-04
  1.2809000E+01    5.4097915E-04
  1.2815000E+01    5.4097915E-04
  1.2820000E+01    5.4097915E-04
  1.2826000E+01    5.4097915E-04
  1.2832000E+01    5.4097915E-04
  1.2838000E+01    8.1146875E-04
  1.2844000E+01    8.1146875E-04
  1.2849000E+01    8.1146875E-04
  1.2855000E+01    8.1146875E-04
  1.2861000E+01    8.1146875E-04
  1.2867000E+01    8.1146875E-04
  1.2873000E+01    8.1146875E-04
  1.2878000E+01    1.0819583E-03
  1.2884000E+01    1.0819583E-03
  1.2890000E+01    1.0819583E-03
  1.2896000E+01    1.0819583E-03
  1.2902000E+01    1.3524479E-03
  1.2907000E+01    1.3524479E-03
  1.2913000E+01    1.3524479E-03
  1.2919000E+01    1.6229375E-03
  1.2925000E+01    1.6229375E-03
  1.2931000E+01    1.8934270E-03
  1.2936000E+01    1.8934270E-03
  1.2942000E+01    1.8934270E-03
  1.2948000E+01    2.1639166E-03
  1.2954000E+01    2.1639166E-03
  1.2960000E+01    2.4344062E-03
  1.2965000E+01    2.4344062E-03
  1.2971000E+01    2.7048958E-03
  1.2977000E+01    2.7048958E-03
  1.2983000E+01    2.9753854E-03
  1.2989000E+01    2.9753854E-03
  1.2994000E+01    3.2458750E-03
  1.3000000E+01    3.2458750E-03
  1.3006000E+01    3.5163644E-03
  1.3012000E+01    3.7868540E-03
  1.3018000E+01    4.0573436E-03
  1.3023000E+01    4.0573436E-03
  1.3029000E+01    4.3278332E-03
  1.3035000E+01    4.5983228E-03
  1.3041000E+01    4.8688124E-03
  1.3047000E+01    5.1393020E-03
  1.3052000E+01    5.4097916E-03
  1.3058000E+01    5.6802807E-03
  1.3064000E+01    6.2212604E-03
  1.3070000E+01    6.4917500E-03
  1.3076000E+01    6.7622392E-03
  1.3081000E+01    7.0327288E-03
  1.3087000E+01    7.5737080E-03
  1.3093000E+01    7.8441976E-03
  1.3099000E+01    8.3851768E-03
  1.3105000E+01    8.6556664E-03
  1.3110000E+01    9.1966456E-03
  1.3116000E+01    9.7376248E-03
  1.3122000E+01    1.0278604E-02
  1.3128000E+01    1.0819583E-02
  1.3134000E+01    1.1360561E-02
  1.3139000E+01    1.1901542E-02
  1.3145000E+01    1.2713009E-02
  1.3151000E+01    1.3524478E-02
  1.3157000E+01    1.4335947E-02
  1.3163000E+01    1.5147416E-02
  1.3168000E+01    1.5958885E-02
  1.3174000E+01    1.6770354E-02
  1.3180000E+01    1.7852312E-02
  1.3186000E+01    1.8934270E-02
  1.3192000E+01    2.0016229E-02
  1.3197000E+01    2.1098187E-02
  1.3203000E+01    2.2450635E-02
  1.3209000E+01    2.3803083E-02
  1.3215000E+01    2.5155531E-02
  1.3221000E+01    2.6778467E-02
  1.3226000E+01    2.8401405E-02
  1.3232000E+01    3.0294832E-02
  1.3238000E+01    3.1917769E-02
  1.3244000E+01    3.4081686E-02
  1.3250000E+01    3.6245603E-02
  1.3255000E+01    3.8409520E-02
  1.3261000E+01    4.0843926E-02
  1.3267000E+01    4.3819312E-02
  1.3273000E+01    4.6524208E-02
  1.3279000E+01    4.9499594E-02
  1.3284000E+01    5.2745469E-02
  1.3290000E+01    5.6261830E-02
  1.3296000E+01    5.9778195E-02
  1.3302000E+01    6.3565046E-02
  1.3308000E+01    6.7892887E-02
  1.3313000E+01    7.2491206E-02
  1.3319000E+01    7.6819040E-02
  1.3325000E+01    8.1958346E-02
  1.3331000E+01    8.7368131E-02
  1.3337000E+01    9.2777923E-02
  1.3342000E+01    9.8728694E-02
  1.3348000E+01    1.0549094E-01
  1.3354000E+01    1.1198269E-01
  1.3360000E+01    1.1874493E-01
  1.3366000E+01    1.2658912E-01
  1.3371000E+01    1.3470381E-01
  1.3377000E+01    1.4281850E-01
  1.3383000E+01    1.5174465E-01
  1.3389000E+01    1.6121179E-01
  1.3395000E+01    1.7094940E-01
  1.3400000E+01    1.8068703E-01
  1.3406000E+01    1.9204761E-01
  1.3412000E+01    2.0340815E-01
  1.3418000E+01    2.1476874E-01
  1.3424000E+01    2.2694075E-01
  1.3429000E+01    2.4019474E-01
  1.3435000E+01    2.5317824E-01
  1.3441000E+01    2.6643223E-01
  1.3447000E+01    2.8103867E-01
  1.3453000E+01    2.9537463E-01
  1.3458000E+01    3.0998105E-01
  1.3464000E+01    3.2539895E-01
  1.3470000E+01    3.4108737E-01
  1.3476000E+01    3.5677573E-01
  1.3482000E+01    3.7246415E-01
