# wave[microns]    norm_trans
  5.5000001E-01    7.8929106E-06
  5.5100000E-01    7.7749246E-06
  5.5199999E-01    9.6527656E-06
  5.5299997E-01    1.1657201E-05
  5.5400002E-01    1.3085403E-05
  5.5500001E-01    1.3967549E-05
  5.5599999E-01    1.4061183E-05
  5.5699998E-01    1.4887563E-05
  5.5800003E-01    1.4673746E-05
  5.5900002E-01    1.3401848E-05
  5.6000000E-01    1.4414423E-05
  5.6099999E-01    1.5707668E-05
  5.6199998E-01    1.5433856E-05
  5.6300002E-01    1.4712377E-05
  5.6400001E-01    1.5317044E-05
  5.6500000E-01    1.5692578E-05
  5.6599998E-01    1.5864785E-05
  5.6699997E-01    1.5044227E-05
  5.6800002E-01    1.5003665E-05
  5.6900001E-01    1.5128354E-05
  5.6999999E-01    1.4523353E-05
  5.7099998E-01    1.5058248E-05
  5.7200003E-01    1.7710501E-05
  5.7300001E-01    2.1053866E-05
  5.7400000E-01    2.3026407E-05
  5.7499999E-01    2.6371423E-05
  5.7599998E-01    3.3356431E-05
  5.7700002E-01    4.0944680E-05
  5.7800001E-01    4.6824513E-05
  5.7900000E-01    5.3640615E-05
  5.7999998E-01    6.3623018E-05
  5.8099997E-01    7.8853926E-05
  5.8200002E-01    1.0180657E-04
  5.8300000E-01    1.4313534E-04
  5.8399999E-01    2.3928359E-04
  5.8499998E-01    4.6649398E-04
  5.8600003E-01    8.2997134E-04
  5.8700001E-01    1.0774619E-03
  5.8800000E-01    9.7891060E-04
  5.8899999E-01    6.2445679E-04
  5.8999997E-01    3.2241698E-04
  5.9100002E-01    1.7737759E-04
  5.9200001E-01    1.2060232E-04
  5.9299999E-01    9.0199537E-05
  5.9399998E-01    7.3448296E-05
  5.9500003E-01    7.0577298E-05
  5.9600002E-01    6.5116961E-05
  5.9700000E-01    6.6010856E-05
  5.9799999E-01    7.0887385E-05
  5.9899998E-01    7.3013762E-05
  6.0000002E-01    7.8487290E-05
  6.0100001E-01    8.7674998E-05
  6.0200000E-01    1.0222715E-04
  6.0299999E-01    1.2504101E-04
  6.0399997E-01    1.5258415E-04
  6.0500002E-01    1.7767478E-04
  6.0600001E-01    2.0468111E-04
  6.0699999E-01    2.2926017E-04
  6.0799998E-01    2.3658152E-04
  6.0900003E-01    2.2909895E-04
  6.1000001E-01    2.1161401E-04
  6.1100000E-01    1.8762455E-04
  6.1199999E-01    1.5923077E-04
  6.1299998E-01    1.3548952E-04
