# wave[microns]    norm_trans
  5.5059999E-01    1.8862993E-10
  5.5159998E-01    1.5040925E-12
  5.5259997E-01    2.0191642E-11
  5.5359995E-01    1.7639150E-12
  5.5460000E-01    4.3102685E-11
  5.5559999E-01    2.6892247E-10
  5.5659997E-01    7.8160464E-11
  5.5759996E-01    4.8287995E-11
  5.5859995E-01    1.1482492E-10
  5.5960000E-01    1.2247910E-10
  5.6059998E-01    2.4821300E-12
  5.6159997E-01    4.4286422E-10
  5.6259996E-01    2.9251419E-12
  5.6360000E-01    1.4997038E-10
  5.6459999E-01    3.7501433E-10
  5.6559998E-01    1.6103287E-10
  5.6659997E-01    4.7028220E-10
  5.6759995E-01    4.2788431E-10
  5.6860000E-01    4.9389919E-12
  5.6959999E-01    2.9912656E-10
  5.7059997E-01    4.2852763E-10
  5.7159996E-01    7.4632245E-11
  5.7259995E-01    2.2562768E-10
  5.7359999E-01    6.7184786E-11
  5.7459998E-01    6.6156697E-10
  5.7559997E-01    1.7668991E-10
  5.7659996E-01    3.7211342E-11
  5.7760000E-01    2.4835628E-10
  5.7859999E-01    3.3651981E-10
  5.7959998E-01    2.2536155E-10
  5.8059996E-01    7.2951862E-12
  5.8159995E-01    2.4844901E-10
  5.8260000E-01    7.3401751E-10
  5.8359998E-01    1.6780234E-10
  5.8459997E-01    3.3037839E-10
  5.8559996E-01    5.0372068E-10
  5.8659995E-01    1.3595401E-11
  5.8759999E-01    2.2844117E-10
  5.8859998E-01    2.5170885E-10
  5.8959997E-01    1.4027791E-09
  5.9059995E-01    5.1377075E-10
  5.9160000E-01    1.4064748E-09
  5.9259999E-01    1.6383549E-10
  5.9359998E-01    3.8304399E-10
  5.9459996E-01    1.9914030E-09
  5.9559995E-01    4.1663858E-10
  5.9660000E-01    4.4622522E-10
  5.9759998E-01    6.8165490E-10
  5.9859997E-01    9.6999409E-11
  5.9959996E-01    2.4915103E-10
  6.0060000E-01    2.0809191E-11
  6.0159999E-01    2.9302609E-11
  6.0259998E-01    6.6937338E-11
  6.0359997E-01    1.9915573E-10
