# wave[microns]    norm_trans
  2.0004663E+00    9.8924402E-12
  2.0020745E+00    1.0062970E-11
  2.0036826E+00    9.6600341E-12
  2.0052907E+00    8.7015499E-12
  2.0068986E+00    7.9404625E-12
  2.0085068E+00    7.2217666E-12
  2.0101149E+00    6.3587928E-12
  2.0117230E+00    5.5680066E-12
  2.0133312E+00    5.0852577E-12
  2.0149393E+00    4.9312702E-12
  2.0165472E+00    4.9593962E-12
  2.0181553E+00    5.0768734E-12
  2.0197635E+00    4.9850415E-12
  2.0213716E+00    4.9896827E-12
  2.0229797E+00    5.1807586E-12
  2.0245879E+00    5.1599619E-12
  2.0261958E+00    4.9383084E-12
  2.0278039E+00    4.6594261E-12
  2.0294120E+00    4.6267959E-12
  2.0310202E+00    4.6090974E-12
  2.0326283E+00    4.5128935E-12
  2.0342364E+00    4.4346896E-12
  2.0358443E+00    4.5825665E-12
  2.0374525E+00    4.7522260E-12
  2.0390606E+00    4.9111101E-12
  2.0406687E+00    5.0640724E-12
  2.0422769E+00    4.9968731E-12
  2.0438848E+00    4.9563335E-12
  2.0454929E+00    5.0509063E-12
  2.0471010E+00    5.0488307E-12
  2.0487092E+00    4.8453659E-12
  2.0503173E+00    4.7598986E-12
  2.0519254E+00    4.9350372E-12
  2.0535333E+00    5.1521790E-12
  2.0551414E+00    5.0871451E-12
  2.0567496E+00    5.1466461E-12
  2.0583577E+00    5.5975198E-12
  2.0599658E+00    6.2999957E-12
  2.0615740E+00    6.9314268E-12
  2.0631819E+00    7.5605971E-12
  2.0647900E+00    8.2249745E-12
  2.0663981E+00    9.1566702E-12
  2.0680063E+00    1.0464043E-11
  2.0696144E+00    1.1706594E-11
  2.0712225E+00    1.2347107E-11
  2.0728304E+00    1.2999053E-11
  2.0744386E+00    1.4281408E-11
  2.0760467E+00    1.5640517E-11
  2.0776548E+00    1.5639023E-11
  2.0792630E+00    1.5134078E-11
  2.0808709E+00    1.4806538E-11
  2.0824790E+00    1.5187221E-11
  2.0840871E+00    1.4723235E-11
  2.0856953E+00    1.3737059E-11
  2.0873034E+00    1.2283587E-11
  2.0889115E+00    1.2737898E-11
  2.0905194E+00    1.4932756E-11
  2.0921276E+00    1.7504500E-11
  2.0937357E+00    1.8216293E-11
  2.0953438E+00    1.6190816E-11
  2.0969520E+00    1.6986674E-11
  2.0985601E+00    1.9550693E-11
  2.1001680E+00    2.0356569E-11
  2.1017761E+00    1.4016166E-11
  2.1033843E+00    8.5396239E-12
  2.1049924E+00    3.8873687E-12
  2.1066005E+00    3.6788641E-12
  2.1082087E+00    4.0369492E-12
  2.1098166E+00    4.1313151E-12
  2.1114247E+00    2.3490448E-12
  2.1130328E+00    5.8977614E-12
  2.1146410E+00    6.5832422E-12
  2.1162491E+00    6.9251844E-12
  2.1178572E+00    6.9886588E-12
  2.1194651E+00    8.2212345E-12
  2.1210732E+00    1.2254071E-11
  2.1226814E+00    1.8304759E-11
  2.1242895E+00    2.0244285E-11
  2.1258976E+00    1.5308399E-11
  2.1275055E+00    1.4691789E-11
  2.1291137E+00    1.5155002E-11
  2.1307218E+00    1.7492927E-11
  2.1323299E+00    1.5582523E-11
  2.1339381E+00    1.1838577E-11
  2.1355462E+00    6.5787402E-12
  2.1371541E+00    4.2528424E-12
  2.1387622E+00    3.8982298E-12
  2.1403704E+00    3.7210074E-12
  2.1419785E+00    2.8834780E-12
  2.1435866E+00    4.1190375E-13
  2.1451948E+00    2.8607225E-13
  2.1468027E+00    2.8377301E-13
  2.1484108E+00    2.8302247E-13
  2.1500189E+00    2.8295251E-13
  2.1516271E+00    2.8366673E-13
  2.1532352E+00    2.8517005E-13
  2.1548433E+00    2.8688976E-13
  2.1564512E+00    2.8979721E-13
  2.1580594E+00    2.9257738E-13
  2.1596675E+00    2.9682845E-13
  2.1612756E+00    3.0205523E-13
  2.1628838E+00    3.0685990E-13
  2.1644917E+00    3.1299908E-13
  2.1660998E+00    3.1991231E-13
  2.1677079E+00    3.2763012E-13
  2.1693161E+00    3.3615775E-13
  2.1709242E+00    3.4476672E-13
  2.1725323E+00    3.5551336E-13
  2.1741402E+00    3.6691911E-13
  2.1757483E+00    3.7951491E-13
  2.1773565E+00    3.9545757E-13
  2.1789646E+00    5.6125747E-13
  2.1805727E+00    3.0558501E-12
  2.1821809E+00    3.7018995E-12
  2.1837888E+00    3.9030615E-12
  2.1853969E+00    4.1279436E-12
  2.1870050E+00    4.7697558E-12
  2.1886132E+00    7.1213148E-12
  2.1902213E+00    7.7018695E-12
  2.1918294E+00    7.9505022E-12
  2.1934373E+00    4.8913326E-12
  2.1950455E+00    8.8816437E-12
  2.1966536E+00    2.8945575E-11
  2.1982617E+00    5.5098013E-11
  2.1998699E+00    8.8401841E-11
  2.2014778E+00    1.2903292E-10
  2.2030859E+00    1.8550006E-10
  2.2046940E+00    2.6085889E-10
  2.2063022E+00    3.6098835E-10
  2.2079103E+00    4.6716270E-10
  2.2095184E+00    5.4782695E-10
  2.2111263E+00    6.2829153E-10
  2.2127345E+00    7.3719780E-10
  2.2143426E+00    8.9193813E-10
  2.2159507E+00    1.0473021E-09
  2.2175589E+00    1.6923878E-09
  2.2191670E+00    2.5504858E-09
  2.2207749E+00    3.3729983E-09
  2.2217870E+00    4.1542125E-09
  2.2229879E+00    5.2190119E-09
  2.2241888E+00    6.5744197E-09
  2.2253900E+00    8.0505709E-09
  2.2265909E+00    9.7089181E-09
  2.2277918E+00    1.0122900E-08
  2.2289927E+00    1.0758257E-08
  2.2301939E+00    1.1718948E-08
  2.2313948E+00    1.2819696E-08
  2.2325957E+00    1.4250617E-08
  2.2337966E+00    1.5589755E-08
  2.2349975E+00    1.6521883E-08
  2.2361987E+00    1.8076987E-08
  2.2373996E+00    1.9466974E-08
  2.2386005E+00    2.0725471E-08
  2.2398014E+00    2.2940675E-08
  2.2410023E+00    2.5178165E-08
  2.2422035E+00    2.7203233E-08
  2.2434044E+00    2.8814387E-08
  2.2446053E+00    3.2037573E-08
  2.2458062E+00    3.5104193E-08
  2.2470074E+00    3.9654019E-08
  2.2482083E+00    4.5564171E-08
  2.2494092E+00    5.2189431E-08
  2.2506101E+00    5.8134912E-08
  2.2518110E+00    6.8344086E-08
