# wave[microns]    norm_trans
  2.0004663E+00    2.6391823E-15
  2.0020745E+00    1.0370014E-15
  2.0036826E+00    1.3833332E-15
  2.0052907E+00    1.5049667E-15
  2.0068986E+00    2.6747706E-15
  2.0085068E+00    1.9849931E-15
  2.0101149E+00    1.6631344E-15
  2.0117230E+00    1.6983002E-15
  2.0133312E+00    1.2640045E-15
  2.0149393E+00    1.1214632E-15
  2.0165472E+00    1.1510294E-15
  2.0181553E+00    1.3024264E-15
  2.0197635E+00    1.1818435E-15
  2.0213716E+00    1.0358526E-15
  2.0229797E+00    7.1056482E-16
  2.0245879E+00    6.8730609E-16
  2.0261958E+00    1.0136436E-15
  2.0278039E+00    1.1523725E-15
  2.0294120E+00    9.0433663E-16
  2.0310202E+00    8.6374284E-16
  2.0326283E+00    8.1068020E-16
  2.0342364E+00    7.5156148E-16
  2.0358443E+00    6.0633313E-16
  2.0374525E+00    8.3148301E-16
  2.0390606E+00    1.2532426E-15
  2.0406687E+00    1.5299145E-15
  2.0422769E+00    1.6539520E-15
  2.0438848E+00    1.8407222E-15
  2.0454929E+00    7.4174315E-16
  2.0471010E+00    4.4590705E-16
  2.0487092E+00    5.9768964E-16
  2.0503173E+00    1.0812077E-15
  2.0519254E+00    1.3240109E-15
  2.0535333E+00    1.4359402E-15
  2.0551414E+00    1.8264413E-15
  2.0567496E+00    2.1963791E-15
  2.0583577E+00    2.1475667E-15
  2.0599658E+00    2.1076033E-15
  2.0615740E+00    2.1303311E-15
  2.0631819E+00    2.2053060E-15
  2.0647900E+00    2.2445776E-15
  2.0663981E+00    2.4054821E-15
  2.0680063E+00    2.3420817E-15
  2.0696144E+00    2.3176634E-15
  2.0712225E+00    3.0823294E-15
  2.0728304E+00    2.8479854E-15
  2.0744386E+00    2.9888411E-15
  2.0760467E+00    3.3226646E-15
  2.0776548E+00    4.3066365E-15
  2.0792630E+00    5.1144535E-15
  2.0808709E+00    7.0373606E-15
  2.0824790E+00    6.3202185E-15
  2.0840871E+00    6.1152073E-15
  2.0856953E+00    6.8491525E-15
  2.0873034E+00    8.0473407E-15
  2.0889115E+00    7.6097372E-15
  2.0905194E+00    9.0355410E-15
  2.0921276E+00    5.9280588E-15
  2.0937357E+00    1.0665029E-14
  2.0953438E+00    1.4277099E-14
  2.0969520E+00    2.1181480E-14
  2.0985601E+00    2.9311450E-14
  2.1001680E+00    3.7875403E-14
  2.1017761E+00    3.4542654E-14
  2.1033843E+00    2.9803037E-14
  2.1049924E+00    2.7827170E-14
  2.1066005E+00    2.8808349E-14
  2.1082087E+00    3.9251043E-14
  2.1098166E+00    5.4659910E-14
  2.1114247E+00    6.9884792E-14
  2.1130328E+00    7.4663508E-14
  2.1146410E+00    8.3870417E-14
  2.1162491E+00    9.0262650E-14
  2.1178572E+00    1.3058051E-13
  2.1194651E+00    7.0652292E-14
  2.1210732E+00    4.9907113E-14
  2.1226814E+00    5.7231197E-14
  2.1242895E+00    7.8827536E-14
  2.1258976E+00    4.2548403E-14
  2.1275055E+00    3.1003778E-14
  2.1291137E+00    3.1255665E-14
  2.1307218E+00    3.8526995E-14
  2.1323299E+00    4.8818805E-14
  2.1339381E+00    5.0642670E-14
  2.1355462E+00    6.1775394E-14
  2.1371541E+00    4.6374305E-14
  2.1387622E+00    4.0826456E-14
  2.1403704E+00    4.3174005E-14
  2.1419785E+00    5.7210672E-14
  2.1435866E+00    3.0036442E-14
  2.1451948E+00    1.5260932E-14
  2.1468027E+00    1.0427285E-14
  2.1484108E+00    1.8779772E-14
  2.1500189E+00    3.5726091E-14
  2.1516271E+00    2.8709297E-14
  2.1532352E+00    2.9385890E-14
  2.1548433E+00    4.1268282E-14
  2.1564512E+00    7.5787419E-14
  2.1580594E+00    6.8346411E-14
  2.1596675E+00    5.6787074E-14
  2.1612756E+00    3.9295231E-14
  2.1628838E+00    3.2356648E-14
  2.1644917E+00    3.0816224E-14
  2.1660998E+00    3.7902359E-14
  2.1677079E+00    5.2285162E-14
  2.1693161E+00    3.8592881E-14
  2.1709242E+00    3.5582462E-14
  2.1725323E+00    5.4877171E-14
  2.1741402E+00    9.2845348E-14
  2.1757483E+00    8.4871963E-14
  2.1773565E+00    6.1338690E-14
  2.1789646E+00    5.6485985E-14
  2.1805727E+00    7.1422624E-14
  2.1821809E+00    8.9406652E-14
  2.1837888E+00    4.2181902E-14
  2.1853969E+00    3.5185769E-14
  2.1870050E+00    1.9497379E-14
  2.1886132E+00    2.1478646E-14
  2.1902213E+00    3.4675303E-14
  2.1918294E+00    3.4388125E-14
  2.1934373E+00    2.8865172E-14
  2.1950455E+00    1.9994667E-14
  2.1966536E+00    3.6600101E-14
  2.1982617E+00    5.9053409E-14
  2.1998699E+00    1.1147744E-13
  2.2014778E+00    9.6420891E-14
  2.2030859E+00    5.1820029E-14
  2.2046940E+00    3.6789758E-14
  2.2063022E+00    5.3617379E-14
  2.2079103E+00    1.4144168E-13
  2.2095184E+00    8.2251128E-14
  2.2111263E+00    7.0063306E-14
  2.2127345E+00    5.6948478E-14
  2.2143426E+00    6.2210030E-14
  2.2159507E+00    9.6817851E-14
  2.2175589E+00    1.3556711E-13
  2.2191670E+00    3.2772995E-13
  2.2207749E+00    3.9545120E-13
  2.2223830E+00    4.8689351E-13
  2.2239912E+00    6.7935403E-13
  2.2255993E+00    1.0838559E-12
  2.2272074E+00    2.1577521E-12
  2.2288156E+00    1.2888164E-12
  2.2304235E+00    7.9849517E-13
  2.2320316E+00    7.0189861E-13
  2.2336397E+00    9.4964097E-13
  2.2352479E+00    8.7783714E-13
  2.2368560E+00    4.4586817E-13
  2.2384639E+00    2.7957785E-13
  2.2400720E+00    4.3666787E-13
  2.2416801E+00    8.3471901E-13
  2.2432883E+00    1.3812689E-12
  2.2448964E+00    1.6053804E-12
  2.2465045E+00    2.2993395E-12
  2.2481124E+00    1.8168076E-12
  2.2497206E+00    1.7356234E-12
  2.2513287E+00    2.2450366E-12
  2.2529368E+00    3.3143664E-12
  2.2545450E+00    3.8306628E-12
  2.2561531E+00    2.6631592E-12
  2.2577610E+00    2.3696188E-12
  2.2593691E+00    3.4493970E-12
  2.2609773E+00    6.3048503E-12
  2.2625854E+00    6.8938830E-12
  2.2641935E+00    2.1871894E-12
  2.2658017E+00    9.4209016E-13
  2.2674096E+00    1.0503185E-12
  2.2690177E+00    3.5978705E-12
  2.2706258E+00    7.6723402E-12
  2.2722340E+00    7.8637409E-12
  2.2738421E+00    1.0702025E-11
  2.2754500E+00    1.1852264E-11
  2.2770581E+00    1.3584836E-11
  2.2786663E+00    1.8292217E-11
  2.2802744E+00    2.1617192E-11
  2.2818825E+00    2.6600595E-11
  2.2834907E+00    1.3680426E-11
  2.2850986E+00    1.1923888E-11
  2.2867067E+00    1.2554173E-11
  2.2883148E+00    1.5704963E-11
  2.2899230E+00    2.8741854E-11
  2.2915311E+00    1.4807834E-11
  2.2931392E+00    1.2423737E-11
  2.2947471E+00    1.2409632E-11
  2.2963552E+00    1.5699287E-11
  2.2979634E+00    2.9685490E-11
  2.2995715E+00    2.5557481E-11
  2.3011796E+00    2.3089338E-11
  2.3027878E+00    2.9712684E-11
  2.3043957E+00    5.7632479E-11
  2.3060038E+00    1.2752127E-10
  2.3076119E+00    2.3186053E-10
  2.3092201E+00    3.9161183E-10
  2.3108282E+00    6.4874012E-10
