# wave[microns]    norm_trans
  5.0000000E-01    6.8274926E-04
  5.0100005E-01    5.6895771E-04
  5.0200003E-01    5.6895771E-04
  5.0300002E-01    5.6895771E-04
  5.0400001E-01    5.6895771E-04
  5.0500000E-01    5.6895771E-04
  5.0600004E-01    5.6895771E-04
  5.0700003E-01    5.6895771E-04
  5.0800002E-01    5.6895771E-04
  5.0900000E-01    5.6895771E-04
  5.1000005E-01    5.6895771E-04
  5.1100004E-01    6.8274926E-04
  5.1200002E-01    6.8274926E-04
  5.1300001E-01    6.8274926E-04
  5.1400000E-01    6.8274926E-04
  5.1500005E-01    6.8274926E-04
  5.1600003E-01    7.9654076E-04
  5.1700002E-01    7.9654076E-04
  5.1800001E-01    7.9654076E-04
  5.1900005E-01    9.1033225E-04
  5.2000004E-01    9.1033225E-04
  5.2100003E-01    9.1033225E-04
  5.2200001E-01    9.1033225E-04
  5.2300000E-01    1.0241239E-03
  5.2400005E-01    1.0241239E-03
  5.2500004E-01    1.0241239E-03
  5.2600002E-01    1.0241239E-03
  5.2700001E-01    1.1379154E-03
  5.2800000E-01    1.1379154E-03
  5.2900004E-01    1.1379154E-03
  5.3000003E-01    1.1379154E-03
  5.3100002E-01    1.1379154E-03
  5.3200001E-01    1.2517069E-03
  5.3300005E-01    1.2517069E-03
  5.3400004E-01    1.2517069E-03
  5.3500003E-01    1.2517069E-03
  5.3600001E-01    1.3654985E-03
  5.3700000E-01    1.3654985E-03
  5.3800005E-01    1.3654985E-03
  5.3900003E-01    1.3654985E-03
  5.4000002E-01    1.4792900E-03
  5.4100001E-01    1.4792900E-03
  5.4200006E-01    1.4792900E-03
  5.4300004E-01    1.4792900E-03
  5.4400003E-01    1.4792900E-03
  5.4500002E-01    1.4792900E-03
  5.4600000E-01    1.5930815E-03
  5.4700005E-01    1.5930815E-03
  5.4800004E-01    1.5930815E-03
  5.4900002E-01    1.5930815E-03
  5.5000001E-01    1.5930815E-03
  5.5100000E-01    1.5930815E-03
  5.5200005E-01    1.7068731E-03
  5.5300003E-01    1.7068731E-03
  5.5400002E-01    1.7068731E-03
  5.5500001E-01    1.7068731E-03
  5.5600005E-01    1.7068731E-03
  5.5700004E-01    1.8206645E-03
  5.5800003E-01    1.8206645E-03
  5.5900002E-01    1.7068731E-03
  5.6000000E-01    1.7068731E-03
  5.6100005E-01    1.3654985E-03
  5.6200004E-01    1.1379154E-03
  5.6300002E-01    1.1379154E-03
  5.6400001E-01    1.1379154E-03
  5.6500000E-01    1.1379154E-03
  5.6600004E-01    1.0241239E-03
  5.6700003E-01    1.0241239E-03
  5.6800002E-01    1.1379154E-03
  5.6900001E-01    1.0241239E-03
  5.7000005E-01    1.0241239E-03
  5.7100004E-01    1.0241239E-03
  5.7200003E-01    1.0241239E-03
  5.7300001E-01    1.0241239E-03
  5.7400000E-01    1.0241239E-03
  5.7500005E-01    1.0241239E-03
  5.7600003E-01    1.0241239E-03
  5.7700002E-01    1.0241239E-03
  5.7800001E-01    1.0241239E-03
  5.7900006E-01    1.0241239E-03
  5.8000004E-01    1.1379154E-03
  5.8100003E-01    1.1379154E-03
  5.8200002E-01    1.1379154E-03
