# wave[microns]    norm_trans
  9.2999995E-01    1.3430706E-03
  9.3049997E-01    3.7995386E-03
  9.3099999E-01    2.7189685E-03
  9.3149996E-01    2.7347877E-04
  9.3199998E-01    3.3665970E-03
  9.3250000E-01    9.4908185E-04
  9.3299997E-01    2.9695753E-03
  9.3349999E-01    1.9494268E-03
  9.3399996E-01    9.4098196E-04
  9.3449998E-01    1.9242115E-03
  9.3500000E-01    3.8849376E-03
  9.3549997E-01    2.5616111E-03
  9.3599999E-01    1.8680718E-03
  9.3649995E-01    5.7210145E-04
  9.3699998E-01    2.5090396E-03
  9.3750000E-01    1.2026024E-03
  9.3799996E-01    2.4669347E-03
  9.3849999E-01    3.0652031E-03
  9.3899995E-01    2.4093678E-03
  9.3949997E-01    1.7769637E-03
  9.4000000E-01    2.3817737E-03
  9.4049996E-01    2.6736527E-03
  9.4099998E-01    2.6558114E-03
  9.4149995E-01    3.2442077E-03
  9.4199997E-01    3.2268423E-03
  9.4250000E-01    3.5604693E-03
  9.4299996E-01    2.6043106E-03
  9.4349998E-01    1.4056331E-03
  9.4400001E-01    3.4899376E-03
  9.4449997E-01    1.6669442E-03
  9.4499999E-01    2.5271184E-03
  9.4549996E-01    4.8535848E-03
  9.4599998E-01    2.7971123E-03
  9.4650000E-01    3.0468863E-03
  9.4699997E-01    3.8724488E-03
  9.4749999E-01    5.2584568E-03
  9.4799995E-01    3.8654315E-03
  9.4849998E-01    4.3559400E-03
  9.4900000E-01    5.7206578E-03
  9.4949996E-01    5.4607741E-03
  9.4999999E-01    6.8056285E-03
  9.5049995E-01    8.0316626E-03
  9.5099998E-01    9.3265623E-03
  9.5150000E-01    1.0663685E-02
  9.5199996E-01    1.4122937E-02
  9.5249999E-01    1.7703030E-02
  9.5299995E-01    2.0400589E-02
  9.5349997E-01    2.9147439E-02
  9.5400000E-01    3.6596652E-02
  9.5449996E-01    4.9626529E-02
  9.5499998E-01    6.4515442E-02
  9.5549995E-01    8.7610021E-02
  9.5599997E-01    1.1918978E-01
  9.5649999E-01    1.6808602E-01
  9.5699996E-01    2.3522766E-01
  9.5749998E-01    3.1438223E-01
  9.5800000E-01    4.2291498E-01
  9.5849997E-01    5.5104911E-01
  9.5899999E-01    6.9069654E-01
  9.5949996E-01    8.2407594E-01
  9.5999998E-01    9.2218947E-01
  9.6050000E-01    9.8318195E-01
  9.6099997E-01    1.0000000E+00
  9.6149999E-01    9.9562305E-01
  9.6199995E-01    9.7964936E-01
  9.6249998E-01    9.5628959E-01
  9.6300000E-01    9.3897194E-01
  9.6349996E-01    9.2724442E-01
  9.6399999E-01    9.1878784E-01
  9.6449995E-01    9.1684908E-01
  9.6499997E-01    9.1877592E-01
  9.6550000E-01    9.2340267E-01
  9.6599996E-01    9.2870742E-01
  9.6649998E-01    9.3420243E-01
  9.6699995E-01    9.4125557E-01
  9.6749997E-01    9.4634622E-01
  9.6799999E-01    9.4910556E-01
  9.6849996E-01    9.5436275E-01
  9.6899998E-01    9.5379186E-01
  9.6950001E-01    9.5576626E-01
  9.6999997E-01    9.5419621E-01
  9.7049999E-01    9.5250732E-01
  9.7099996E-01    9.4882017E-01
  9.7149998E-01    9.4554931E-01
  9.7200000E-01    9.3875784E-01
  9.7249997E-01    9.3210906E-01
  9.7299999E-01    9.2429471E-01
  9.7349995E-01    9.1285270E-01
  9.7399998E-01    9.0138692E-01
  9.7450000E-01    8.8807750E-01
  9.7499996E-01    8.7431616E-01
  9.7549999E-01    8.5841382E-01
  9.7599995E-01    8.4185737E-01
  9.7649997E-01    8.2618111E-01
  9.7700000E-01    8.0961275E-01
  9.7749996E-01    7.9764742E-01
  9.7799999E-01    7.8456396E-01
  9.7849995E-01    7.7822453E-01
  9.7899997E-01    7.7365714E-01
  9.7950000E-01    7.7597648E-01
  9.7999996E-01    7.8430235E-01
  9.8049998E-01    7.9714787E-01
  9.8099995E-01    8.1458443E-01
  9.8149997E-01    8.4012091E-01
  9.8199999E-01    8.6434895E-01
  9.8249996E-01    8.8158339E-01
  9.8299998E-01    8.8045347E-01
  9.8350000E-01    8.5175323E-01
  9.8399997E-01    7.8383845E-01
  9.8449999E-01    6.7686385E-01
  9.8499995E-01    5.4290169E-01
  9.8549998E-01    4.1693231E-01
  9.8600000E-01    3.1349018E-01
  9.8649997E-01    2.2692566E-01
  9.8699999E-01    1.6617109E-01
  9.8749995E-01    1.2054571E-01
  9.8799998E-01    8.8012040E-02
  9.8850000E-01    6.4944811E-02
  9.8899996E-01    4.9299445E-02
  9.8949999E-01    3.6973692E-02
  9.8999995E-01    2.9026119E-02
  9.9049997E-01    2.2533186E-02
  9.9100000E-01    1.8216852E-02
  9.9149996E-01    1.4347734E-02
  9.9199998E-01    1.1216994E-02
  9.9249995E-01    9.1919219E-03
  9.9299997E-01    7.7255103E-03
  9.9349999E-01    6.0976972E-03
  9.9399996E-01    4.8324135E-03
  9.9449998E-01    4.6293833E-03
  9.9499995E-01    5.9942203E-03
  9.9549997E-01    2.5066608E-03
  9.9599999E-01    3.5249060E-03
  9.9649996E-01    2.8231600E-03
  9.9699998E-01    1.7837433E-03
  9.9750000E-01    3.6449167E-03
  9.9799997E-01    2.2715165E-03
  9.9849999E-01    2.0903707E-03
  9.9899995E-01    1.5780961E-03
  9.9949998E-01    9.0349209E-04
  1.0000000E+00    2.3895048E-03
  1.0005000E+00    1.3906467E-03
  1.0009999E+00    2.2055048E-03
  1.0015000E+00    2.3553690E-03
  1.0020000E+00    1.5319474E-03
  1.0024999E+00    1.3622199E-03
  1.0030000E+00    1.6787193E-03
  1.0035000E+00    7.0608739E-04
  1.0039999E+00    5.4249732E-04
  1.0045000E+00    1.6536230E-03
  1.0050000E+00    8.5351348E-04
  1.0055000E+00    3.7633808E-04
  1.0059999E+00    3.7410200E-04
  1.0065000E+00    9.9825161E-04
  1.0070000E+00    1.1491984E-03
  1.0074999E+00    1.6081880E-03
  1.0080000E+00    1.4473810E-03
  1.0085000E+00    1.1318451E-03
  1.0089999E+00    1.4317998E-03
  1.0095000E+00    1.5792855E-03
  1.0100000E+00    9.6543611E-04
  1.0105000E+00    6.5917743E-04
  1.0109999E+00    1.1074861E-03
  1.0115000E+00    1.2530331E-03
  1.0120000E+00    1.3989724E-03
  1.0124999E+00    1.2426852E-03
  1.0130000E+00    9.4062521E-04
  1.0135000E+00    9.3774684E-04
  1.0139999E+00    6.3763739E-04
  1.0145000E+00    1.2211571E-03
  1.0150000E+00    1.8046768E-03
