# wave[microns]    norm_trans
  3.5999998E-01    2.8470520E-02
  3.6019999E-01    2.9767910E-02
  3.6039999E-01    3.1569842E-02
  3.6059999E-01    3.3371773E-02
  3.6080000E-01    3.5101626E-02
  3.6100000E-01    3.6471095E-02
  3.6120000E-01    3.7912641E-02
  3.6139998E-01    3.9642494E-02
  3.6159998E-01    4.1588582E-02
  3.6179999E-01    4.3318436E-02
  3.6199999E-01    4.5048289E-02
  3.6219999E-01    4.6994377E-02
  3.6240000E-01    4.8796307E-02
  3.6260000E-01    5.1391091E-02
  3.6280000E-01    5.2616403E-02
  3.6300001E-01    5.4778721E-02
  3.6319998E-01    5.7517655E-02
  3.6339998E-01    5.9391662E-02
  3.6359999E-01    6.0544901E-02
  3.6379999E-01    6.3500069E-02
  3.6399999E-01    6.6166930E-02
  3.6420000E-01    6.7608476E-02
  3.6440000E-01    7.1140260E-02
  3.6460000E-01    7.3590890E-02
  3.6479998E-01    7.6185666E-02
  3.6499998E-01    7.8780450E-02
  3.6519998E-01    8.0654457E-02
  3.6539999E-01    8.3825856E-02
  3.6559999E-01    8.6276487E-02
  3.6579999E-01    8.8655040E-02
  3.6600000E-01    9.2186823E-02
  3.6620000E-01    9.3916669E-02
  3.6640000E-01    9.7880922E-02
  3.6659998E-01    9.9899083E-02
  3.6679998E-01    1.0184518E-01
  3.6699998E-01    1.0638604E-01
  3.6719999E-01    1.1063860E-01
  3.6739999E-01    1.1301715E-01
  3.6759999E-01    1.1575608E-01
  3.6780000E-01    1.1907164E-01
  3.6800000E-01    1.2224303E-01
  3.6820000E-01    1.2454952E-01
  3.6839998E-01    1.2829752E-01
  3.6859998E-01    1.3283840E-01
  3.6879998E-01    1.3586564E-01
  3.6899999E-01    1.3968574E-01
  3.6919999E-01    1.4278506E-01
  3.6939999E-01    1.4552400E-01
  3.6960000E-01    1.4956032E-01
  3.6980000E-01    1.5193887E-01
  3.7000000E-01    1.5640767E-01
  3.7019998E-01    1.6022776E-01
  3.7039998E-01    1.6260630E-01
  3.7059999E-01    1.6700302E-01
  3.7079999E-01    1.7067896E-01
  3.7099999E-01    1.7536399E-01
  3.7120000E-01    1.7795877E-01
  3.7140000E-01    1.8228340E-01
  3.7160000E-01    1.8682426E-01
  3.7180001E-01    1.8891451E-01
  3.7199998E-01    1.9100475E-01
  3.7219998E-01    1.9691509E-01
  3.7239999E-01    1.9958195E-01
  3.7259999E-01    2.0469943E-01
  3.7279999E-01    2.0974484E-01
  3.7300000E-01    2.1291624E-01
  3.7320000E-01    2.1738502E-01
  3.7340000E-01    2.2286290E-01
  3.7359998E-01    2.2524145E-01
  3.7379998E-01    2.2956608E-01
  3.7399998E-01    2.3389073E-01
  3.7419999E-01    2.3547640E-01
  3.7439999E-01    2.4297245E-01
  3.7459999E-01    2.4751332E-01
  3.7480000E-01    2.5111720E-01
  3.7500000E-01    2.5522560E-01
  3.7520000E-01    2.5818077E-01
  3.7539998E-01    2.6142424E-01
  3.7559998E-01    2.6387486E-01
  3.7579998E-01    2.7086636E-01
  3.7599999E-01    2.7591175E-01
  3.7619999E-01    2.8016433E-01
  3.7639999E-01    2.8463313E-01
  3.7660000E-01    2.9205707E-01
  3.7680000E-01    2.9566094E-01
  3.7700000E-01    2.9818362E-01
  3.7719998E-01    3.0438229E-01
  3.7739998E-01    3.0387774E-01
  3.7759998E-01    3.0949977E-01
  3.7779999E-01    3.1814903E-01
  3.7799999E-01    3.1944644E-01
  3.7819999E-01    3.2117629E-01
  3.7840000E-01    3.2773533E-01
  3.7860000E-01    3.2932100E-01
  3.7880000E-01    3.3782613E-01
  3.7899998E-01    3.4013259E-01
  3.7919998E-01    3.4597087E-01
  3.7939999E-01    3.5058382E-01
  3.7959999E-01    3.5526884E-01
