# wave[microns]    norm_trans
  6.4999998E-01    0.0000000E+00
  6.5099996E-01    0.0000000E+00
  6.5200001E-01    0.0000000E+00
  6.5300000E-01    0.0000000E+00
  6.5399998E-01    0.0000000E+00
  6.5499997E-01    0.0000000E+00
  6.5599996E-01    0.0000000E+00
  6.5700001E-01    0.0000000E+00
  6.5799999E-01    0.0000000E+00
  6.5899998E-01    0.0000000E+00
  6.5999997E-01    0.0000000E+00
  6.6099995E-01    0.0000000E+00
  6.6200000E-01    0.0000000E+00
  6.6299999E-01    0.0000000E+00
  6.6399997E-01    0.0000000E+00
  6.6499996E-01    0.0000000E+00
  6.6600001E-01    0.0000000E+00
  6.6700000E-01    0.0000000E+00
  6.6799998E-01    0.0000000E+00
  6.6899997E-01    0.0000000E+00
  6.6999996E-01    0.0000000E+00
  6.7100000E-01    0.0000000E+00
  6.7199999E-01    0.0000000E+00
  6.7299998E-01    0.0000000E+00
  6.7399997E-01    0.0000000E+00
  6.7500001E-01    0.0000000E+00
  6.7600000E-01    0.0000000E+00
  6.7699999E-01    0.0000000E+00
  6.7799997E-01    0.0000000E+00
  6.7899996E-01    0.0000000E+00
  6.8000001E-01    0.0000000E+00
  6.8099999E-01    0.0000000E+00
  6.8199998E-01    0.0000000E+00
  6.8299997E-01    0.0000000E+00
  6.8399996E-01    0.0000000E+00
  6.8500000E-01    0.0000000E+00
  6.8599999E-01    0.0000000E+00
  6.8699998E-01    0.0000000E+00
  6.8799996E-01    0.0000000E+00
  6.8900001E-01    0.0000000E+00
  6.9000000E-01    0.0000000E+00
  6.9099998E-01    0.0000000E+00
  6.9199997E-01    0.0000000E+00
  6.9299996E-01    5.2887666E-05
  6.9400001E-01    5.2887666E-05
  6.9499999E-01    1.5866300E-04
  6.9599998E-01    3.1732599E-04
  6.9699997E-01    5.8176433E-04
  6.9799995E-01    1.0048656E-03
  6.9900000E-01    1.6924053E-03
  6.9999999E-01    2.6972708E-03
  7.0099998E-01    4.2839008E-03
  7.0199996E-01    6.4522955E-03
  7.0300001E-01    9.4140042E-03
  7.0400000E-01    1.3433467E-02
  7.0499998E-01    1.8669346E-02
  7.0599997E-01    2.5280306E-02
  7.0699996E-01    3.3477891E-02
  7.0800000E-01    4.3473665E-02
  7.0899999E-01    5.5320498E-02
  7.0999998E-01    6.9494396E-02
  7.1099997E-01    8.5678026E-02
  7.1199995E-01    1.0381848E-01
  7.1300000E-01    1.2396869E-01
  7.1399999E-01    1.4634018E-01
  7.1499997E-01    1.7066850E-01
  7.1599996E-01    1.9610748E-01
  7.1700001E-01    2.2345039E-01
  7.1799999E-01    2.5259149E-01
  7.1899998E-01    2.8194416E-01
  7.1999997E-01    3.1325364E-01
  7.2099996E-01    3.4387559E-01
  7.2200000E-01    3.7465620E-01
  7.2299999E-01    4.0585995E-01
  7.2399998E-01    4.3531838E-01
  7.2499996E-01    4.6594033E-01
  7.2600001E-01    4.9439391E-01
  7.2700000E-01    5.2226573E-01
  7.2799999E-01    5.4807484E-01
  7.2899997E-01    5.7414848E-01
  7.2999996E-01    5.9821242E-01
  7.3100001E-01    6.2291092E-01
  7.3199999E-01    6.4517665E-01
  7.3299998E-01    6.6659617E-01
  7.3399997E-01    6.8685210E-01
  7.3499995E-01    7.0710808E-01
  7.3600000E-01    7.2646499E-01
  7.3699999E-01    7.4391794E-01
  7.3799998E-01    7.6195264E-01
  7.3899996E-01    7.7961713E-01
  7.4000001E-01    7.9696423E-01
  7.4100000E-01    8.1447005E-01
  7.4199998E-01    8.2843238E-01
  7.4299997E-01    8.4403425E-01
  7.4399996E-01    8.6005920E-01
  7.4500000E-01    8.7391585E-01
  7.4599999E-01    8.8491648E-01
  7.4699998E-01    8.9745080E-01
  7.4799997E-01    9.0638882E-01
  7.4899995E-01    9.1834146E-01
  7.5000000E-01    9.2690921E-01
  7.5099999E-01    9.3478948E-01
  7.5199997E-01    9.4129467E-01
  7.5299996E-01    9.4552571E-01
  7.5400001E-01    9.5187217E-01
  7.5500000E-01    9.5319438E-01
  7.5599998E-01    9.5758408E-01
  7.5699997E-01    9.5895922E-01
  7.5799996E-01    9.5816582E-01
  7.5900000E-01    9.6133912E-01
  7.5999999E-01    9.6038711E-01
  7.6099998E-01    9.6181512E-01
  7.6199996E-01    9.6281999E-01
  7.6299995E-01    9.6525276E-01
  7.6400000E-01    9.6530569E-01
  7.6499999E-01    9.6488261E-01
  7.6599997E-01    9.6578169E-01
  7.6699996E-01    9.6779144E-01
  7.6800001E-01    9.6974826E-01
  7.6899999E-01    9.7281575E-01
  7.6999998E-01    9.7487837E-01
  7.7099997E-01    9.7926807E-01
  7.7199996E-01    9.8006135E-01
  7.7300000E-01    9.8244125E-01
  7.7399999E-01    9.8577321E-01
  7.7499998E-01    9.8889357E-01
  7.7599996E-01    9.9085045E-01
  7.7700001E-01    9.9381214E-01
  7.7800000E-01    9.9592763E-01
  7.7899998E-01    9.9825472E-01
  7.7999997E-01    9.9825472E-01
  7.8099996E-01    1.0000000E+00
  7.8200001E-01    9.9857199E-01
  7.8299999E-01    9.9952406E-01
  7.8399998E-01    9.9793738E-01
  7.8499997E-01    9.9508142E-01
  7.8599995E-01    9.9328327E-01
  7.8700000E-01    9.9180239E-01
  7.8799999E-01    9.9079752E-01
  7.8899997E-01    9.8603767E-01
  7.8999996E-01    9.8434520E-01
  7.9100001E-01    9.8191243E-01
  7.9200000E-01    9.7852761E-01
  7.9299998E-01    9.7556591E-01
  7.9399997E-01    9.7276282E-01
  7.9499996E-01    9.7339749E-01
  7.9600000E-01    9.7387350E-01
  7.9699999E-01    9.7033000E-01
  7.9799998E-01    9.6927226E-01
  7.9899997E-01    9.7107047E-01
  7.9999995E-01    9.7133487E-01
  8.0100000E-01    9.7440237E-01
  8.0199999E-01    9.7731113E-01
  8.0299997E-01    9.7662365E-01
  8.0399996E-01    9.7752273E-01
  8.0500001E-01    9.8085469E-01
  8.0599999E-01    9.8609054E-01
  8.0699998E-01    9.8704255E-01
  8.0799997E-01    9.8614347E-01
  8.0899996E-01    9.8868203E-01
  8.1000000E-01    9.9206686E-01
  8.1099999E-01    9.9132645E-01
  8.1199998E-01    9.9211973E-01
  8.1299996E-01    9.9095619E-01
  8.1399995E-01    9.9238414E-01
  8.1500000E-01    9.9137926E-01
  8.1599998E-01    9.9174953E-01
  8.1699997E-01    9.9011004E-01
  8.1799996E-01    9.8936963E-01
  8.1900001E-01    9.8894650E-01
  8.1999999E-01    9.8508567E-01
  8.2099998E-01    9.8159510E-01
  8.2199997E-01    9.8059022E-01
  8.2299995E-01    9.8074889E-01
  8.2400000E-01    9.7974402E-01
  8.2499999E-01    9.7477257E-01
  8.2599998E-01    9.7720546E-01
  8.2699996E-01    9.7286862E-01
  8.2799995E-01    9.7297442E-01
  8.2900000E-01    9.7456104E-01
  8.2999998E-01    9.7276282E-01
  8.3099997E-01    9.7011840E-01
  8.3199996E-01    9.7419077E-01
  8.3300000E-01    9.7461390E-01
  8.3399999E-01    9.7339749E-01
  8.3499998E-01    9.7265708E-01
  8.3599997E-01    9.7694099E-01
  8.3699995E-01    9.7471970E-01
  8.3800000E-01    9.7635919E-01
