# wave[microns]    norm_trans
  1.3500000E+00    2.8909000E-08
  1.3510000E+00    5.1487302E-08
  1.3520000E+00    6.5105901E-08
  1.3529999E+00    6.0939001E-08
  1.3540000E+00    9.3765401E-08
  1.3550000E+00    1.2072201E-07
  1.3559999E+00    1.1269600E-07
  1.3570000E+00    1.2124600E-07
  1.3579999E+00    2.5632500E-07
  1.3590000E+00    1.3929500E-07
  1.3600000E+00    2.7466601E-07
  1.3609999E+00    2.1194001E-07
  1.3620000E+00    2.7143699E-07
  1.3629999E+00    2.3021400E-07
  1.3640000E+00    2.4413200E-07
  1.3650000E+00    6.1076702E-07
  1.3659999E+00    7.9238202E-07
  1.3670000E+00    5.7960398E-07
  1.3679999E+00    1.1463000E-06
  1.3690000E+00    7.9904999E-07
  1.3700000E+00    8.9360401E-07
  1.3709999E+00    1.0074400E-06
  1.3720000E+00    1.2060500E-06
  1.3729999E+00    1.2163300E-06
  1.3740000E+00    1.4746799E-06
  1.3750000E+00    2.7188401E-06
  1.3759999E+00    3.3559299E-06
  1.3770000E+00    4.6583200E-06
  1.3780000E+00    5.4570401E-06
  1.3789999E+00    5.7794300E-06
  1.3800000E+00    6.2240401E-06
  1.3809999E+00    7.1290701E-06
  1.3820000E+00    4.8442198E-06
  1.3830000E+00    4.0586901E-06
  1.3839999E+00    3.1077500E-06
  1.3850000E+00    3.3077999E-06
  1.3859999E+00    3.4346799E-06
  1.3870000E+00    1.0059500E-05
  1.3880000E+00    1.5684900E-05
  1.3889999E+00    2.6334401E-05
  1.3900000E+00    4.5553301E-05
  1.3909999E+00    2.3052800E-05
  1.3920000E+00    5.8229100E-05
  1.3930000E+00    5.7024201E-05
  1.3939999E+00    3.2282100E-05
  1.3950000E+00    4.3733799E-05
  1.3959999E+00    4.3230899E-05
  1.3970000E+00    3.4343298E-05
  1.3980000E+00    3.8014099E-05
  1.3989999E+00    4.6190798E-05
  1.4000000E+00    5.2515999E-05
  1.4010000E+00    8.5960703E-05
  1.4020000E+00    4.8074900E-05
  1.4030000E+00    4.3499102E-05
  1.4039999E+00    8.1018399E-05
  1.4050000E+00    7.5944597E-05
  1.4060000E+00    7.6158198E-05
  1.4069999E+00    7.4683099E-05
  1.4080000E+00    6.1767401E-05
  1.4089999E+00    8.8753797E-05
  1.4100000E+00    8.7423599E-05
  1.4110000E+00    8.1663500E-05
  1.4119999E+00    8.5537104E-05
  1.4130000E+00    8.0356200E-05
  1.4139999E+00    1.1726900E-04
  1.4150000E+00    1.1158400E-04
  1.4160000E+00    8.8218600E-05
  1.4169999E+00    1.3266400E-04
  1.4180000E+00    1.2928899E-04
  1.4189999E+00    1.4561199E-04
  1.4200000E+00    1.2164300E-04
  1.4210000E+00    1.0827700E-04
  1.4219999E+00    1.1872400E-04
  1.4230000E+00    1.4494100E-04
  1.4239999E+00    1.3268800E-04
  1.4250000E+00    1.2479200E-04
  1.4260000E+00    1.2310701E-04
  1.4269999E+00    1.4356400E-04
  1.4280000E+00    1.7018399E-04
  1.4290000E+00    1.6476400E-04
  1.4299999E+00    1.1379600E-04
  1.4310000E+00    1.4180600E-04
  1.4319999E+00    1.8356100E-04
  1.4330000E+00    1.0235500E-04
  1.4340000E+00    1.5272100E-04
  1.4349999E+00    1.5089400E-04
  1.4360000E+00    1.7689900E-04
  1.4369999E+00    1.4530700E-04
  1.4380000E+00    1.8089700E-04
  1.4390000E+00    1.7235300E-04
  1.4399999E+00    1.2463200E-04
  1.4410000E+00    1.5156600E-04
  1.4419999E+00    2.2155800E-04
  1.4430000E+00    1.4855700E-04
  1.4440000E+00    1.6869300E-04
  1.4449999E+00    2.0782099E-04
  1.4460000E+00    1.8453400E-04
  1.4469999E+00    1.9248300E-04
  1.4480000E+00    1.7598600E-04
  1.4490000E+00    1.5862900E-04
  1.4499999E+00    2.1846300E-04
  1.4510000E+00    1.3479601E-04
  1.4520000E+00    2.0525900E-04
  1.4529999E+00    1.9131800E-04
  1.4540000E+00    1.2483400E-04
  1.4549999E+00    3.2014400E-04
  1.4560000E+00    2.4685101E-04
  1.4570000E+00    2.7517899E-04
  1.4579999E+00    2.7596101E-04
  1.4590000E+00    2.6466500E-04
  1.4599999E+00    2.8456000E-04
  1.4610000E+00    2.6693899E-04
  1.4620000E+00    2.4829101E-04
  1.4629999E+00    1.9743800E-04
  1.4640000E+00    2.3408400E-04
  1.4649999E+00    2.3829300E-04
  1.4660000E+00    1.9268801E-04
  1.4670000E+00    2.3650400E-04
  1.4679999E+00    2.4237701E-04
  1.4690000E+00    2.5929400E-04
  1.4699999E+00    2.3481601E-04
  1.4710000E+00    2.0384100E-04
  1.4720000E+00    2.3674600E-04
  1.4729999E+00    1.2836000E-04
  1.4740000E+00    2.0037500E-04
  1.4749999E+00    2.2601300E-04
  1.4760000E+00    3.0483000E-04
  1.4770000E+00    2.3251800E-04
  1.4779999E+00    2.7904499E-04
  1.4790000E+00    2.4115101E-04
  1.4800000E+00    2.3162500E-04
  1.4809999E+00    2.4576701E-04
  1.4820000E+00    2.2032300E-04
  1.4829999E+00    2.6212999E-04
  1.4840000E+00    2.7280999E-04
  1.4850000E+00    3.2983199E-04
  1.4859999E+00    3.0146501E-04
  1.4870000E+00    2.6175301E-04
  1.4879999E+00    2.8374500E-04
  1.4890000E+00    2.6831200E-04
  1.4900000E+00    2.7958999E-04
  1.4909999E+00    2.5377999E-04
  1.4920000E+00    2.3793300E-04
  1.4929999E+00    3.6529600E-04
  1.4940000E+00    3.1874701E-04
  1.4950000E+00    2.9461400E-04
  1.4959999E+00    3.4287799E-04
  1.4970000E+00    2.9359999E-04
  1.4979999E+00    3.4375401E-04
  1.4990000E+00    3.8124900E-04
  1.5000000E+00    3.5504601E-04
  1.5009999E+00    8.9886598E-05
  1.5020000E+00    3.3166001E-04
  1.5030000E+00    3.6407099E-04
  1.5039999E+00    3.1215101E-04
  1.5050000E+00    2.6696999E-04
  1.5059999E+00    3.1660500E-04
  1.5070000E+00    3.8896399E-04
  1.5080000E+00    3.7285901E-04
  1.5089999E+00    3.2866001E-04
