# wave[microns]    norm_trans
  8.9999998E-01    1.8969600E-07
  9.0099996E-01    0.0000000E+00
  9.0199995E-01    0.0000000E+00
  9.0300000E-01    0.0000000E+00
  9.0399998E-01    1.5960801E-08
  9.0499997E-01    0.0000000E+00
  9.0599996E-01    0.0000000E+00
  9.0700001E-01    5.1831499E-08
  9.0799999E-01    1.0479300E-07
  9.0899998E-01    0.0000000E+00
  9.0999997E-01    6.4983698E-07
  9.1099995E-01    4.1905599E-07
  9.1200000E-01    1.4286100E-08
  9.1299999E-01    0.0000000E+00
  9.1399997E-01    5.9726801E-07
  9.1499996E-01    1.0261100E-06
  9.1599995E-01    6.8552600E-07
  9.1700000E-01    1.1110500E-06
  9.1799998E-01    2.5572399E-06
  9.1899997E-01    2.7548101E-06
  9.1999996E-01    2.9065400E-06
  9.2100000E-01    3.9509100E-06
  9.2199999E-01    5.6687800E-06
  9.2299998E-01    8.4919102E-06
  9.2399997E-01    1.2814600E-05
  9.2499995E-01    1.3619900E-05
  9.2600000E-01    1.5038800E-05
  9.2699999E-01    2.9994400E-05
  9.2799997E-01    4.8642400E-05
  9.2899996E-01    5.7583900E-05
  9.2999995E-01    8.7296998E-05
  9.3099999E-01    7.4752301E-05
  9.3199998E-01    1.1906800E-04
  9.3299997E-01    1.3726900E-04
  9.3399996E-01    1.5485000E-04
  9.3500000E-01    1.4820699E-04
  9.3599999E-01    2.0564400E-04
  9.3699998E-01    2.2719600E-04
  9.3799996E-01    2.6579201E-04
  9.3899995E-01    3.1731601E-04
  9.4000000E-01    4.5202801E-04
  9.4099998E-01    6.0508098E-04
  9.4199997E-01    7.2835200E-04
  9.4299996E-01    8.4393797E-04
  9.4400001E-01    8.9510198E-04
  9.4499999E-01    1.1950700E-03
  9.4599998E-01    1.4902200E-03
  9.4699997E-01    1.7369300E-03
  9.4799995E-01    2.3077701E-03
  9.4900000E-01    2.8255000E-03
  9.4999999E-01    3.4347600E-03
  9.5099998E-01    3.8066900E-03
  9.5199996E-01    5.4199100E-03
  9.5299995E-01    6.3232300E-03
  9.5400000E-01    8.4872600E-03
  9.5499998E-01    1.1346100E-02
  9.5599997E-01    1.4604500E-02
  9.5699996E-01    2.0031899E-02
  9.5800000E-01    2.8707400E-02
  9.5899999E-01    4.1502301E-02
  9.5999998E-01    5.4785799E-02
  9.6099997E-01    8.0968998E-02
  9.6199995E-01    1.1892900E-01
  9.6300000E-01    1.5780599E-01
  9.6399999E-01    2.0955800E-01
  9.6499997E-01    2.5588799E-01
  9.6599996E-01    3.2012099E-01
  9.6699995E-01    3.7740901E-01
  9.6799999E-01    4.2861599E-01
  9.6899998E-01    4.9227700E-01
  9.6999997E-01    5.3670597E-01
  9.7099996E-01    5.6607598E-01
  9.7200000E-01    5.9629798E-01
  9.7299999E-01    6.1891901E-01
  9.7399998E-01    6.2887597E-01
  9.7499996E-01    6.3494498E-01
  9.7599995E-01    6.5832800E-01
  9.7700000E-01    6.7385602E-01
  9.7799999E-01    7.1149802E-01
  9.7899997E-01    7.2338903E-01
  9.7999996E-01    7.2893000E-01
  9.8099995E-01    7.4351197E-01
  9.8199999E-01    7.7195299E-01
  9.8299998E-01    7.7861297E-01
  9.8399997E-01    7.7994299E-01
  9.8499995E-01    7.8964800E-01
  9.8600000E-01    7.9101402E-01
  9.8699999E-01    7.9589599E-01
  9.8799998E-01    7.9093301E-01
  9.8899996E-01    7.8937000E-01
  9.8999995E-01    7.8675699E-01
  9.9100000E-01    7.8258002E-01
  9.9199998E-01    7.8301001E-01
  9.9299997E-01    7.8288102E-01
  9.9399996E-01    7.8372902E-01
  9.9499995E-01    7.9000002E-01
  9.9599999E-01    7.9620600E-01
  9.9699998E-01    8.0190402E-01
  9.9799997E-01    8.1196201E-01
  9.9899995E-01    8.2209301E-01
  1.0000000E+00    8.3128399E-01
  1.0009999E+00    8.4200799E-01
  1.0020000E+00    8.5167301E-01
  1.0030000E+00    8.5779297E-01
  1.0039999E+00    8.6649901E-01
  1.0050000E+00    8.7087399E-01
  1.0059999E+00    8.7568998E-01
  1.0070000E+00    8.7577897E-01
  1.0080000E+00    8.7464100E-01
  1.0089999E+00    8.7538099E-01
  1.0100000E+00    8.7205303E-01
  1.0109999E+00    8.7083000E-01
  1.0120000E+00    8.7214798E-01
  1.0130000E+00    8.7242401E-01
  1.0139999E+00    8.7348998E-01
  1.0150000E+00    8.7560898E-01
  1.0160000E+00    8.7867498E-01
  1.0170000E+00    8.8572598E-01
  1.0180000E+00    8.8947898E-01
  1.0189999E+00    8.9628702E-01
  1.0200000E+00    9.0319502E-01
  1.0210000E+00    9.0947402E-01
  1.0220000E+00    9.1868001E-01
  1.0230000E+00    9.2500800E-01
  1.0239999E+00    9.2996502E-01
  1.0250000E+00    9.3233103E-01
  1.0260000E+00    9.3736702E-01
  1.0270000E+00    9.3775898E-01
  1.0280000E+00    9.3805599E-01
  1.0289999E+00    9.3674201E-01
  1.0300000E+00    9.3488598E-01
  1.0310000E+00    9.3247801E-01
  1.0319999E+00    9.3010098E-01
  1.0330000E+00    9.2607403E-01
  1.0339999E+00    9.2361301E-01
  1.0350000E+00    9.2326701E-01
  1.0360000E+00    9.2161298E-01
  1.0369999E+00    9.2146498E-01
  1.0380000E+00    9.2071402E-01
  1.0389999E+00    9.2292202E-01
  1.0400000E+00    9.2408103E-01
  1.0410000E+00    9.2798799E-01
  1.0419999E+00    9.3086499E-01
  1.0430000E+00    9.3486100E-01
  1.0440000E+00    9.3928099E-01
  1.0450000E+00    9.4370502E-01
  1.0460000E+00    9.4686300E-01
  1.0469999E+00    9.4928998E-01
  1.0480000E+00    9.5244098E-01
  1.0490000E+00    9.5508099E-01
  1.0500000E+00    9.5605099E-01
  1.0510000E+00    9.5584297E-01
  1.0519999E+00    9.5631498E-01
  1.0530000E+00    9.5599502E-01
  1.0540000E+00    9.5373100E-01
  1.0549999E+00    9.5249999E-01
  1.0560000E+00    9.5046598E-01
  1.0569999E+00    9.4736803E-01
  1.0580000E+00    9.4594800E-01
  1.0590000E+00    9.4349802E-01
  1.0599999E+00    9.4131202E-01
  1.0610000E+00    9.4015402E-01
  1.0619999E+00    9.3962097E-01
  1.0630000E+00    9.3912297E-01
  1.0640000E+00    9.4010699E-01
  1.0649999E+00    9.4039398E-01
  1.0660000E+00    9.4171202E-01
  1.0670000E+00    9.4539100E-01
  1.0680000E+00    9.4849700E-01
  1.0690000E+00    9.5163000E-01
  1.0699999E+00    9.5722002E-01
  1.0710000E+00    9.6192503E-01
  1.0720000E+00    9.6701998E-01
  1.0730000E+00    9.7238100E-01
  1.0740000E+00    9.7786999E-01
  1.0749999E+00    9.8123401E-01
  1.0760000E+00    9.8459500E-01
  1.0770000E+00    9.9143702E-01
  1.0779999E+00    9.8961198E-01
  1.0790000E+00    9.9236798E-01
  1.0799999E+00    9.9939001E-01
  1.0810000E+00    9.9469697E-01
  1.0820000E+00    9.9492902E-01
  1.0829999E+00    1.0000000E+00
  1.0840000E+00    9.9392802E-01
  1.0849999E+00    9.9216098E-01
  1.0860000E+00    9.9566698E-01
  1.0870000E+00    9.8145598E-01
  1.0879999E+00    9.9191099E-01
  1.0890000E+00    9.9776798E-01
  1.0899999E+00    9.9168003E-01
  1.0910000E+00    9.8278397E-01
  1.0920000E+00    9.9112099E-01
  1.0929999E+00    9.7904301E-01
  1.0940000E+00    9.7182000E-01
  1.0950000E+00    9.8243898E-01
  1.0960000E+00    9.7097301E-01
  1.0970000E+00    9.6862799E-01
  1.0979999E+00    9.7254598E-01
  1.0990000E+00    9.5324701E-01
  1.1000000E+00    9.3534899E-01
  1.1010000E+00    9.2268097E-01
  1.1020000E+00    9.2268902E-01
  1.1029999E+00    9.0548199E-01
  1.1040000E+00    9.0108502E-01
  1.1050000E+00    8.9214802E-01
  1.1059999E+00    8.8819999E-01
  1.1070000E+00    8.6701697E-01
  1.1079999E+00    8.7636399E-01
  1.1090000E+00    8.4791499E-01
  1.1100000E+00    8.5550702E-01
  1.1109999E+00    8.4920800E-01
  1.1120000E+00    8.2186502E-01
  1.1129999E+00    8.0921602E-01
  1.1140000E+00    7.9949099E-01
  1.1150000E+00    7.8212798E-01
  1.1159999E+00    7.3974901E-01
  1.1170000E+00    6.6989398E-01
  1.1180000E+00    5.9225702E-01
  1.1190000E+00    5.2845401E-01
  1.1200000E+00    4.6445301E-01
  1.1209999E+00    3.9491701E-01
  1.1220000E+00    3.3727500E-01
