# wave[microns]    norm_trans
  3.1016001E-01    7.1306638E-02
  3.1029999E-01    7.1945570E-02
  3.1043997E-01    7.8210346E-02
  3.1057999E-01    7.0998438E-02
  3.1072000E-01    7.3424384E-02
  3.1086001E-01    7.8117765E-02
  3.1099999E-01    7.2302327E-02
  3.1113997E-01    6.5592945E-02
  3.1127998E-01    6.6042826E-02
  3.1141999E-01    6.8049774E-02
  3.1156000E-01    6.7768931E-02
  3.1169999E-01    7.4652255E-02
  3.1183997E-01    6.9828987E-02
  3.1198001E-01    7.3753417E-02
  3.1211999E-01    7.2175756E-02
  3.1226000E-01    6.1638147E-02
  3.1239998E-01    6.4365715E-02
  3.1253999E-01    6.8085499E-02
  3.1268001E-01    7.4243702E-02
  3.1281999E-01    7.4024931E-02
  3.1296000E-01    6.4137548E-02
  3.1309998E-01    6.8390630E-02
  3.1323999E-01    6.9006607E-02
  3.1338000E-01    7.0882641E-02
  3.1351998E-01    6.1183415E-02
  3.1366000E-01    6.6198759E-02
  3.1379998E-01    7.2454348E-02
  3.1393999E-01    6.8769954E-02
  3.1408000E-01    6.9995075E-02
  3.1421998E-01    6.3417308E-02
  3.1435999E-01    6.2565967E-02
  3.1450000E-01    6.5562323E-02
  3.1463999E-01    6.6624932E-02
  3.1478000E-01    6.1130609E-02
  3.1491998E-01    6.2434163E-02
  3.1505999E-01    6.7066684E-02
  3.1520000E-01    6.9665469E-02
  3.1533998E-01    6.6406265E-02
  3.1547999E-01    6.2622622E-02
  3.1561998E-01    5.9048880E-02
  3.1576002E-01    6.6752225E-02
  3.1590000E-01    6.8928398E-02
  3.1603998E-01    6.2644713E-02
  3.1617999E-01    5.8313545E-02
  3.1631997E-01    5.6171354E-02
  3.1646001E-01    6.2816463E-02
  3.1659999E-01    6.6805482E-02
  3.1673998E-01    6.2878020E-02
  3.1687999E-01    6.1832253E-02
  3.1702000E-01    5.8653157E-02
  3.1716001E-01    6.0743093E-02
  3.1729999E-01    6.2653743E-02
  3.1743997E-01    6.3735031E-02
  3.1757998E-01    6.0712852E-02
  3.1772000E-01    6.7039095E-02
  3.1786001E-01    6.3432753E-02
  3.1799999E-01    5.6637224E-02
  3.1813997E-01    6.0669210E-02
  3.1828001E-01    6.1127830E-02
  3.1841999E-01    6.1291549E-02
  3.1856000E-01    5.9551470E-02
  3.1869999E-01    6.1186656E-02
  3.1884000E-01    6.2218215E-02
  3.1898001E-01    6.4923555E-02
  3.1911999E-01    6.2711298E-02
  3.1926000E-01    6.1282482E-02
  3.1939998E-01    6.2205665E-02
  3.1953999E-01    6.3936658E-02
  3.1968001E-01    5.4082680E-02
  3.1981999E-01    5.4130197E-02
  3.1996000E-01    5.8751669E-02
  3.2009998E-01    5.9824094E-02
  3.2023999E-01    5.7176523E-02
  3.2038000E-01    5.4334886E-02
  3.2051998E-01    5.1640395E-02
  3.2066000E-01    5.5560272E-02
  3.2080001E-01    5.8035091E-02
  3.2093999E-01    5.4973606E-02
  3.2108000E-01    5.4895077E-02
  3.2121998E-01    5.8205675E-02
  3.2135999E-01    5.4280970E-02
  3.2150000E-01    4.9476154E-02
  3.2163998E-01    5.2972633E-02
  3.2178000E-01    5.5370841E-02
  3.2191998E-01    5.4168336E-02
  3.2205999E-01    5.4420616E-02
  3.2220000E-01    5.7291295E-02
  3.2233998E-01    5.0597958E-02
  3.2247999E-01    4.9709745E-02
  3.2261997E-01    5.2107010E-02
  3.2276002E-01    5.1476091E-02
  3.2290000E-01    5.0876770E-02
  3.2303998E-01    4.8406385E-02
  3.2317999E-01    4.9344636E-02
  3.2332000E-01    4.3478582E-02
  3.2346001E-01    4.4693924E-02
  3.2359999E-01    4.5260470E-02
  3.2373998E-01    4.3407619E-02
  3.2387999E-01    4.3847505E-02
  3.2402000E-01    4.7005005E-02
  3.2416001E-01    4.7110353E-02
  3.2429999E-01    4.2504046E-02
  3.2443997E-01    4.4620715E-02
  3.2457998E-01    4.4847976E-02
  3.2472000E-01    3.8289156E-02
  3.2486001E-01    4.1854843E-02
  3.2499999E-01    4.2996112E-02
  3.2513997E-01    4.2461328E-02
  3.2528001E-01    4.3080710E-02
  3.2541999E-01    3.8586143E-02
  3.2556000E-01    3.9780363E-02
  3.2569999E-01    4.0057577E-02
  3.2584000E-01    3.6287032E-02
  3.2598001E-01    3.7923746E-02
  3.2611999E-01    3.8661685E-02
  3.2626000E-01    3.8590282E-02
  3.2639998E-01    3.6723830E-02
  3.2653999E-01    3.2126535E-02
  3.2668000E-01    3.2845370E-02
  3.2681999E-01    3.5664350E-02
  3.2696000E-01    3.3423815E-02
  3.2709998E-01    3.3316441E-02
  3.2723999E-01    3.3125408E-02
  3.2738000E-01    3.2531183E-02
  3.2751998E-01    3.2347716E-02
  3.2765999E-01    3.0588128E-02
  3.2780001E-01    3.1604845E-02
  3.2793999E-01    3.1674780E-02
  3.2808000E-01    2.8804641E-02
  3.2821998E-01    2.9234936E-02
  3.2835999E-01    3.0873412E-02
  3.2850000E-01    2.7441375E-02
  3.2863998E-01    2.7317215E-02
  3.2878000E-01    2.7431823E-02
  3.2891998E-01    2.4372028E-02
  3.2905999E-01    2.6963087E-02
  3.2920000E-01    2.7581079E-02
  3.2933998E-01    2.7800852E-02
  3.2947999E-01    2.5249716E-02
  3.2961997E-01    2.2780500E-02
  3.2976002E-01    2.2913240E-02
  3.2990000E-01    2.4076268E-02
  3.3003998E-01    2.4652604E-02
  3.3017999E-01    2.3878019E-02
  3.3032000E-01    2.2314977E-02
  3.3046001E-01    2.3797248E-02
  3.3059999E-01    2.3644792E-02
  3.3073997E-01    2.4608588E-02
  3.3087999E-01    2.2882000E-02
  3.3102000E-01    2.1604259E-02
  3.3116001E-01    2.1963885E-02
  3.3129999E-01    2.2633009E-02
  3.3143997E-01    2.2601904E-02
  3.3157998E-01    2.1462012E-02
  3.3171999E-01    2.1027265E-02
  3.3186001E-01    2.0515215E-02
  3.3199999E-01    1.9409698E-02
  3.3213997E-01    2.1240221E-02
  3.3228001E-01    2.1539047E-02
  3.3241999E-01    1.9407578E-02
  3.3256000E-01    1.9239834E-02
  3.3269998E-01    2.0510834E-02
  3.3284000E-01    1.9492114E-02
  3.3298001E-01    1.8017720E-02
  3.3311999E-01    1.9655762E-02
  3.3326000E-01    1.8746436E-02
  3.3339998E-01    1.8650569E-02
  3.3353999E-01    2.0403579E-02
  3.3368000E-01    1.7824447E-02
  3.3381999E-01    1.9227801E-02
  3.3396000E-01    1.8934535E-02
  3.3409998E-01    1.7036470E-02
  3.3423999E-01    1.6981870E-02
  3.3438000E-01    1.7913051E-02
  3.3451998E-01    1.7796796E-02
  3.3465999E-01    1.8183505E-02
  3.3480000E-01    1.6469968E-02
  3.3493999E-01    1.7734021E-02
  3.3508000E-01    1.6917033E-02
  3.3521998E-01    1.6163163E-02
  3.3535999E-01    1.5600235E-02
  3.3550000E-01    1.5725069E-02
  3.3563998E-01    1.6419794E-02
  3.3577999E-01    1.5935021E-02
  3.3591998E-01    1.6151968E-02
  3.3605999E-01    1.5933048E-02
  3.3620000E-01    1.5360539E-02
  3.3633998E-01    1.4787385E-02
  3.3647999E-01    1.5658615E-02
  3.3661997E-01    1.5423373E-02
  3.3676001E-01    1.4523642E-02
  3.3690000E-01    1.6142881E-02
  3.3703998E-01    1.5281381E-02
  3.3717999E-01    1.5047470E-02
  3.3732000E-01    1.4363980E-02
  3.3746001E-01    1.3824117E-02
  3.3759999E-01    1.5129302E-02
  3.3773997E-01    1.4353867E-02
  3.3787999E-01    1.4311765E-02
  3.3802000E-01    1.3740541E-02
  3.3816001E-01    1.4349542E-02
  3.3829999E-01    1.4159534E-02
  3.3843997E-01    1.2382401E-02
  3.3857998E-01    1.1722573E-02
  3.3871999E-01    1.2158960E-02
  3.3886001E-01    1.3006088E-02
  3.3899999E-01    1.3246330E-02
  3.3913997E-01    1.3086014E-02
  3.3928001E-01    1.2730081E-02
  3.3941999E-01    1.2110115E-02
  3.3956000E-01    1.0948986E-02
  3.3969998E-01    1.1295629E-02
  3.3983999E-01    1.1254801E-02
  3.3998001E-01    1.0630887E-02
  3.4011999E-01    1.1916962E-02
  3.4026000E-01    1.1718304E-02
  3.4039998E-01    1.0645908E-02
  3.4053999E-01    1.1994854E-02
  3.4068000E-01    1.1281594E-02
  3.4081998E-01    1.1914529E-02
  3.4096000E-01    1.1363736E-02
  3.4109998E-01    1.0798169E-02
  3.4123999E-01    1.0408230E-02
  3.4138000E-01    1.1441823E-02
  3.4151998E-01    1.1415255E-02
  3.4165999E-01    1.0489738E-02
  3.4180000E-01    1.1327026E-02
  3.4193999E-01    1.0744666E-02
  3.4208000E-01    1.0650704E-02
  3.4221998E-01    1.0795814E-02
  3.4235999E-01    1.0111871E-02
  3.4250000E-01    1.0600305E-02
  3.4263998E-01    1.0752309E-02
  3.4277999E-01    1.0077543E-02
  3.4291998E-01    1.0899071E-02
  3.4305999E-01    1.0212754E-02
  3.4320000E-01    9.5572323E-03
  3.4333998E-01    9.9472255E-03
  3.4347999E-01    9.5318388E-03
  3.4361997E-01    9.3107894E-03
  3.4376001E-01    9.4201053E-03
  3.4390000E-01    9.2085907E-03
  3.4403998E-01    9.9358251E-03
  3.4417999E-01    1.0551007E-02
  3.4432000E-01    1.0111141E-02
  3.4446001E-01    9.3976548E-03
  3.4459999E-01    9.5841540E-03
  3.4473997E-01    9.3337484E-03
  3.4487998E-01    9.1581112E-03
  3.4502000E-01    8.7725790E-03
  3.4516001E-01    8.7085525E-03
  3.4529999E-01    8.5035758E-03
  3.4543997E-01    8.4967548E-03
  3.4557998E-01    8.4717553E-03
  3.4571999E-01    9.1192201E-03
  3.4586000E-01    9.3336878E-03
  3.4599999E-01    9.1214711E-03
  3.4613997E-01    8.5026817E-03
  3.4628001E-01    8.7182876E-03
  3.4641999E-01    8.2651135E-03
  3.4656000E-01    7.5110942E-03
  3.4669998E-01    7.9230946E-03
  3.4683999E-01    8.0383476E-03
  3.4698001E-01    7.9302248E-03
  3.4711999E-01    8.1770103E-03
  3.4726000E-01    8.2234759E-03
  3.4739998E-01    8.3674910E-03
  3.4753999E-01    8.1507871E-03
  3.4768000E-01    8.3063254E-03
  3.4781998E-01    7.7789021E-03
  3.4796000E-01    7.8496533E-03
  3.4809998E-01    8.1247799E-03
  3.4823999E-01    8.1152376E-03
  3.4838000E-01    7.9143038E-03
  3.4851998E-01    7.7318149E-03
  3.4865999E-01    8.0453288E-03
  3.4880000E-01    8.2934340E-03
  3.4893999E-01    7.8735240E-03
  3.4908000E-01    9.0037724E-03
  3.4921998E-01    9.0407478E-03
  3.4935999E-01    8.5952813E-03
  3.4950000E-01    9.5398817E-03
  3.4963998E-01    8.5771466E-03
  3.4977999E-01    8.9497650E-03
  3.4991997E-01    8.9071346E-03
  3.5005999E-01    8.8642966E-03
  3.5020000E-01    8.8261077E-03
  3.5033998E-01    9.3283225E-03
  3.5047999E-01    9.8603610E-03
  3.5061997E-01    1.0071779E-02
  3.5076001E-01    1.0050409E-02
  3.5089999E-01    1.0317334E-02
  3.5103998E-01    1.0484371E-02
  3.5117999E-01    1.0511165E-02
  3.5132000E-01    1.0953284E-02
  3.5146001E-01    1.2072213E-02
  3.5159999E-01    1.2477000E-02
  3.5173997E-01    1.2086049E-02
  3.5187998E-01    1.2258707E-02
  3.5202000E-01    1.2271882E-02
  3.5216001E-01    1.3083212E-02
  3.5229999E-01    1.3385664E-02
  3.5243997E-01    1.4170641E-02
  3.5257998E-01    1.4530431E-02
  3.5271999E-01    1.3821302E-02
  3.5286000E-01    1.4497486E-02
  3.5299999E-01    1.6401304E-02
  3.5313997E-01    1.6651554E-02
  3.5328001E-01    1.7413599E-02
  3.5341999E-01    1.8753683E-02
  3.5356000E-01    1.9157523E-02
  3.5369998E-01    1.9550031E-02
  3.5383999E-01    2.0665651E-02
  3.5398000E-01    2.1457050E-02
  3.5411999E-01    2.2202371E-02
  3.5426000E-01    2.3635108E-02
  3.5439998E-01    2.4031637E-02
  3.5453999E-01    2.5330262E-02
  3.5468000E-01    2.6244402E-02
  3.5481998E-01    2.7058804E-02
  3.5495999E-01    2.7434081E-02
  3.5510001E-01    2.9606309E-02
  3.5523999E-01    3.0787110E-02
  3.5538000E-01    3.2234881E-02
  3.5551998E-01    3.4143817E-02
  3.5565999E-01    3.4797337E-02
  3.5580000E-01    3.5444621E-02
  3.5593998E-01    3.7009336E-02
  3.5608000E-01    3.9152779E-02
  3.5621998E-01    4.1702587E-02
  3.5635999E-01    4.2573679E-02
  3.5650000E-01    4.4080626E-02
  3.5663998E-01    4.5124054E-02
  3.5677999E-01    4.7039427E-02
  3.5691997E-01    4.8289564E-02
  3.5706002E-01    4.9928401E-02
  3.5720000E-01    5.2463066E-02
  3.5733998E-01    5.3708583E-02
  3.5747999E-01    5.6751009E-02
  3.5762000E-01    5.9354760E-02
  3.5776001E-01    6.0558833E-02
  3.5789999E-01    6.2681921E-02
  3.5803998E-01    6.3730977E-02
  3.5817999E-01    6.6027448E-02
  3.5832000E-01    6.8847962E-02
  3.5846001E-01    7.0418097E-02
  3.5859999E-01    7.3653363E-02
  3.5873997E-01    7.6014906E-02
  3.5887998E-01    7.8443244E-02
  3.5901999E-01    8.0349907E-02
  3.5916001E-01    8.3552197E-02
  3.5929999E-01    8.7705776E-02
  3.5943997E-01    8.9393228E-02
  3.5958001E-01    9.1475405E-02
  3.5971999E-01    9.4263129E-02
  3.5986000E-01    9.6810319E-02
  3.5999998E-01    9.9800780E-02
  3.6014000E-01    1.0222571E-01
  3.6028001E-01    1.0424513E-01
  3.6041999E-01    1.0720683E-01
  3.6056000E-01    1.1040674E-01
  3.6069998E-01    1.1359233E-01
  3.6083999E-01    1.1698408E-01
  3.6098000E-01    1.2025453E-01
  3.6111999E-01    1.2336809E-01
  3.6126000E-01    1.2651801E-01
  3.6139998E-01    1.2961300E-01
  3.6153999E-01    1.3237552E-01
  3.6168000E-01    1.3502873E-01
  3.6181998E-01    1.3894448E-01
  3.6195999E-01    1.4082915E-01
  3.6210001E-01    1.4511919E-01
  3.6223999E-01    1.4954188E-01
  3.6238000E-01    1.5291008E-01
  3.6251998E-01    1.5416333E-01
