# wave[microns]    norm_trans
  6.6325998E-01    1.2327716E-03
  6.6339999E-01    1.2910872E-03
  6.6353995E-01    1.3270945E-03
  6.6367996E-01    1.4080941E-03
  6.6382003E-01    1.4800837E-03
  6.6395998E-01    1.7586396E-03
  6.6409999E-01    1.9040247E-03
  6.6424000E-01    2.1358046E-03
  6.6437995E-01    2.4505847E-03
  6.6452003E-01    2.8468429E-03
  6.6465998E-01    3.3800108E-03
  6.6479999E-01    3.9118552E-03
  6.6494000E-01    4.7644922E-03
  6.6507995E-01    5.8547393E-03
  6.6522002E-01    7.0745801E-03
  6.6535997E-01    8.7578939E-03
  6.6549999E-01    1.1316268E-02
  6.6564000E-01    1.4777198E-02
  6.6577995E-01    1.9599872E-02
  6.6592002E-01    2.6741477E-02
  6.6605997E-01    3.6551446E-02
  6.6619998E-01    5.1093463E-02
  6.6633999E-01    7.3682420E-02
  6.6647995E-01    1.0695121E-01
  6.6662002E-01    1.5636870E-01
  6.6675997E-01    2.2943397E-01
  6.6689998E-01    3.3104753E-01
  6.6703999E-01    4.5958269E-01
  6.6717994E-01    6.0371417E-01
  6.6732001E-01    7.3936987E-01
  6.6745996E-01    8.4559637E-01
  6.6759998E-01    9.1224873E-01
  6.6773999E-01    9.4442141E-01
  6.6787994E-01    9.5390952E-01
  6.6802001E-01    9.5301753E-01
  6.6816002E-01    9.5322818E-01
  6.6829997E-01    9.5560288E-01
  6.6843998E-01    9.5919222E-01
  6.6857994E-01    9.6761841E-01
  6.6872001E-01    9.7633678E-01
  6.6886002E-01    9.8331553E-01
  6.6899997E-01    9.8958349E-01
  6.6913998E-01    9.9716210E-01
  6.6927999E-01    1.0000000E+00
  6.6942000E-01    9.9879336E-01
  6.6956002E-01    9.9954683E-01
  6.6969997E-01    9.9747205E-01
  6.6983998E-01    9.9726969E-01
  6.6997999E-01    9.9560314E-01
  6.7012000E-01    9.9377489E-01
  6.7026001E-01    9.9428982E-01
  6.7039996E-01    9.9254209E-01
  6.7053998E-01    9.9114621E-01
  6.7067999E-01    9.8826754E-01
  6.7082000E-01    9.8138624E-01
  6.7096001E-01    9.7449142E-01
  6.7109996E-01    9.6602809E-01
  6.7123997E-01    9.5363533E-01
  6.7137998E-01    9.4117457E-01
  6.7151999E-01    9.2876238E-01
  6.7166001E-01    9.1903937E-01
  6.7179996E-01    9.1179758E-01
  6.7193997E-01    9.0884036E-01
  6.7207998E-01    9.0736485E-01
  6.7221999E-01    9.1086984E-01
  6.7236000E-01    9.1148329E-01
  6.7249995E-01    9.1089386E-01
  6.7263997E-01    8.9739496E-01
  6.7277998E-01    8.6099219E-01
  6.7291999E-01    7.9522830E-01
  6.7306000E-01    7.0002401E-01
  6.7320001E-01    5.8191025E-01
  6.7333996E-01    4.5721805E-01
  6.7347997E-01    3.4368837E-01
  6.7361999E-01    2.4879676E-01
  6.7376000E-01    1.7597763E-01
  6.7390001E-01    1.2506363E-01
  6.7403996E-01    8.8397704E-02
  6.7417997E-01    6.2912233E-02
  6.7431998E-01    4.5526959E-02
  6.7445999E-01    3.3007860E-02
  6.7460001E-01    2.4253786E-02
  6.7473996E-01    1.8270468E-02
  6.7487997E-01    1.3892008E-02
  6.7501998E-01    1.0696841E-02
  6.7515999E-01    8.4669366E-03
  6.7530000E-01    6.7936475E-03
  6.7543995E-01    5.3838491E-03
  6.7557997E-01    4.4069486E-03
  6.7571998E-01    3.7223294E-03
  6.7585999E-01    3.1500785E-03
  6.7600000E-01    2.7794789E-03
  6.7613995E-01    2.4044588E-03
  6.7627996E-01    2.1315215E-03
  6.7641997E-01    1.9412884E-03
  6.7655998E-01    1.6370675E-03
  6.7670000E-01    1.6329774E-03
  6.7683995E-01    1.4512747E-03
  6.7697996E-01    1.3514003E-03
  6.7712003E-01    1.2046590E-03
  6.7725998E-01    1.1923520E-03
  6.7739999E-01    1.1380970E-03
  6.7753994E-01    1.1153806E-03
