# wave[microns]    norm_trans
  6.2500000E-01    0.0000000E+00
  6.2599999E-01    0.0000000E+00
  6.2699997E-01    0.0000000E+00
  6.2799996E-01    0.0000000E+00
  6.2900001E-01    0.0000000E+00
  6.3000000E-01    0.0000000E+00
  6.3099998E-01    0.0000000E+00
  6.3199997E-01    0.0000000E+00
  6.3299996E-01    0.0000000E+00
  6.3400000E-01    0.0000000E+00
  6.3499999E-01    0.0000000E+00
  6.3599998E-01    0.0000000E+00
  6.3699996E-01    0.0000000E+00
  6.3800001E-01    0.0000000E+00
  6.3900000E-01    0.0000000E+00
  6.3999999E-01    0.0000000E+00
  6.4099997E-01    0.0000000E+00
  6.4199996E-01    0.0000000E+00
  6.4300001E-01    0.0000000E+00
  6.4399999E-01    0.0000000E+00
  6.4499998E-01    0.0000000E+00
  6.4599997E-01    0.0000000E+00
  6.4699996E-01    0.0000000E+00
  6.4800000E-01    0.0000000E+00
  6.4899999E-01    0.0000000E+00
  6.4999998E-01    0.0000000E+00
  6.5099996E-01    0.0000000E+00
  6.5200001E-01    0.0000000E+00
  6.5300000E-01    0.0000000E+00
  6.5399998E-01    0.0000000E+00
  6.5499997E-01    0.0000000E+00
  6.5599996E-01    0.0000000E+00
  6.5700001E-01    0.0000000E+00
  6.5799999E-01    0.0000000E+00
  6.5899998E-01    0.0000000E+00
  6.5999997E-01    0.0000000E+00
  6.6099995E-01    0.0000000E+00
  6.6200000E-01    0.0000000E+00
  6.6299999E-01    0.0000000E+00
  6.6399997E-01    0.0000000E+00
  6.6499996E-01    0.0000000E+00
  6.6600001E-01    0.0000000E+00
  6.6700000E-01    0.0000000E+00
  6.6799998E-01    0.0000000E+00
  6.6899997E-01    0.0000000E+00
  6.6999996E-01    0.0000000E+00
  6.7100000E-01    0.0000000E+00
  6.7199999E-01    0.0000000E+00
  6.7299998E-01    0.0000000E+00
  6.7399997E-01    0.0000000E+00
  6.7500001E-01    0.0000000E+00
  6.7600000E-01    0.0000000E+00
  6.7699999E-01    0.0000000E+00
  6.7799997E-01    0.0000000E+00
  6.7899996E-01    0.0000000E+00
