# wave[microns]    norm_trans
  3.8999999E-01    7.7537406E-05
  3.9010000E-01    7.7537406E-05
  3.9019999E-01    0.0000000E+00
  3.9029998E-01    7.7537406E-05
  3.9039999E-01    7.7537406E-05
  3.9049998E-01    1.5507481E-04
  3.9060000E-01    1.5507481E-04
  3.9069998E-01    1.5507481E-04
  3.9080000E-01    7.7537406E-05
  3.9089999E-01    7.7537406E-05
  3.9100000E-01    7.7537406E-05
  3.9109999E-01    7.7537406E-05
  3.9119998E-01    2.3261223E-04
  3.9129999E-01    1.5507481E-04
  3.9139998E-01    2.3261223E-04
  3.9150000E-01    1.5507481E-04
  3.9159998E-01    2.3261223E-04
  3.9170000E-01    1.5507481E-04
  3.9179999E-01    7.7537406E-05
  3.9190000E-01    1.5507481E-04
  3.9199999E-01    3.1014963E-04
  3.9209998E-01    2.3261223E-04
  3.9219999E-01    2.3261223E-04
  3.9229998E-01    2.3261223E-04
  3.9240000E-01    3.1014963E-04
  3.9249998E-01    3.8768706E-04
  3.9260000E-01    3.8768706E-04
  3.9269999E-01    5.4276187E-04
  3.9280000E-01    5.4276187E-04
  3.9289999E-01    5.4276187E-04
  3.9299998E-01    5.4276187E-04
  3.9309999E-01    4.6522447E-04
  3.9319998E-01    5.4276187E-04
  3.9330000E-01    6.2029925E-04
  3.9339998E-01    6.9783675E-04
  3.9350000E-01    6.9783675E-04
  3.9359999E-01    7.7537412E-04
  3.9370000E-01    7.7537412E-04
  3.9379999E-01    9.3044894E-04
  3.9389998E-01    1.0079863E-03
  3.9399999E-01    9.3044894E-04
  3.9409998E-01    1.1630612E-03
  3.9420000E-01    1.1630612E-03
  3.9429998E-01    1.3181360E-03
  3.9440000E-01    1.4732108E-03
  3.9449999E-01    1.4732108E-03
  3.9460000E-01    1.7058230E-03
  3.9469999E-01    1.9384352E-03
  3.9479998E-01    1.8608979E-03
  3.9489999E-01    2.0935102E-03
  3.9499998E-01    2.3261225E-03
  3.9510000E-01    2.7138093E-03
  3.9519998E-01    2.9464215E-03
  3.9530000E-01    3.1014965E-03
  3.9539999E-01    3.5667210E-03
  3.9550000E-01    3.8768705E-03
  3.9559999E-01    4.3420950E-03
  3.9569998E-01    4.4971695E-03
  3.9579999E-01    5.4276185E-03
  3.9589998E-01    5.7377685E-03
  3.9600000E-01    6.1254557E-03
  3.9609998E-01    7.0559047E-03
  3.9620000E-01    7.7537410E-03
  3.9629999E-01    8.4515782E-03
  3.9640000E-01    9.6921762E-03
  3.9649999E-01    1.0622625E-02
  3.9659998E-01    1.1553074E-02
  3.9669999E-01    1.2250911E-02
  3.9679998E-01    1.3724121E-02
  3.9690000E-01    1.4964720E-02
  3.9699998E-01    1.6205318E-02
  3.9710000E-01    1.7756067E-02
  3.9719999E-01    1.9616965E-02
  3.9729998E-01    2.0702489E-02
  3.9739999E-01    2.2175699E-02
  3.9749998E-01    2.3416298E-02
  3.9760000E-01    2.4501823E-02
  3.9769998E-01    2.6130106E-02
  3.9780000E-01    2.7370706E-02
  3.9789999E-01    2.8146081E-02
  3.9800000E-01    2.9464215E-02
  3.9809999E-01    3.0162053E-02
  3.9819998E-01    3.0627279E-02
  3.9829999E-01    3.1557728E-02
  3.9839998E-01    3.2100488E-02
  3.9850000E-01    3.2643251E-02
  3.9859998E-01    3.2875862E-02
  3.9870000E-01    3.3108473E-02
  3.9879999E-01    3.3651236E-02
