# wave[microns]    norm_trans
  6.1220002E-01    5.7888478E-06
  6.1230004E-01    4.5701431E-06
  6.1240005E-01    3.3514384E-06
  6.1250001E-01    2.2342922E-06
  6.1260003E-01    8.3278164E-06
  6.1270005E-01    1.4421341E-05
  6.1280000E-01    2.0514864E-05
  6.1290008E-01    2.6608388E-05
  6.1300004E-01    3.2803469E-05
  6.1309999E-01    2.9553592E-05
  6.1320007E-01    2.6405272E-05
  6.1330003E-01    2.3256951E-05
  6.1340004E-01    2.0108630E-05
  6.1350006E-01    1.6960310E-05
  6.1360002E-01    1.5944721E-05
  6.1370003E-01    1.4929135E-05
  6.1379999E-01    1.3913546E-05
  6.1390007E-01    1.2897960E-05
  6.1400002E-01    1.1882372E-05
  6.1409998E-01    1.4522899E-05
  6.1420006E-01    1.7163426E-05
  6.1430001E-01    1.9803952E-05
  6.1440003E-01    2.2444481E-05
  6.1450005E-01    2.5085008E-05
  6.1460000E-01    2.4780331E-05
  6.1470002E-01    2.4475656E-05
  6.1480004E-01    2.4272538E-05
  6.1490005E-01    2.3967863E-05
  6.1500001E-01    2.3663186E-05
  6.1510003E-01    2.0921101E-05
  6.1520004E-01    1.8179015E-05
  6.1530000E-01    1.5436928E-05
  6.1540008E-01    1.2694842E-05
  6.1550003E-01    9.9527560E-06
  6.1559999E-01    1.0968343E-05
  6.1570007E-01    1.1983931E-05
  6.1580002E-01    1.2897960E-05
  6.1590004E-01    1.3913546E-05
  6.1600006E-01    1.4929135E-05
  6.1610001E-01    1.5741605E-05
  6.1620003E-01    1.6452515E-05
  6.1630005E-01    1.7264985E-05
  6.1640006E-01    1.7975895E-05
  6.1650002E-01    1.8788367E-05
  6.1659998E-01    1.9702395E-05
  6.1670005E-01    2.0717982E-05
  6.1680001E-01    2.1632010E-05
  6.1690003E-01    2.2647599E-05
  6.1700004E-01    2.3663186E-05
  6.1710000E-01    2.3256951E-05
  6.1720002E-01    2.2850714E-05
  6.1730003E-01    2.2444481E-05
  6.1740005E-01    2.2038246E-05
  6.1750001E-01    2.1632010E-05
  6.1760002E-01    2.1124217E-05
  6.1770004E-01    2.0616424E-05
  6.1780000E-01    2.0108630E-05
  6.1790007E-01    1.9600837E-05
  6.1800003E-01    1.9194600E-05
  6.1809999E-01    1.8889925E-05
  6.1820006E-01    1.8686807E-05
  6.1830002E-01    1.8382132E-05
  6.1840004E-01    1.8179015E-05
  6.1850005E-01    1.7975895E-05
  6.1860001E-01    1.5944721E-05
  6.1870003E-01    1.3913546E-05
  6.1880004E-01    1.1882372E-05
  6.1890006E-01    9.8511973E-06
  6.1900002E-01    7.8200228E-06
  6.1910003E-01    9.1402862E-06
  6.1920005E-01    1.0460551E-05
  6.1930001E-01    1.1780813E-05
  6.1940002E-01    1.3202636E-05
  6.1950004E-01    1.4522899E-05
  6.1960000E-01    1.4929135E-05
  6.1970001E-01    1.5335369E-05
  6.1980003E-01    1.5843163E-05
  6.1990005E-01    1.6249398E-05
  6.2000000E-01    1.6757191E-05
  6.2010002E-01    1.4929135E-05
  6.2020004E-01    1.3101077E-05
  6.2029999E-01    1.1273019E-05
  6.2040007E-01    9.4449624E-06
  6.2050003E-01    7.6169054E-06
  6.2059999E-01    1.4624458E-05
  6.2070006E-01    2.1530454E-05
  6.2080002E-01    2.8436445E-05
  6.2090003E-01    3.5443998E-05
  6.2100005E-01    4.2349995E-05
  6.2110001E-01    3.7373615E-05
  6.2120003E-01    3.2295677E-05
  6.2130004E-01    2.7217740E-05
  6.2140006E-01    2.2139806E-05
  6.2150002E-01    1.7061868E-05
  6.2160003E-01    1.8280572E-05
  6.2170005E-01    1.9499277E-05
  6.2180001E-01    2.0616424E-05
  6.2190008E-01    2.1835129E-05
  6.2200004E-01    2.2952274E-05
  6.2210000E-01    2.2139806E-05
  6.2220001E-01    2.1327334E-05
  6.2230003E-01    2.0616424E-05
  6.2240005E-01    1.9803952E-05
  6.2250000E-01    1.8991484E-05
  6.2260002E-01    1.8179015E-05
  6.2270004E-01    1.7468103E-05
  6.2279999E-01    1.6655633E-05
  6.2290007E-01    1.5944721E-05
  6.2300003E-01    1.5132252E-05
  6.2309998E-01    1.2796401E-05
  6.2320006E-01    1.0460551E-05
  6.2330002E-01    8.1246990E-06
  6.2340003E-01    5.7888478E-06
  6.2350005E-01    3.4529971E-06
  6.2360001E-01    5.7888478E-06
  6.2370002E-01    8.1246990E-06
  6.2380004E-01    1.0358991E-05
  6.2390006E-01    1.2694842E-05
  6.2400001E-01    1.5030692E-05
  6.2410003E-01    1.5233811E-05
  6.2420005E-01    1.5436928E-05
  6.2430000E-01    1.5741605E-05
  6.2440008E-01    1.5944721E-05
  6.2450004E-01    1.6147838E-05
  6.2459999E-01    1.4827576E-05
  6.2470007E-01    1.3507312E-05
  6.2480003E-01    1.2187049E-05
  6.2490004E-01    1.0765227E-05
  6.2500000E-01    9.4449624E-06
  6.2510002E-01    1.2390165E-05
  6.2520003E-01    1.5335369E-05
  6.2529999E-01    1.8179015E-05
  6.2540007E-01    2.1124217E-05
  6.2550002E-01    2.4069419E-05
  6.2559998E-01    2.4678775E-05
  6.2570006E-01    2.5186568E-05
  6.2580001E-01    2.5795920E-05
  6.2590003E-01    2.6405272E-05
  6.2600005E-01    2.7014625E-05
  6.2610000E-01    2.5999036E-05
  6.2620002E-01    2.4881891E-05
  6.2630004E-01    2.3866303E-05
  6.2640005E-01    2.2850714E-05
  6.2650001E-01    2.1733569E-05
  6.2660003E-01    2.0210189E-05
  6.2670004E-01    1.8585248E-05
  6.2680000E-01    1.6960310E-05
  6.2690008E-01    1.5436928E-05
  6.2700003E-01    1.3811989E-05
  6.2709999E-01    1.3405754E-05
  6.2720007E-01    1.2897960E-05
  6.2730002E-01    1.2491725E-05
  6.2740004E-01    1.2085489E-05
  6.2750006E-01    1.1679255E-05
  6.2760001E-01    1.1577696E-05
  6.2770003E-01    1.1476137E-05
  6.2780005E-01    1.1374579E-05
  6.2790006E-01    1.1374579E-05
  6.2800002E-01    1.1273019E-05
  6.2809998E-01    9.1402862E-06
  6.2820005E-01    7.1091113E-06
  6.2830001E-01    5.0779372E-06
  6.2840003E-01    2.9452033E-06
  6.2850004E-01    9.1402865E-07
  6.2860000E-01    8.3278164E-06
  6.2870002E-01    1.5741605E-05
  6.2880003E-01    2.3155391E-05
  6.2890005E-01    3.0569179E-05
  6.2900001E-01    3.8084527E-05
  6.2910002E-01    3.2803469E-05
  6.2920004E-01    2.7623977E-05
  6.2930000E-01    2.2444481E-05
  6.2940007E-01    1.7264985E-05
  6.2950003E-01    1.2085489E-05
  6.2959999E-01    1.4624458E-05
  6.2970006E-01    1.7264985E-05
  6.2980002E-01    1.9905512E-05
  6.2990004E-01    2.2546039E-05
  6.3000005E-01    2.5085008E-05
  6.3010001E-01    2.5694360E-05
