# wave[microns]    norm_trans
  1.9999999E-01    1.0230503E-10
  2.0050000E-01    1.0230503E-10
  2.0099999E-01    1.0230503E-10
  2.0150000E-01    1.0230503E-10
  2.0199999E-01    1.0230503E-10
  2.0250000E-01    2.5397327E-07
  2.0299999E-01    5.9920671E-07
  2.0349999E-01    5.8863964E-07
  2.0400000E-01    1.3766370E-07
  2.0449999E-01    1.0230503E-10
  2.0500000E-01    1.0230503E-10
  2.0549999E-01    9.4523301E-08
  2.0600000E-01    1.0230503E-10
  2.0649999E-01    1.0230503E-10
  2.0699999E-01    1.2596614E-07
  2.0750000E-01    1.5647760E-07
  2.0799999E-01    1.0230503E-10
  2.0850000E-01    6.1944880E-09
  2.0899999E-01    5.1325105E-07
  2.0950000E-01    2.4701754E-07
  2.0999999E-01    1.0230503E-10
  2.1050000E-01    7.0177570E-08
  2.1100000E-01    3.7859412E-08
  2.1149999E-01    1.0230503E-10
  2.1200000E-01    1.0230503E-10
  2.1249999E-01    1.1399236E-07
  2.1300000E-01    2.7333652E-07
  2.1349999E-01    1.0230503E-10
  2.1400000E-01    1.1720371E-07
  2.1450000E-01    1.0230503E-10
  2.1499999E-01    1.0230503E-10
  2.1550000E-01    2.2327460E-07
  2.1599999E-01    1.0230503E-10
  2.1650000E-01    5.4717639E-09
  2.1699999E-01    1.0230503E-10
  2.1750000E-01    2.3825820E-07
  2.1799999E-01    1.0230503E-10
  2.1849999E-01    1.0230503E-10
  2.1900000E-01    1.0230503E-10
  2.1949999E-01    7.3634560E-08
  2.2000000E-01    1.0230503E-10
  2.2049999E-01    1.0230503E-10
  2.2100000E-01    1.0230503E-10
  2.2149999E-01    7.8831341E-08
  2.2199999E-01    1.4094871E-07
  2.2250000E-01    2.5026370E-07
  2.2299999E-01    1.0230503E-10
  2.2350000E-01    3.0261012E-07
  2.2399999E-01    1.8395161E-07
  2.2450000E-01    2.0460394E-07
  2.2499999E-01    1.0230503E-10
  2.2549999E-01    3.2634486E-07
  2.2600000E-01    2.1267374E-07
