# wave[microns]    norm_trans
  2.2650001E+00    3.0353011E-03
  2.2652001E+00    3.1357696E-03
  2.2653999E+00    3.2397958E-03
  2.2656002E+00    3.5304986E-03
  2.2658002E+00    3.6341355E-03
  2.2660000E+00    3.7967318E-03
  2.2662001E+00    4.0880898E-03
  2.2664001E+00    4.2940388E-03
  2.2666001E+00    4.4519356E-03
  2.2668002E+00    4.6464200E-03
  2.2670002E+00    4.9109021E-03
  2.2672000E+00    5.2329549E-03
  2.2674000E+00    5.5862074E-03
  2.2676003E+00    5.7834256E-03
  2.2678001E+00    6.2365001E-03
  2.2680001E+00    6.3332031E-03
  2.2682002E+00    6.9525880E-03
  2.2684000E+00    7.4330610E-03
  2.2686002E+00    7.7344431E-03
  2.2688003E+00    8.1902454E-03
  2.2690001E+00    8.6499359E-03
  2.2692001E+00    9.0743685E-03
  2.2694001E+00    9.5537975E-03
  2.2696002E+00    1.0186849E-02
  2.2698002E+00    1.0882701E-02
  2.2700002E+00    1.1488545E-02
  2.2702000E+00    1.2188229E-02
  2.2704000E+00    1.3187088E-02
  2.2706003E+00    1.3891582E-02
  2.2708001E+00    1.4848970E-02
  2.2710001E+00    1.5764307E-02
  2.2711999E+00    1.6889911E-02
  2.2714000E+00    1.8015960E-02
  2.2716002E+00    1.9226560E-02
  2.2718000E+00    2.0498350E-02
  2.2720001E+00    2.1713654E-02
  2.2722001E+00    2.3812285E-02
  2.2723999E+00    2.5176108E-02
  2.2726002E+00    2.7171608E-02
  2.2728002E+00    2.8573768E-02
  2.2730000E+00    3.1125838E-02
  2.2732000E+00    3.2884844E-02
  2.2734001E+00    3.5684682E-02
  2.2736001E+00    3.8311668E-02
  2.2738001E+00    4.1525703E-02
  2.2740002E+00    4.4915698E-02
  2.2742000E+00    4.8052333E-02
  2.2744000E+00    5.1802941E-02
  2.2746003E+00    5.5484742E-02
  2.2748001E+00    5.9929885E-02
  2.2750001E+00    6.3801736E-02
  2.2752001E+00    6.9383368E-02
  2.2753999E+00    7.4452415E-02
  2.2756002E+00    8.1179552E-02
  2.2758002E+00    8.7393321E-02
  2.2760000E+00    9.4633371E-02
  2.2762001E+00    1.0121580E-01
  2.2764001E+00    1.0999800E-01
  2.2766001E+00    1.1827471E-01
  2.2768002E+00    1.2714931E-01
  2.2770002E+00    1.3704094E-01
  2.2772000E+00    1.4849122E-01
  2.2774000E+00    1.5994905E-01
  2.2776003E+00    1.7271183E-01
  2.2778001E+00    1.8469150E-01
  2.2780001E+00    1.9815095E-01
  2.2782001E+00    2.1366718E-01
  2.2783999E+00    2.2802910E-01
  2.2786002E+00    2.4513060E-01
  2.2788002E+00    2.6043636E-01
  2.2790000E+00    2.8262004E-01
  2.2792001E+00    3.0076498E-01
  2.2794001E+00    3.2093880E-01
  2.2796001E+00    3.4080759E-01
  2.2798002E+00    3.6246669E-01
  2.2800002E+00    3.8485807E-01
  2.2802000E+00    4.0656096E-01
  2.2804000E+00    4.2991406E-01
  2.2806003E+00    4.5235291E-01
  2.2808001E+00    4.8085633E-01
  2.2810001E+00    5.0370896E-01
  2.2812002E+00    5.3036112E-01
  2.2814000E+00    5.5250955E-01
  2.2816002E+00    5.7960802E-01
  2.2818003E+00    6.0473615E-01
  2.2820001E+00    6.2935084E-01
  2.2822001E+00    6.5330237E-01
  2.2823999E+00    6.8011427E-01
  2.2826002E+00    7.0433456E-01
  2.2828002E+00    7.2647464E-01
  2.2830000E+00    7.4799818E-01
  2.2832000E+00    7.6931769E-01
  2.2834001E+00    7.9066533E-01
  2.2836001E+00    8.0732626E-01
  2.2838001E+00    8.2703561E-01
  2.2840002E+00    8.4255522E-01
  2.2842000E+00    8.6038542E-01
  2.2844000E+00    8.7449276E-01
  2.2846003E+00    8.8838428E-01
  2.2848001E+00    8.9862305E-01
  2.2850001E+00    9.1132635E-01
  2.2852001E+00    9.1962785E-01
  2.2853999E+00    9.2668217E-01
  2.2856002E+00    9.3435001E-01
  2.2858002E+00    9.3999630E-01
  2.2860000E+00    9.4570655E-01
  2.2862000E+00    9.4971633E-01
  2.2864001E+00    9.5244545E-01
  2.2866001E+00    9.5527411E-01
  2.2868001E+00    9.5715457E-01
  2.2870002E+00    9.5870650E-01
  2.2872000E+00    9.5957524E-01
  2.2874000E+00    9.5938784E-01
  2.2876003E+00    9.6055645E-01
  2.2878001E+00    9.6045482E-01
  2.2880001E+00    9.6079808E-01
  2.2882001E+00    9.6138519E-01
  2.2883999E+00    9.6107465E-01
  2.2886002E+00    9.6164393E-01
  2.2888002E+00    9.6170658E-01
  2.2890000E+00    9.6242493E-01
  2.2892001E+00    9.6329921E-01
  2.2894001E+00    9.6389693E-01
  2.2896001E+00    9.6500194E-01
  2.2898002E+00    9.6608776E-01
  2.2900002E+00    9.6753615E-01
  2.2902000E+00    9.6916908E-01
  2.2904000E+00    9.7011232E-01
  2.2906003E+00    9.7221923E-01
  2.2908001E+00    9.7367686E-01
  2.2910001E+00    9.7598022E-01
  2.2912002E+00    9.7840220E-01
  2.2914000E+00    9.7949046E-01
  2.2916002E+00    9.8114997E-01
  2.2918003E+00    9.8359847E-01
  2.2920001E+00    9.8576087E-01
  2.2922001E+00    9.8753083E-01
  2.2924001E+00    9.8960137E-01
  2.2926002E+00    9.9082762E-01
  2.2928002E+00    9.9254310E-01
  2.2930002E+00    9.9418408E-01
  2.2932000E+00    9.9630147E-01
  2.2934000E+00    9.9719298E-01
  2.2936003E+00    9.9802566E-01
  2.2938001E+00    9.9847901E-01
  2.2940001E+00    9.9913406E-01
  2.2941999E+00    9.9923360E-01
  2.2944000E+00    1.0000000E+00
  2.2946002E+00    9.9948865E-01
  2.2948000E+00    9.9950045E-01
  2.2950001E+00    9.9931371E-01
  2.2952001E+00    9.9901849E-01
  2.2953999E+00    9.9871361E-01
  2.2956002E+00    9.9818289E-01
  2.2958002E+00    9.9702513E-01
  2.2960000E+00    9.9594295E-01
  2.2962000E+00    9.9496633E-01
  2.2964001E+00    9.9436128E-01
  2.2966001E+00    9.9295521E-01
  2.2968001E+00    9.9074841E-01
  2.2970002E+00    9.8974615E-01
  2.2972000E+00    9.8684204E-01
  2.2974000E+00    9.8556483E-01
  2.2976003E+00    9.8223114E-01
  2.2978001E+00    9.8027301E-01
  2.2980001E+00    9.7698712E-01
  2.2982001E+00    9.7338253E-01
  2.2983999E+00    9.7039098E-01
  2.2986002E+00    9.6663702E-01
  2.2988002E+00    9.6133369E-01
  2.2990000E+00    9.5695126E-01
  2.2992001E+00    9.5123583E-01
  2.2994001E+00    9.4404864E-01
  2.2996001E+00    9.3602717E-01
  2.2998002E+00    9.2620605E-01
  2.3000002E+00    9.1795462E-01
  2.3002000E+00    9.0600169E-01
  2.3004000E+00    8.9607990E-01
  2.3006003E+00    8.7911022E-01
  2.3008001E+00    8.6538088E-01
  2.3010001E+00    8.4842122E-01
  2.3012002E+00    8.2949555E-01
  2.3013999E+00    8.1010306E-01
  2.3016002E+00    7.9031402E-01
  2.3018003E+00    7.6946354E-01
  2.3020000E+00    7.4589181E-01
  2.3022001E+00    7.2419810E-01
  2.3024001E+00    6.9630659E-01
  2.3026001E+00    6.7433161E-01
  2.3028002E+00    6.4502168E-01
  2.3030002E+00    6.1898941E-01
  2.3032000E+00    5.8762228E-01
  2.3034000E+00    5.6129366E-01
  2.3036003E+00    5.3229696E-01
  2.3038001E+00    5.0584322E-01
  2.3040001E+00    4.7495306E-01
  2.3042002E+00    4.4763726E-01
  2.3044000E+00    4.1998047E-01
  2.3046002E+00    3.9273569E-01
  2.3048003E+00    3.6386523E-01
  2.3050001E+00    3.3779109E-01
  2.3052001E+00    3.1607321E-01
  2.3053999E+00    2.9282838E-01
  2.3056002E+00    2.7273870E-01
  2.3058002E+00    2.5020441E-01
  2.3060000E+00    2.3242198E-01
  2.3062000E+00    2.1216366E-01
  2.3064001E+00    1.9653362E-01
  2.3066001E+00    1.7691073E-01
  2.3068001E+00    1.6233757E-01
  2.3070002E+00    1.4955094E-01
  2.3072000E+00    1.3738126E-01
  2.3074000E+00    1.2557432E-01
  2.3076003E+00    1.1556520E-01
  2.3078001E+00    1.0602959E-01
  2.3080001E+00    9.7147450E-02
  2.3082001E+00    8.9589305E-02
  2.3083999E+00    8.0759548E-02
  2.3086002E+00    7.4948870E-02
  2.3088002E+00    6.8254225E-02
  2.3090000E+00    6.3279279E-02
  2.3092000E+00    5.7750504E-02
  2.3094001E+00    5.3150322E-02
  2.3096001E+00    4.8965145E-02
  2.3098001E+00    4.5402132E-02
  2.3100002E+00    4.1446917E-02
  2.3102000E+00    3.8521525E-02
  2.3104000E+00    3.5539333E-02
  2.3106003E+00    3.2980330E-02
  2.3108001E+00    3.0884454E-02
  2.3110001E+00    2.7936513E-02
  2.3112001E+00    2.6710203E-02
  2.3113999E+00    2.4341540E-02
  2.3116002E+00    2.3016814E-02
  2.3118002E+00    2.0980312E-02
  2.3120000E+00    1.9572159E-02
  2.3122001E+00    1.8314250E-02
  2.3124001E+00    1.7246716E-02
  2.3126001E+00    1.6145045E-02
  2.3128002E+00    1.5265523E-02
  2.3130002E+00    1.4181280E-02
  2.3132000E+00    1.3331278E-02
  2.3134000E+00    1.2253530E-02
  2.3136003E+00    1.1740491E-02
  2.3138001E+00    1.0986681E-02
  2.3140001E+00    1.0204716E-02
  2.3142002E+00    9.8270709E-03
  2.3144000E+00    9.2055313E-03
  2.3146002E+00    8.8009471E-03
  2.3148003E+00    8.3032828E-03
  2.3150001E+00    7.5922566E-03
  2.3152001E+00    7.2772340E-03
  2.3154001E+00    6.9885445E-03
  2.3156002E+00    6.4645722E-03
  2.3158002E+00    6.2807528E-03
  2.3160002E+00    6.0895248E-03
  2.3162000E+00    5.6691444E-03
  2.3164001E+00    5.2721607E-03
  2.3166003E+00    5.0077527E-03
