# wave[microns]    norm_trans
  6.9000000E-01    0.0000000E+00
  6.9003195E-01    1.0737502E-05
  6.9006300E-01    2.1227814E-05
  6.9009501E-01    3.1982458E-05
  6.9012594E-01    4.2473566E-05
  6.9015801E-01    5.3360742E-05
  6.9018996E-01    6.4099971E-05
  6.9022095E-01    7.4608390E-05
  6.9025296E-01    8.5364678E-05
  6.9028395E-01    9.5857176E-05
  6.9031602E-01    1.0661410E-04
  6.9034702E-01    1.1723937E-04
  6.9037896E-01    1.2786515E-04
  6.9041002E-01    1.3862271E-04
  6.9044197E-01    1.4926530E-04
  6.9047403E-01    1.6002412E-04
  6.9050497E-01    1.7065027E-04
  6.9053698E-01    1.8127769E-04
  6.9056803E-01    1.9205418E-04
  6.9059998E-01    2.0255023E-04
  6.9063097E-01    2.1332674E-04
  6.9066298E-01    2.2395543E-04
  6.9069397E-01    2.3460053E-04
  6.9072700E-01    2.4549328E-04
  6.9075799E-01    2.5599057E-04
  6.9079000E-01    2.6676958E-04
  6.9082099E-01    2.7739955E-04
  6.9085199E-01    2.8804591E-04
  6.9088399E-01    2.9869357E-04
  6.9091499E-01    3.0934121E-04
  6.9094700E-01    3.2010378E-04
  6.9097900E-01    3.3075272E-04
  6.9101095E-01    3.4153298E-04
  6.9104195E-01    3.5216549E-04
  6.9107300E-01    3.6281437E-04
  6.9110495E-01    3.7359595E-04
  6.9113702E-01    3.8424612E-04
  6.9116801E-01    3.9489500E-04
  6.9119996E-01    4.0554642E-04
  6.9123101E-01    4.1619659E-04
  6.9126296E-01    4.2698067E-04
  6.9129503E-01    4.3776352E-04
  6.9132698E-01    4.4841491E-04
  6.9135797E-01    4.5906764E-04
  6.9138998E-01    4.6972031E-04
  6.9142097E-01    4.8037173E-04
  6.9145298E-01    4.9115706E-04
  6.9148499E-01    5.0181104E-04
  6.9151598E-01    5.1248143E-04
  6.9154799E-01    5.2313536E-04
  6.9157898E-01    5.3392071E-04
  6.9161099E-01    5.4470863E-04
  6.9164300E-01    5.5537897E-04
  6.9167399E-01    5.6603417E-04
  6.9170600E-01    5.7670707E-04
  6.9173700E-01    5.8736233E-04
  6.9176900E-01    5.9815147E-04
  6.9180095E-01    6.0882437E-04
  6.9183195E-01    6.1949727E-04
  6.9186401E-01    6.3028641E-04
  6.9189596E-01    6.4096058E-04
  6.9192696E-01    6.5161835E-04
  6.9195896E-01    6.6229375E-04
  6.9199097E-01    6.7310053E-04
  6.9202203E-01    6.8375957E-04
  6.9205397E-01    6.9443503E-04
  6.9208598E-01    7.0524315E-04
  6.9211698E-01    7.1578717E-04
  6.9214898E-01    7.2671147E-04
  6.9218099E-01    7.3738815E-04
  6.9221199E-01    7.4806617E-04
  6.9224399E-01    7.5874286E-04
  6.9227499E-01    7.6942076E-04
  6.9230694E-01    7.8023138E-04
  6.9233900E-01    7.9091056E-04
  6.9237000E-01    8.0158858E-04
  6.9240201E-01    8.1226905E-04
  6.9243395E-01    8.2307961E-04
  6.9246602E-01    8.3389156E-04
  6.9249701E-01    8.4457203E-04
  6.9252896E-01    8.5525250E-04
  6.9256002E-01    8.6595066E-04
  6.9259197E-01    8.7663118E-04
  6.9262403E-01    8.8744552E-04
  6.9265497E-01    8.9801115E-04
  6.9268698E-01    9.0882549E-04
  6.9271898E-01    9.1963989E-04
  6.9275093E-01    9.3033933E-04
  6.9278300E-01    9.4115501E-04
  6.9281399E-01    9.5170533E-04
  6.9284600E-01    9.6253876E-04
  6.9287699E-01    9.7322301E-04
  6.9290894E-01    9.8392367E-04
  6.9294101E-01    9.9474064E-04
  6.9297200E-01    1.0053100E-03
  6.9300401E-01    1.0162760E-03
  6.9303596E-01    1.0269615E-03
  6.9306695E-01    1.0376647E-03
  6.9309902E-01    1.0484994E-03
  6.9313097E-01    1.0590699E-03
  6.9316196E-01    1.0698893E-03
  6.9319397E-01    1.0804612E-03
  6.9322598E-01    1.0912970E-03
  6.9325799E-01    1.1021342E-03
  6.9328898E-01    1.1128387E-03
  6.9332099E-01    1.1236594E-03
  6.9335198E-01    1.1342490E-03
  6.9338399E-01    1.1450709E-03
  6.9341600E-01    1.1559093E-03
  6.9344801E-01    1.1665002E-03
  6.9347996E-01    1.1773234E-03
  6.9351095E-01    1.1879142E-03
  6.9354302E-01    1.1987538E-03
  6.9357497E-01    1.2095935E-03
  6.9360596E-01    1.2203017E-03
  6.9363797E-01    1.2311428E-03
  6.9366997E-01    1.2417347E-03
  6.9370198E-01    1.2525769E-03
  6.9373298E-01    1.2632865E-03
  6.9376498E-01    1.2740024E-03
  6.9379699E-01    1.2848546E-03
  6.9382799E-01    1.2954291E-03
  6.9385999E-01    1.3064077E-03
  6.9389200E-01    1.3171337E-03
  6.9392401E-01    1.3278470E-03
