# wave[microns]    norm_trans
  7.5998795E-01    2.6322041E-07
  7.6004797E-01    5.5872312E-07
  7.6010698E-01    9.2097002E-07
  7.6016599E-01    1.2856243E-06
  7.6022500E-01    1.6505899E-06
  7.6028502E-01    2.0179582E-06
  7.6034397E-01    2.3805178E-06
  7.6040298E-01    2.7454892E-06
  7.6046199E-01    3.1104755E-06
  7.6052201E-01    3.4754619E-06
  7.6058096E-01    3.8404633E-06
  7.6063997E-01    4.2054494E-06
  7.6069999E-01    4.5707634E-06
  7.6075894E-01    4.9357645E-06
  7.6081800E-01    5.3010781E-06
  7.6087695E-01    5.6663921E-06
  7.6093698E-01    6.0314082E-06
  7.6099598E-01    6.3967368E-06
  7.6105601E-01    6.7620808E-06
  7.6111495E-01    7.1274094E-06
  7.6117402E-01    7.4930508E-06
  7.6123297E-01    7.8584089E-06
  7.6129299E-01    8.2237684E-06
  7.6135200E-01    8.5894244E-06
  7.6141196E-01    8.9547830E-06
  7.6147097E-01    9.3204535E-06
  7.6152998E-01    9.6861249E-06
  7.6158994E-01    1.0051812E-05
  7.6164901E-01    1.0417200E-05
  7.6170796E-01    1.0783184E-05
  7.6176798E-01    1.1148884E-05
  7.6182699E-01    1.1514570E-05
  7.6188594E-01    1.1877874E-05
  7.6194596E-01    1.2246300E-05
  7.6200497E-01    1.2612016E-05
  7.6206398E-01    1.2975320E-05
  7.6212400E-01    1.3343760E-05
  7.6218301E-01    1.3709789E-05
  7.6224297E-01    1.4075832E-05
  7.6230198E-01    1.4439464E-05
  7.6236200E-01    1.4807919E-05
  7.6242095E-01    1.5173992E-05
  7.6247996E-01    1.5537564E-05
  7.6253998E-01    1.5903666E-05
  7.6260000E-01    1.6272450E-05
  7.6265895E-01    1.6636170E-05
  7.6271802E-01    1.7002571E-05
  7.6277798E-01    1.7371354E-05
  7.6283699E-01    1.7737755E-05
  7.6289600E-01    1.8101624E-05
  7.6295596E-01    1.8468025E-05
  7.6301599E-01    1.8836809E-05
  7.6307499E-01    1.9198147E-05
  7.6313394E-01    1.9567227E-05
  7.6319396E-01    1.9936457E-05
  7.6325297E-01    2.0298094E-05
  7.6331300E-01    2.0667174E-05
  7.6337200E-01    2.1033573E-05
  7.6343197E-01    2.1403101E-05
