# wave[microns]    norm_trans
  6.0000002E-01    1.6429238E-02
  6.0025001E-01    1.5915461E-02
  6.0050005E-01    1.8694535E-02
  6.0075003E-01    2.2699675E-02
  6.0100001E-01    1.4911256E-02
  6.0125005E-01    1.1444419E-02
  6.0150003E-01    9.4511909E-03
  6.0175002E-01    9.1184024E-03
  6.0200006E-01    1.3066323E-02
  6.0225004E-01    9.5808040E-03
  6.0250002E-01    0.0000000E+00
  6.0275000E-01    0.0000000E+00
  6.0300004E-01    0.0000000E+00
  6.0325003E-01    0.0000000E+00
  6.0350001E-01    0.0000000E+00
  6.0375005E-01    0.0000000E+00
  6.0400003E-01    0.0000000E+00
  6.0425001E-01    1.0199674E-03
  6.0450006E-01    8.8346563E-03
  6.0475004E-01    1.8285846E-02
  6.0500002E-01    2.1683794E-02
  6.0525000E-01    1.3965436E-02
  6.0550004E-01    8.0464743E-03
  6.0575002E-01    0.0000000E+00
  6.0600001E-01    0.0000000E+00
  6.0625005E-01    0.0000000E+00
  6.0650003E-01    0.0000000E+00
  6.0675001E-01    0.0000000E+00
  6.0700005E-01    0.0000000E+00
  6.0725003E-01    0.0000000E+00
  6.0750002E-01    0.0000000E+00
  6.0775006E-01    0.0000000E+00
  6.0800004E-01    0.0000000E+00
  6.0825002E-01    0.0000000E+00
  6.0850000E-01    1.0956329E-02
  6.0875005E-01    2.1496965E-02
  6.0900003E-01    1.9500233E-02
  6.0925001E-01    1.9815506E-02
  6.0950005E-01    1.5121439E-02
  6.0975003E-01    1.0294256E-02
  6.1000001E-01    9.8937405E-03
  6.1025006E-01    3.6781877E-03
  6.1050004E-01    0.0000000E+00
  6.1075002E-01    0.0000000E+00
  6.1100000E-01    0.0000000E+00
  6.1125004E-01    0.0000000E+00
  6.1150002E-01    0.0000000E+00
  6.1175001E-01    1.0997198E-03
  6.1200005E-01    9.1382535E-03
  6.1225003E-01    7.9215318E-03
  6.1250001E-01    1.2085474E-03
  6.1275005E-01    0.0000000E+00
  6.1300004E-01    0.0000000E+00
  6.1325002E-01    5.8909385E-03
  6.1350006E-01    5.4133581E-03
  6.1375004E-01    0.0000000E+00
  6.1400002E-01    0.0000000E+00
  6.1425000E-01    0.0000000E+00
  6.1450005E-01    0.0000000E+00
  6.1475003E-01    9.8120039E-03
  6.1500001E-01    1.1898645E-02
  6.1525005E-01    1.1422233E-02
  6.1550003E-01    8.7389071E-03
  6.1575001E-01    1.3755255E-03
  6.1600006E-01    0.0000000E+00
  6.1625004E-01    0.0000000E+00
  6.1650002E-01    0.0000000E+00
  6.1675000E-01    0.0000000E+00
  6.1700004E-01    0.0000000E+00
  6.1725003E-01    0.0000000E+00
  6.1750001E-01    0.0000000E+00
  6.1775005E-01    4.3974780E-03
  6.1800003E-01    1.0720458E-02
  6.1825001E-01    1.1992061E-02
  6.1850005E-01    8.6326487E-03
  6.1875004E-01    4.2316676E-03
  6.1900002E-01    3.9455862E-04
  6.1925006E-01    0.0000000E+00
  6.1950004E-01    0.0000000E+00
  6.1975002E-01    0.0000000E+00
  6.2000000E-01    0.0000000E+00
  6.2025005E-01    0.0000000E+00
  6.2050003E-01    0.0000000E+00
  6.2075001E-01    0.0000000E+00
  6.2100005E-01    3.6198038E-03
  6.2125003E-01    1.1968706E-02
  6.2150002E-01    1.6639421E-02
  6.2175006E-01    1.0429705E-02
  6.2200004E-01    0.0000000E+00
  6.2225002E-01    0.0000000E+00
  6.2250000E-01    0.0000000E+00
  6.2275004E-01    9.2655304E-04
  6.2300003E-01    6.8612797E-03
  6.2325001E-01    4.0611862E-03
  6.2350005E-01    0.0000000E+00
  6.2375003E-01    0.0000000E+00
  6.2400001E-01    0.0000000E+00
  6.2425005E-01    0.0000000E+00
  6.2450004E-01    0.0000000E+00
  6.2475002E-01    0.0000000E+00
  6.2500000E-01    0.0000000E+00
  6.2525004E-01    0.0000000E+00
  6.2550002E-01    0.0000000E+00
  6.2575001E-01    1.6581037E-04
  6.2600005E-01    1.2295657E-03
  6.2625003E-01    7.8911724E-04
  6.2650001E-01    0.0000000E+00
  6.2675005E-01    0.0000000E+00
  6.2700003E-01    0.0000000E+00
  6.2725002E-01    0.0000000E+00
  6.2750006E-01    5.4880898E-03
  6.2775004E-01    1.1199206E-02
  6.2800002E-01    8.4715085E-03
  6.2825000E-01    4.7594579E-03
  6.2850004E-01    1.0406353E-03
  6.2875003E-01    0.0000000E+00
  6.2900001E-01    0.0000000E+00
  6.2925005E-01    0.0000000E+00
  6.2950003E-01    0.0000000E+00
  6.2975001E-01    0.0000000E+00
  6.3000005E-01    0.0000000E+00
  6.3025004E-01    0.0000000E+00
  6.3050002E-01    0.0000000E+00
  6.3075000E-01    6.0485755E-03
  6.3100004E-01    1.0169314E-02
  6.3125002E-01    9.1090612E-03
  6.3150001E-01    1.2015414E-03
  6.3175005E-01    0.0000000E+00
  6.3200003E-01    0.0000000E+00
  6.3225001E-01    1.2283979E-03
  6.3250005E-01    1.9675386E-03
  6.3275003E-01    0.0000000E+00
  6.3300002E-01    0.0000000E+00
  6.3325006E-01    0.0000000E+00
  6.3350004E-01    0.0000000E+00
  6.3375002E-01    0.0000000E+00
  6.3400000E-01    0.0000000E+00
  6.3425004E-01    0.0000000E+00
  6.3450003E-01    0.0000000E+00
  6.3475001E-01    8.6011212E-05
  6.3500005E-01    4.7022421E-03
  6.3525003E-01    5.2790754E-03
  6.3550001E-01    6.6090613E-03
  6.3575006E-01    4.1954694E-03
  6.3600004E-01    7.3085004E-04
  6.3625002E-01    3.4726760E-04
  6.3650000E-01    5.4285378E-04
  6.3675004E-01    2.3587111E-03
  6.3700002E-01    5.1179356E-03
  6.3725001E-01    5.8664172E-03
  6.3750005E-01    4.6099951E-03
  6.3775003E-01    3.3582440E-03
  6.3800001E-01    5.3689867E-04
  6.3825005E-01    6.8916398E-04
  6.3850003E-01    3.9467537E-03
  6.3875002E-01    6.7410092E-03
  6.3900006E-01    6.3778614E-03
  6.3925004E-01    1.2902849E-03
  6.3950002E-01    0.0000000E+00
  6.3975000E-01    0.0000000E+00
  6.4000005E-01    0.0000000E+00
  6.4025003E-01    5.0151795E-03
  6.4050001E-01    6.0112099E-03
  6.4075005E-01    4.2818775E-03
  6.4100003E-01    3.4983654E-03
  6.4125001E-01    2.4334425E-03
  6.4150006E-01    7.0481084E-04
  6.4175004E-01    0.0000000E+00
  6.4200002E-01    0.0000000E+00
  6.4225000E-01    0.0000000E+00
  6.4250004E-01    0.0000000E+00
  6.4275002E-01    0.0000000E+00
  6.4300001E-01    4.0763663E-03
  6.4325005E-01    7.0107430E-03
  6.4350003E-01    8.6560016E-03
  6.4375001E-01    8.6127976E-03
  6.4400005E-01    6.7398413E-03
  6.4425004E-01    5.6270435E-03
  6.4450002E-01    6.5973843E-03
  6.4475006E-01    6.6919667E-03
  6.4500004E-01    4.1043907E-03
  6.4525002E-01    1.2727697E-04
  6.4550000E-01    0.0000000E+00
  6.4575005E-01    0.0000000E+00
  6.4600003E-01    0.0000000E+00
  6.4625001E-01    3.5882764E-03
  6.4650005E-01    3.7832789E-03
  6.4675003E-01    1.1061420E-03
  6.4700001E-01    0.0000000E+00
  6.4725006E-01    0.0000000E+00
  6.4750004E-01    0.0000000E+00
  6.4775002E-01    6.2867824E-04
  6.4800000E-01    1.7818777E-03
  6.4825004E-01    1.1758524E-03
  6.4850003E-01    0.0000000E+00
  6.4875001E-01    0.0000000E+00
  6.4900005E-01    9.9673052E-04
  6.4925003E-01    2.4567959E-03
  6.4950001E-01    1.6907987E-03
  6.4975005E-01    0.0000000E+00
  6.5000004E-01    0.0000000E+00
  6.5025002E-01    0.0000000E+00
  6.5050006E-01    0.0000000E+00
  6.5075004E-01    0.0000000E+00
  6.5100002E-01    0.0000000E+00
  6.5125000E-01    0.0000000E+00
  6.5150005E-01    0.0000000E+00
  6.5175003E-01    0.0000000E+00
  6.5200001E-01    0.0000000E+00
  6.5225005E-01    0.0000000E+00
  6.5250003E-01    0.0000000E+00
  6.5275002E-01    0.0000000E+00
  6.5300006E-01    0.0000000E+00
  6.5325004E-01    0.0000000E+00
  6.5350002E-01    0.0000000E+00
  6.5375000E-01    0.0000000E+00
  6.5400004E-01    0.0000000E+00
  6.5425003E-01    0.0000000E+00
  6.5450001E-01    1.0197338E-04
  6.5475005E-01    4.5761323E-04
  6.5500003E-01    3.3372254E-04
  6.5525001E-01    1.8390939E-03
  6.5550005E-01    1.9722094E-03
  6.5575004E-01    0.0000000E+00
  6.5600002E-01    0.0000000E+00
  6.5625006E-01    0.0000000E+00
  6.5650004E-01    1.0590845E-03
  6.5675002E-01    4.5913127E-03
  6.5700001E-01    5.8115367E-03
  6.5725005E-01    3.2730033E-03
  6.5750003E-01    1.6113966E-04
  6.5775001E-01    0.0000000E+00
  6.5800005E-01    6.6931338E-05
  6.5825003E-01    3.2916863E-03
  6.5850002E-01    3.1936010E-03
  6.5875006E-01    2.8538066E-03
  6.5900004E-01    2.4369454E-04
  6.5925002E-01    0.0000000E+00
  6.5950000E-01    0.0000000E+00
  6.5975004E-01    4.4827184E-04
  6.6000003E-01    3.1095282E-03
  6.6025001E-01    4.8400285E-03
  6.6050005E-01    1.4747781E-03
  6.6075003E-01    0.0000000E+00
  6.6100001E-01    0.0000000E+00
  6.6125005E-01    0.0000000E+00
  6.6150004E-01    0.0000000E+00
  6.6175002E-01    2.4509575E-04
  6.6200006E-01    0.0000000E+00
  6.6225004E-01    0.0000000E+00
  6.6250002E-01    0.0000000E+00
  6.6275001E-01    0.0000000E+00
  6.6300005E-01    0.0000000E+00
  6.6325003E-01    3.1200377E-03
  6.6350001E-01    4.3250821E-03
  6.6375005E-01    2.1660440E-03
  6.6400003E-01    0.0000000E+00
  6.6425002E-01    0.0000000E+00
  6.6450006E-01    1.3101356E-03
  6.6475004E-01    3.2706677E-03
  6.6500002E-01    2.8853340E-03
  6.6525000E-01    1.7491828E-04
  6.6550004E-01    0.0000000E+00
  6.6575003E-01    0.0000000E+00
  6.6600001E-01    2.5233536E-03
  6.6625005E-01    6.0532466E-03
  6.6650003E-01    7.0679588E-03
  6.6675001E-01    5.8512380E-03
  6.6700006E-01    2.3645493E-03
  6.6725004E-01    0.0000000E+00
  6.6750002E-01    0.0000000E+00
  6.6775006E-01    6.8484352E-04
  6.6800004E-01    1.6872955E-03
  6.6825002E-01    1.0123774E-03
  6.6850001E-01    0.0000000E+00
  6.6875005E-01    0.0000000E+00
  6.6900003E-01    0.0000000E+00
  6.6925001E-01    0.0000000E+00
  6.6950005E-01    1.0014012E-03
  6.6975003E-01    1.3206445E-03
  6.7000002E-01    1.3323213E-03
  6.7025006E-01    5.8489019E-04
  6.7050004E-01    0.0000000E+00
  6.7075002E-01    0.0000000E+00
  6.7100000E-01    0.0000000E+00
  6.7125005E-01    2.1018216E-03
  6.7150003E-01    4.8738909E-03
  6.7175001E-01    6.9278372E-03
  6.7200005E-01    7.3715551E-03
  6.7225003E-01    5.5441381E-03
  6.7250001E-01    4.8073330E-03
  6.7275006E-01    3.8066325E-03
  6.7300004E-01    1.9430174E-03
  6.7325002E-01    1.5460064E-03
  6.7350006E-01    2.1088277E-03
  6.7375004E-01    2.8269500E-03
  6.7400002E-01    4.6123303E-03
  6.7425001E-01    5.1599718E-03
  6.7450005E-01    4.2269970E-03
  6.7475003E-01    4.5948154E-03
  6.7500001E-01    5.9131244E-03
  6.7525005E-01    8.4621673E-03
  6.7550004E-01    1.0616534E-02
  6.7575002E-01    1.0135450E-02
  6.7600006E-01    8.9771133E-03
  6.7625004E-01    8.2146190E-03
  6.7650002E-01    8.3500696E-03
  6.7675000E-01    1.0982018E-02
  6.7700005E-01    1.3591780E-02
  6.7725003E-01    1.4023821E-02
  6.7750001E-01    1.2459132E-02
  6.7775005E-01    1.1404717E-02
  6.7800003E-01    1.2400748E-02
  6.7825001E-01    1.4584306E-02
  6.7850006E-01    1.7888838E-02
  6.7875004E-01    2.0843064E-02
  6.7900002E-01    2.1788884E-02
  6.7925006E-01    2.2839794E-02
  6.7950004E-01    2.4556281E-02
  6.7975003E-01    2.5969174E-02
  6.8000001E-01    2.8666511E-02
  6.8025005E-01    3.1387202E-02
  6.8050003E-01    3.3138718E-02
  6.8075001E-01    3.5520785E-02
  6.8100005E-01    3.8404953E-02
  6.8125004E-01    4.0471744E-02
  6.8150002E-01    4.3017283E-02
  6.8175006E-01    4.7104158E-02
  6.8200004E-01    5.0046712E-02
  6.8225002E-01    5.2358713E-02
  6.8250000E-01    5.6036901E-02
  6.8275005E-01    5.9528258E-02
  6.8300003E-01    6.4222328E-02
  6.8325001E-01    7.0679590E-02
  6.8350005E-01    7.5537138E-02
  6.8375003E-01    7.9168618E-02
  6.8400002E-01    8.3687536E-02
  6.8425006E-01    8.8089675E-02
  6.8450004E-01    9.2655309E-02
  6.8475002E-01    9.7150862E-02
  6.8500006E-01    1.0043204E-01
  6.8525004E-01    1.0309435E-01
  6.8550003E-01    1.0629378E-01
  6.8575001E-01    1.1201542E-01
  6.8600005E-01    1.1875292E-01
  6.8625003E-01    1.2529191E-01
  6.8650001E-01    1.3124709E-01
  6.8675005E-01    1.3661841E-01
  6.8700004E-01    1.4234002E-01
  6.8725002E-01    1.4829519E-01
  6.8750006E-01    1.5460066E-01
  6.8775004E-01    1.6125642E-01
  6.8800002E-01    1.6791220E-01
  6.8825001E-01    1.7293322E-01
  6.8850005E-01    1.7737038E-01
  6.8875003E-01    1.8507707E-01
  6.8900001E-01    1.9581969E-01
  6.8925005E-01    2.0492762E-01
  6.8950003E-01    2.1158336E-01
  6.8975002E-01    2.1835592E-01
  6.9000006E-01    2.2524522E-01
  6.9025004E-01    2.3143391E-01
  6.9050002E-01    2.3843998E-01
  6.9075006E-01    2.4824849E-01
  6.9100004E-01    2.5852406E-01
  6.9125003E-01    2.6611397E-01
  6.9150001E-01    2.7113497E-01
  6.9175005E-01    2.7755722E-01
  6.9200003E-01    2.8666511E-01
  6.9225001E-01    2.9472211E-01
  6.9250005E-01    3.0161139E-01
  6.9275004E-01    3.1036898E-01
  6.9300002E-01    3.2017750E-01
  6.9325006E-01    3.2765064E-01
  6.9350004E-01    3.3348903E-01
  6.9375002E-01    3.4294724E-01
  6.9400001E-01    3.5497430E-01
  6.9425005E-01    3.6373192E-01
  6.9450003E-01    3.6921999E-01
  6.9475001E-01    3.7680992E-01
  6.9500005E-01    3.8731900E-01
  6.9525003E-01    3.9584303E-01
  6.9550002E-01    4.0296587E-01
  6.9575006E-01    4.1324148E-01
  6.9600004E-01    4.2340025E-01
  6.9625002E-01    4.2631945E-01
  6.9650000E-01    4.2702007E-01
  6.9675004E-01    4.3484351E-01
  6.9700003E-01    4.4757125E-01
  6.9725001E-01    4.6076599E-01
  6.9750005E-01    4.7092479E-01
  6.9775003E-01    4.7793087E-01
  6.9800001E-01    4.8400283E-01
  6.9825006E-01    4.8925737E-01
  6.9850004E-01    4.9532926E-01
  6.9875002E-01    5.0361985E-01
  6.9900006E-01    5.1097614E-01
  6.9925004E-01    5.1634753E-01
  6.9950002E-01    5.2300328E-01
  6.9975001E-01    5.3304529E-01
  7.0000005E-01    5.4460531E-01
  7.0025003E-01    5.5266231E-01
  7.0050001E-01    5.5780011E-01
  7.0075005E-01    5.6644088E-01
  7.0100003E-01    5.7636619E-01
  7.0125002E-01    5.8056986E-01
  7.0150006E-01    5.8325553E-01
  7.0175004E-01    5.9341431E-01
  7.0200002E-01    6.0462397E-01
  7.0225000E-01    6.1034566E-01
  7.0250005E-01    6.1454928E-01
  7.0275003E-01    6.2213922E-01
  7.0300001E-01    6.3113034E-01
  7.0325005E-01    6.3533396E-01
  7.0350003E-01    6.3825315E-01
  7.0375001E-01    6.4479220E-01
  7.0400006E-01    6.5541798E-01
  7.0425004E-01    6.6230738E-01
  7.0450002E-01    6.6604394E-01
  7.0475006E-01    6.7702007E-01
  7.0500004E-01    6.8752921E-01
  7.0525002E-01    6.8787950E-01
  7.0550001E-01    6.8787950E-01
  7.0575005E-01    6.9628680E-01
