# wave[microns]    norm_trans
  7.8079301E-01    7.3599185E-05
  7.8092003E-01    7.5474847E-05
  7.8104597E-01    9.5306648E-05
  7.8117299E-01    8.3757383E-05
  7.8129900E-01    5.9071586E-05
  7.8142595E-01    7.6827375E-05
  7.8155297E-01    1.6641656E-04
  7.8167897E-01    1.3552909E-04
  7.8180599E-01    6.2968043E-05
  7.8193194E-01    1.1026717E-04
  7.8205895E-01    9.2694900E-05
  7.8218502E-01    2.9406348E-05
  7.8231198E-01    4.6626275E-05
  7.8243798E-01    1.3223063E-04
  7.8256500E-01    1.1375108E-04
  7.8269100E-01    7.9380137E-05
  7.8281802E-01    2.7418850E-05
  7.8294396E-01    4.4050757E-05
  7.8307098E-01    8.5092928E-05
  7.8319699E-01    5.5376644E-05
  7.8332400E-01    3.3698368E-06
  7.8345001E-01    5.7836500E-05
  7.8357697E-01    8.1831371E-05
  7.8370297E-01    3.5990728E-05
  7.8382999E-01    2.7350672E-05
  7.8395599E-01    0.0000000E+00
  7.8408301E-01    3.6691385E-05
  7.8420997E-01    4.2392134E-05
  7.8433597E-01    8.6875094E-05
  7.8446299E-01    8.8828114E-05
  7.8458899E-01    6.3142717E-05
  7.8471601E-01    9.0348665E-05
  7.8484195E-01    7.0822032E-05
  7.8496897E-01    9.8600205E-05
  7.8509498E-01    1.0003115E-04
  7.8522199E-01    3.4403278E-05
  7.8534800E-01    6.5907094E-05
  7.8547496E-01    6.7307519E-05
  7.8560096E-01    3.7078702E-05
  7.8572798E-01    1.2236812E-05
  7.8585398E-01    1.1847402E-04
  7.8598100E-01    1.1662036E-04
  7.8610694E-01    6.3724547E-05
  7.8623396E-01    3.0357252E-05
  7.8635997E-01    3.5341054E-05
  7.8648698E-01    6.3176420E-05
  7.8661400E-01    6.8446541E-05
  7.8673995E-01    8.0562779E-05
  7.8686696E-01    6.2197156E-05
  7.8699303E-01    3.9593629E-05
  7.8711998E-01    6.3758664E-05
  7.8724599E-01    6.4663189E-05
  7.8737301E-01    8.4554209E-05
  7.8749901E-01    0.0000000E+00
  7.8762597E-01    3.5769774E-06
  7.8775197E-01    7.1369621E-05
  7.8787899E-01    6.0149410E-05
  7.8800493E-01    4.8615952E-05
  7.8813195E-01    6.6239118E-05
  7.8825802E-01    3.7754631E-05
  7.8838497E-01    8.8832101E-05
  7.8851098E-01    7.0358612E-05
  7.8863800E-01    3.6213674E-05
  7.8876400E-01    3.4269357E-05
  7.8889102E-01    8.7622306E-05
  7.8901798E-01    1.0088443E-04
  7.8914398E-01    9.8247197E-05
  7.8927100E-01    1.3510392E-04
  7.8939700E-01    1.1407874E-04
  7.8952402E-01    5.7959325E-05
  7.8964996E-01    4.6786223E-05
  7.8977698E-01    7.5676129E-05
  7.8990299E-01    4.4714125E-05
  7.9002994E-01    2.3913022E-05
  7.9015601E-01    7.9551115E-05
  7.9028296E-01    8.8696266E-05
  7.9040897E-01    4.7309142E-05
  7.9053599E-01    6.1094586E-05
  7.9066199E-01    8.5389918E-05
  7.9078901E-01    9.5153293E-05
  7.9091495E-01    5.2015392E-05
  7.9104197E-01    7.8846686E-05
  7.9116797E-01    2.7231406E-05
  7.9129499E-01    2.3369257E-05
  7.9142201E-01    7.7614997E-05
  7.9154795E-01    8.3993436E-05
  7.9167497E-01    4.1300555E-05
  7.9180098E-01    6.9150767E-05
  7.9192793E-01    7.1812559E-05
  7.9205400E-01    7.5389391E-05
  7.9218102E-01    1.5211499E-05
  7.9230696E-01    8.0824982E-05
  7.9243398E-01    9.1105918E-05
  7.9255998E-01    7.5135700E-05
  7.9268700E-01    9.4246170E-05
  7.9281294E-01    8.2589293E-05
  7.9293996E-01    5.2294374E-05
  7.9306602E-01    5.5572786E-05
  7.9319298E-01    1.0980858E-04
  7.9331899E-01    1.9571892E-04
  7.9344600E-01    1.1144609E-04
  7.9357201E-01    8.3553627E-05
  7.9369903E-01    1.0476306E-04
  7.9382497E-01    1.0906297E-05
  7.9395199E-01    3.9929466E-05
  7.9407901E-01    1.2659155E-04
  7.9420495E-01    1.3883520E-04
  7.9433197E-01    5.7076642E-05
  7.9445797E-01    5.1607876E-05
  7.9458499E-01    6.3781903E-05
  7.9471099E-01    8.8266504E-05
  7.9483795E-01    1.3328039E-05
  7.9496402E-01    6.3496547E-05
  7.9509097E-01    1.2514321E-04
  7.9521698E-01    6.1434745E-05
  7.9534400E-01    1.0893276E-04
  7.9547000E-01    2.7676526E-04
  7.9559702E-01    2.0337060E-04
  7.9572296E-01    4.1747349E-05
  7.9584998E-01    4.1394987E-06
  7.9597598E-01    8.7090673E-05
  7.9610294E-01    9.7101700E-05
  7.9622900E-01    9.4461677E-05
  7.9635596E-01    1.2171013E-04
  7.9648298E-01    4.3795288E-05
  7.9660898E-01    0.0000000E+00
  7.9673594E-01    5.4424960E-05
  7.9686201E-01    9.4353047E-05
  7.9698896E-01    9.0618625E-05
  7.9711497E-01    9.9108554E-05
  7.9724199E-01    8.3380066E-05
  7.9736799E-01    1.0029922E-04
  7.9749501E-01    1.3180183E-04
  7.9762095E-01    6.6977620E-05
  7.9774797E-01    6.5983353E-05
  7.9787397E-01    9.1029353E-05
  7.9800093E-01    1.1005940E-04
  7.9812700E-01    4.6182478E-05
  7.9825401E-01    8.1641942E-05
  7.9837996E-01    1.2749291E-04
  7.9850698E-01    1.4013753E-04
  7.9863298E-01    1.6377112E-04
  7.9876000E-01    8.6607346E-05
  7.9888701E-01    3.8516962E-05
  7.9901296E-01    9.5775213E-05
  7.9913998E-01    9.8721146E-05
  7.9926598E-01    7.7277844E-05
  7.9939300E-01    6.9284702E-05
  7.9951900E-01    8.6392625E-05
  7.9964596E-01    8.6433858E-05
  7.9977202E-01    1.1117651E-04
  7.9989898E-01    9.2967130E-05
  8.0002499E-01    1.4019826E-04
  8.0015200E-01    1.5916169E-04
  8.0027795E-01    1.5214623E-04
  8.0040497E-01    1.4487197E-04
  8.0053097E-01    1.4528674E-04
  8.0065799E-01    2.2630184E-05
  8.0078399E-01    8.5670035E-05
  8.0091095E-01    1.0199210E-04
  8.0103701E-01    7.5772281E-05
  8.0116397E-01    1.0213572E-04
  8.0128998E-01    9.7748329E-05
  8.0141699E-01    1.2485287E-04
  8.0154395E-01    1.1612315E-04
  8.0167001E-01    7.4392243E-05
  8.0179697E-01    1.1407372E-04
  8.0192298E-01    1.2106264E-04
  8.0204999E-01    1.3212775E-04
  8.0217594E-01    1.2511417E-04
  8.0230296E-01    8.8745765E-05
  8.0242896E-01    1.3413045E-04
  8.0255598E-01    8.2877428E-05
  8.0268198E-01    1.4477597E-04
  8.0280894E-01    1.4334641E-04
  8.0293500E-01    1.5135499E-04
  8.0306196E-01    7.9144877E-05
  8.0318797E-01    8.1534396E-05
  8.0331498E-01    8.7724875E-05
  8.0344099E-01    1.4553621E-04
  8.0356801E-01    1.1541774E-04
  8.0369395E-01    7.2705014E-05
  8.0382097E-01    8.3668572E-05
  8.0394799E-01    1.1683693E-04
  8.0407399E-01    8.2493549E-05
  8.0420095E-01    1.0819773E-04
  8.0432701E-01    1.8860251E-04
  8.0445397E-01    1.6379620E-04
  8.0457997E-01    1.1937104E-04
  8.0470699E-01    7.8652869E-05
  8.0483299E-01    5.9908427E-05
  8.0496001E-01    9.6424366E-05
  8.0508596E-01    1.1082012E-04
  8.0521297E-01    1.0830253E-04
  8.0533898E-01    1.3024610E-04
  8.0546600E-01    9.5304953E-05
  8.0559200E-01    8.1546292E-05
  8.0571896E-01    1.2634657E-04
  8.0584502E-01    1.5784032E-04
  8.0597198E-01    1.2804847E-04
  8.0609798E-01    1.5098946E-04
  8.0622500E-01    1.1581315E-04
  8.0635196E-01    6.4221436E-05
  8.0647796E-01    1.3491347E-04
  8.0660498E-01    1.4109383E-04
