# wave[microns]    norm_trans
  4.8022300E-01    2.6269506E-03
  4.8046800E-01    2.8007748E-03
  4.8071298E-01    2.8246816E-03
  4.8095897E-01    2.8270760E-03
  4.8120400E-01    2.7505246E-03
  4.8144999E-01    2.7967554E-03
  4.8169500E-01    2.7038942E-03
  4.8194101E-01    2.7766132E-03
  4.8218596E-01    2.7821506E-03
  4.8243198E-01    2.6636897E-03
  4.8267698E-01    2.7360187E-03
  4.8292297E-01    2.6677900E-03
  4.8316801E-01    2.7221178E-03
  4.8341399E-01    2.7958879E-03
  4.8365897E-01    2.7048024E-03
  4.8390400E-01    2.7320725E-03
  4.8414999E-01    2.6949996E-03
  4.8439500E-01    2.7182177E-03
  4.8464102E-01    2.6631933E-03
  4.8488596E-01    2.6763696E-03
  4.8513198E-01    2.6600824E-03
  4.8537698E-01    2.6179904E-03
  4.8562297E-01    2.7496840E-03
  4.8586801E-01    2.6108283E-03
  4.8611400E-01    2.5927506E-03
  4.8635897E-01    2.6909723E-03
  4.8660496E-01    2.7247465E-03
  4.8684999E-01    2.6611148E-03
  4.8709500E-01    2.5592339E-03
  4.8734102E-01    2.6443407E-03
  4.8758596E-01    2.6673728E-03
  4.8783198E-01    2.6344005E-03
  4.8807698E-01    2.6161750E-03
  4.8832297E-01    2.5605375E-03
  4.8856801E-01    2.6749033E-03
  4.8881400E-01    2.5727397E-03
  4.8905897E-01    2.6032603E-03
  4.8930496E-01    2.6248386E-03
  4.8954999E-01    2.4262764E-03
  4.8979598E-01    2.5024265E-03
  4.9004102E-01    2.5355418E-03
  4.9028596E-01    2.6232423E-03
  4.9053198E-01    2.5437521E-03
  4.9077699E-01    2.4611123E-03
  4.9102297E-01    2.5490476E-03
  4.9126801E-01    2.5376494E-03
  4.9151400E-01    2.5604123E-03
  4.9175897E-01    2.4896464E-03
  4.9200496E-01    2.4699410E-03
  4.9225000E-01    2.4614963E-03
  4.9249598E-01    2.5250893E-03
  4.9274099E-01    2.5558239E-03
  4.9298596E-01    2.4134393E-03
  4.9323198E-01    2.4369583E-03
  4.9347699E-01    2.4863197E-03
  4.9372298E-01    2.4567856E-03
  4.9396801E-01    2.5142804E-03
  4.9421400E-01    2.4396467E-03
  4.9445897E-01    2.4904131E-03
  4.9470496E-01    2.4925759E-03
  4.9495000E-01    2.4679033E-03
  4.9519598E-01    2.5071579E-03
  4.9544099E-01    2.4157586E-03
  4.9568701E-01    2.4189621E-03
  4.9593198E-01    2.3960448E-03
  4.9617699E-01    2.4205702E-03
  4.9642298E-01    2.4967629E-03
  4.9666801E-01    2.3861106E-03
  4.9691400E-01    2.4444584E-03
  4.9715897E-01    2.4056931E-03
  4.9740496E-01    2.4262983E-03
  4.9765000E-01    2.4723250E-03
  4.9789599E-01    2.3886685E-03
  4.9814099E-01    2.3852119E-03
  4.9838701E-01    2.4256872E-03
