# wave[microns]    norm_trans
  1.3575000E+00    0.0000000E+00
  1.3580000E+00    1.1076729E-05
  1.3585000E+00    6.2432468E-05
  1.3590000E+00    0.0000000E+00
  1.3595001E+00    0.0000000E+00
  1.3600000E+00    0.0000000E+00
  1.3605000E+00    8.0558029E-06
  1.3609999E+00    4.5313889E-05
  1.3615000E+00    5.7397596E-05
  1.3620000E+00    5.1355742E-05
  1.3625000E+00    6.0418524E-06
  1.3630000E+00    2.5174382E-05
  1.3635000E+00    3.1216234E-05
  1.3640000E+00    2.7188335E-05
  1.3645000E+00    0.0000000E+00
  1.3650000E+00    0.0000000E+00
  1.3655000E+00    0.0000000E+00
  1.3660001E+00    0.0000000E+00
  1.3665000E+00    8.0558028E-05
  1.3670000E+00    0.0000000E+00
  1.3674999E+00    4.0279015E-06
  1.3680000E+00    3.0209262E-06
  1.3685000E+00    3.8265061E-05
  1.3690000E+00    4.0279014E-05
  1.3695000E+00    3.2223212E-05
  1.3700000E+00    0.0000000E+00
  1.3705000E+00    1.5104630E-05
  1.3710001E+00    3.0209262E-06
  1.3715000E+00    1.4097654E-05
  1.3720000E+00    2.5174382E-05
  1.3724999E+00    0.0000000E+00
  1.3730000E+00    0.0000000E+00
  1.3735000E+00    0.0000000E+00
  1.3740000E+00    *************
  1.3745000E+00    2.6181358E-05
  1.3750000E+00    3.3230186E-05
  1.3755000E+00    6.0418524E-06
  1.3760000E+00    1.1680914E-04
  1.3765000E+00    0.0000000E+00
  1.3770000E+00    5.0348764E-05
  1.3775001E+00    0.0000000E+00
  1.3780000E+00    2.7188335E-05
  1.3785000E+00    1.0271148E-04
  1.3789999E+00    0.0000000E+00
  1.3795000E+00    0.0000000E+00
  1.3800000E+00    1.5104630E-05
  1.3805000E+00    1.5104630E-05
  1.3810000E+00    0.0000000E+00
  1.3815000E+00    0.0000000E+00
  1.3820000E+00    *************
  1.3825001E+00    0.0000000E+00
  1.3830000E+00    3.7258087E-05
  1.3835000E+00    1.9132531E-05
  1.3839999E+00    8.5592903E-05
  1.3845000E+00    4.7327841E-05
  1.3850000E+00    1.6111606E-05
  1.3855000E+00    0.0000000E+00
  1.3860000E+00    7.4516174E-05
  1.3865000E+00    3.1216234E-05
  1.3870000E+00    7.4516174E-05
  1.3875000E+00    0.0000000E+00
  1.3880000E+00    5.6390618E-05
  1.3885000E+00    1.2083705E-05
  1.3890001E+00    9.0627782E-06
  1.3895000E+00    8.0558029E-06
  1.3900000E+00    5.9411548E-05
  1.3904999E+00    6.1425497E-05
  1.3910000E+00    8.6599881E-05
  1.3915000E+00    1.0170451E-04
  1.3920000E+00    5.7397596E-05
  1.3925000E+00    7.0488277E-05
  1.3930000E+00    3.7258087E-05
  1.3935000E+00    1.0774636E-04
  1.3940001E+00    3.9272036E-05
  1.3945000E+00    7.7537101E-05
  1.3950000E+00    0.0000000E+00
  1.3954999E+00    0.0000000E+00
  1.3960000E+00    4.4306915E-05
  1.3965000E+00    9.3648705E-05
  1.3970000E+00    1.1882310E-04
  1.3975000E+00    7.1495248E-05
  1.3980000E+00    8.7606852E-05
  1.3985000E+00    1.0371846E-04
  1.3990000E+00    1.0472543E-04
  1.3995000E+00    9.4655683E-05
  1.4000000E+00    1.4903235E-04
  1.4005001E+00    6.9481299E-05
  1.4010000E+00    8.1564998E-05
  1.4015000E+00    1.8125556E-04
  1.4020000E+00    1.9031833E-04
  1.4025000E+00    1.2788587E-04
  1.4030000E+00    2.3764619E-04
  1.4035000E+00    2.3663920E-04
  1.4040000E+00    1.4701841E-04
