# wave[microns]    norm_trans
  1.1180500E+00    0.0000000E+00
  1.1183000E+00    4.2524168E-04
  1.1185499E+00    1.7551248E-04
  1.1188000E+00    2.9185219E-04
  1.1190500E+00    1.5585509E-03
  1.1193000E+00    2.0911060E-03
  1.1195500E+00    1.4662815E-03
  1.1198000E+00    8.2942192E-04
  1.1200500E+00    7.7827252E-04
  1.1203001E+00    9.4174989E-04
  1.1205500E+00    8.6051266E-04
  1.1208000E+00    1.2366108E-03
  1.1210500E+00    1.9376579E-03
  1.1213000E+00    1.6979580E-03
  1.1215500E+00    1.4492316E-03
  1.1217999E+00    2.3217795E-03
  1.1220500E+00    2.9275485E-03
  1.1223000E+00    2.6577604E-03
  1.1225500E+00    2.2285071E-03
  1.1228000E+00    1.7450956E-03
  1.1230500E+00    1.1623942E-03
  1.1233000E+00    9.8186708E-04
  1.1235501E+00    1.7982508E-03
  1.1238000E+00    2.5003008E-03
  1.1240500E+00    2.2876798E-03
  1.1243000E+00    2.4732216E-03
  1.1245500E+00    2.7420067E-03
  1.1248000E+00    2.0068600E-03
  1.1250499E+00    1.6227383E-03
  1.1253000E+00    2.4511572E-03
  1.1255500E+00    3.0589320E-03
  1.1258000E+00    2.5394149E-03
  1.1260500E+00    2.3709231E-03
  1.1263000E+00    3.0077826E-03
  1.1265500E+00    2.9867212E-03
  1.1267999E+00    2.9626507E-03
  1.1270500E+00    3.9435150E-03
  1.1273000E+00    4.2303526E-03
  1.1275500E+00    3.4611062E-03
  1.1278000E+00    3.6255866E-03
  1.1280500E+00    4.1430979E-03
  1.1283000E+00    4.2022704E-03
  1.1285501E+00    4.5292252E-03
  1.1288000E+00    5.0146426E-03
  1.1290500E+00    4.8772413E-03
  1.1293000E+00    3.8422192E-03
  1.1295500E+00    3.6717213E-03
  1.1298000E+00    4.6054479E-03
  1.1300499E+00    4.9685077E-03
  1.1303000E+00    5.1670880E-03
  1.1305500E+00    5.6645405E-03
  1.1308000E+00    5.5552213E-03
  1.1310500E+00    5.0858506E-03
  1.1313000E+00    5.5090864E-03
  1.1315500E+00    6.4438158E-03
  1.1318001E+00    6.5671760E-03
  1.1320500E+00    6.2913708E-03
  1.1323000E+00    6.5982668E-03
  1.1325500E+00    6.7336620E-03
  1.1328000E+00    6.7767878E-03
  1.1330500E+00    7.7295699E-03
  1.1332999E+00    8.6091384E-03
  1.1335500E+00    8.7876599E-03
  1.1338000E+00    9.0414006E-03
  1.1340500E+00    9.2630470E-03
  1.1343000E+00    9.1406908E-03
  1.1345500E+00    9.5288241E-03
  1.1348000E+00    1.1109439E-02
  1.1350501E+00    1.2499498E-02
  1.1353000E+00    1.2353071E-02
