# wave[microns]    norm_trans
  1.8460000E+00    9.6384952E-05
  1.8465000E+00    4.6654415E-04
  1.8470000E+00    4.0502186E-04
  1.8475000E+00    4.3885910E-04
  1.8480000E+00    4.7064564E-04
  1.8485000E+00    4.9422920E-04
  1.8490000E+00    4.8500084E-04
  1.8494999E+00    3.2811897E-04
  1.8500000E+00    5.6087831E-04
  1.8505000E+00    5.1473663E-04
  1.8510000E+00    5.6908128E-04
  1.8515000E+00    5.3729478E-04
  1.8520000E+00    5.6087831E-04
  1.8525000E+00    6.3573051E-04
  1.8530000E+00    6.0804543E-04
  1.8535000E+00    6.3265435E-04
  1.8540000E+00    5.0038140E-04
  1.8545001E+00    6.8084686E-04
  1.8550000E+00    7.7005423E-04
  1.8555000E+00    7.2596321E-04
  1.8559999E+00    7.1058259E-04
  1.8565000E+00    7.8543479E-04
  1.8570000E+00    7.1673491E-04
  1.8575000E+00    8.0594223E-04
  1.8580000E+00    9.3308830E-04
  1.8585000E+00    8.4695709E-04
  1.8590000E+00    9.2693610E-04
  1.8595001E+00    9.6384948E-04
  1.8600000E+00    9.0437790E-04
  1.8605000E+00    1.0099913E-03
  1.8609999E+00    1.0007628E-03
  1.8615000E+00    1.1033000E-03
  1.8620000E+00    1.0551076E-03
  1.8625000E+00    1.1361120E-03
  1.8630000E+00    1.3083745E-03
  1.8635000E+00    1.2755626E-03
  1.8640000E+00    1.2540297E-03
  1.8645000E+00    1.5154994E-03
  1.8650000E+00    1.3883533E-03
  1.8655000E+00    1.5319054E-03
  1.8660001E+00    1.5113980E-03
  1.8665000E+00    1.7400559E-03
  1.8670000E+00    1.7195485E-03
  1.8674999E+00    1.7267261E-03
  1.8680000E+00    1.8559230E-03
  1.8685000E+00    2.0866315E-03
  1.8690000E+00    2.1614837E-03
  1.8695000E+00    2.1860925E-03
  1.8700000E+00    2.4291058E-03
  1.8705000E+00    2.4321817E-03
  1.8710001E+00    2.4106491E-03
  1.8715000E+00    2.6321292E-03
  1.8720000E+00    2.8443811E-03
  1.8724999E+00    2.9243603E-03
  1.8730000E+00    3.1581449E-03
  1.8735000E+00    3.2206927E-03
  1.8740000E+00    3.4349954E-03
  1.8745000E+00    3.6021310E-03
  1.8750000E+00    3.6657040E-03
  1.8755000E+00    3.8410425E-03
  1.8760000E+00    4.1681360E-03
  1.8765000E+00    4.4029467E-03
  1.8770000E+00    4.6049445E-03
  1.8775001E+00    4.7064563E-03
  1.8780000E+00    5.0407280E-03
  1.8785000E+00    5.4508764E-03
  1.8789999E+00    5.6692804E-03
  1.8795000E+00    6.3501270E-03
