# wave[microns]    norm_trans
  1.6079040E+00    4.6889487E-04
  1.6080060E+00    4.6784509E-04
  1.6081080E+00    4.6679532E-04
  1.6082090E+00    4.6574557E-04
  1.6083111E+00    4.6469571E-04
  1.6084130E+00    4.6364593E-04
  1.6085140E+00    4.6259616E-04
  1.6086160E+00    4.6154647E-04
  1.6087180E+00    4.6049670E-04
  1.6088190E+00    4.5944692E-04
  1.6089211E+00    4.5839717E-04
  1.6090230E+00    4.5734746E-04
  1.6091250E+00    4.5629768E-04
  1.6092260E+00    4.5524782E-04
  1.6093280E+00    4.5419807E-04
  1.6094300E+00    4.5314830E-04
  1.6095310E+00    4.5209855E-04
  1.6096330E+00    4.5104884E-04
  1.6097350E+00    4.4999906E-04
  1.6098371E+00    4.4894929E-04
  1.6098371E+00    1.4122830E-03
  1.6099380E+00    1.4112336E-03
  1.6100399E+00    1.4101842E-03
  1.6101420E+00    1.4091333E-03
  1.6102430E+00    1.4080838E-03
  1.6103450E+00    1.4070343E-03
  1.6104470E+00    4.4265066E-04
  1.6105480E+00    4.4160092E-04
  1.6106499E+00    4.4055114E-04
  1.6107520E+00    4.3950143E-04
  1.6108540E+00    4.3845168E-04
  1.6109550E+00    4.3740190E-04
  1.6110570E+00    4.3635213E-04
  1.6111590E+00    4.3530227E-04
  1.6112601E+00    4.3425252E-04
  1.6113620E+00    4.3320280E-04
  1.6114640E+00    4.3215303E-04
  1.6115659E+00    4.3110328E-04
  1.6116670E+00    4.3005351E-04
  1.6117690E+00    4.2900379E-04
  1.6118710E+00    4.2795404E-04
  1.6119720E+00    4.2690427E-04
  1.6120740E+00    4.2585449E-04
  1.6121759E+00    4.2480463E-04
  1.6122780E+00    4.2375489E-04
  1.6123790E+00    4.2270514E-04
  1.6124810E+00    4.2165536E-04
  1.6125830E+00    4.2060565E-04
  1.6126840E+00    4.1955587E-04
  1.6127861E+00    4.1850613E-04
  1.6128880E+00    4.1745638E-04
  1.6129889E+00    4.1640663E-04
  1.6130910E+00    4.1535686E-04
  1.6131930E+00    4.1430700E-04
  1.6132950E+00    4.1325725E-04
  1.6133960E+00    4.1220750E-04
  1.6134980E+00    4.1115773E-04
  1.6136000E+00    4.1010801E-04
  1.6137010E+00    4.0905824E-04
  1.6138030E+00    4.0800849E-04
  1.6139050E+00    4.0695874E-04
  1.6140070E+00    4.0590900E-04
  1.6141080E+00    4.0485911E-04
  1.6142100E+00    4.0380936E-04
  1.6143121E+00    4.0275962E-04
  1.6144130E+00    4.0170984E-04
  1.6145149E+00    4.0066009E-04
  1.6146170E+00    3.9961035E-04
  1.6147180E+00    3.9856060E-04
  1.6148200E+00    3.9751086E-04
  1.6149220E+00    3.9646111E-04
  1.6150240E+00    3.9541136E-04
  1.6151249E+00    3.9436147E-04
  1.6152270E+00    3.9331173E-04
  1.6153290E+00    3.9226198E-04
  1.6154300E+00    3.9121220E-04
  1.6154300E+00    1.3545461E-03
  1.6155320E+00    1.3534965E-03
  1.6156340E+00    1.3524466E-03
  1.6157360E+00    1.3513969E-03
  1.6158370E+00    1.3503472E-03
  1.6159390E+00    1.3492972E-03
  1.6160409E+00    1.3482475E-03
  1.6161420E+00    1.3471977E-03
  1.6162440E+00    1.3461480E-03
  1.6163460E+00    1.3450983E-03
  1.6164480E+00    1.3440484E-03
  1.6165490E+00    3.7966485E-04
  1.6166511E+00    3.7861508E-04
  1.6167530E+00    3.7756533E-04
  1.6168540E+00    3.7651559E-04
  1.6169560E+00    3.7546584E-04
  1.6169560E+00    1.3387996E-03
  1.6170580E+00    1.3377499E-03
  1.6171590E+00    3.7336617E-04
  1.6171590E+00    1.3367001E-03
  1.6172611E+00    1.3356503E-03
  1.6173630E+00    1.3346006E-03
  1.6174650E+00    1.3335508E-03
  1.6175660E+00    1.3325011E-03
  1.6176680E+00    3.6811744E-04
  1.6177700E+00    3.6706767E-04
  1.6178710E+00    3.6601795E-04
  1.6179730E+00    3.6496817E-04
  1.6180750E+00    3.6391831E-04
  1.6181771E+00    3.6286854E-04
  1.6182780E+00    3.6181882E-04
  1.6182780E+00    1.3251527E-03
  1.6183800E+00    1.3241030E-03
  1.6184820E+00    1.3230531E-03
  1.6185830E+00    1.3220034E-03
  1.6186850E+00    1.3209537E-03
  1.6187871E+00    1.3199040E-03
  1.6188880E+00    1.3188540E-03
  1.6189899E+00    1.3178043E-03
  1.6190920E+00    1.3167546E-03
  1.6191940E+00    1.3157048E-03
  1.6192950E+00    1.3146551E-03
  1.6193970E+00    1.3136053E-03
  1.6194990E+00    1.3125555E-03
  1.6196001E+00    1.3115058E-03
  1.6197020E+00    1.3104560E-03
  1.6198040E+00    1.3094061E-03
  1.6198040E+00    2.2727407E-03
  1.6199059E+00    2.2716899E-03
  1.6200070E+00    2.2706406E-03
  1.6201090E+00    2.2695910E-03
  1.6202110E+00    2.2685414E-03
  1.6203120E+00    2.2674908E-03
  1.6204140E+00    2.2664410E-03
  1.6205159E+00    2.2653916E-03
  1.6206180E+00    2.2643423E-03
  1.6207190E+00    2.2632927E-03
  1.6208210E+00    2.2622419E-03
  1.6209230E+00    2.2611923E-03
  1.6210240E+00    2.2601429E-03
  1.6211261E+00    2.2590936E-03
  1.6212280E+00    2.2580440E-03
  1.6213289E+00    2.2569932E-03
  1.6214310E+00    2.2559436E-03
  1.6214310E+00    3.2192774E-03
  1.6215330E+00    3.2182280E-03
  1.6216350E+00    3.2171784E-03
  1.6217360E+00    3.2161290E-03
  1.6218380E+00    3.2150780E-03
  1.6219400E+00    3.2140287E-03
  1.6220410E+00    3.2129793E-03
  1.6221430E+00    3.2119297E-03
  1.6222450E+00    3.2108803E-03
  1.6223470E+00    3.2098293E-03
  1.6223470E+00    4.1731633E-03
  1.6224480E+00    4.1721137E-03
  1.6225500E+00    4.1710641E-03
  1.6226521E+00    4.1700145E-03
  1.6227530E+00    4.1689654E-03
  1.6227530E+00    5.1322989E-03
  1.6228549E+00    5.1312484E-03
  1.6229570E+00    5.1301988E-03
  1.6230580E+00    5.1291492E-03
  1.6231600E+00    5.1281000E-03
  1.6231600E+00    6.0914336E-03
  1.6232620E+00    6.0903840E-03
  1.6233640E+00    6.0893348E-03
  1.6234649E+00    6.0882838E-03
  1.6235670E+00    6.0872342E-03
  1.6236690E+00    6.0861846E-03
  1.6237700E+00    6.0851355E-03
  1.6238720E+00    6.0840845E-03
  1.6238720E+00    7.0474194E-03
  1.6239740E+00    7.0463689E-03
  1.6240760E+00    7.0453188E-03
  1.6240760E+00    8.0086524E-03
  1.6241770E+00    8.0076037E-03
  1.6242790E+00    8.0065541E-03
  1.6243809E+00    8.0055045E-03
  1.6244820E+00    8.0044540E-03
  1.6245840E+00    8.0034044E-03
  1.6246860E+00    8.0023548E-03
  1.6246860E+00    8.9656888E-03
  1.6247880E+00    8.9646392E-03
  1.6248890E+00    8.9635896E-03
  1.6249911E+00    8.9625381E-03
  1.6250930E+00    8.9614894E-03
  1.6251940E+00    8.9604398E-03
  1.6252960E+00    8.9593902E-03
  1.6252960E+00    9.9227242E-03
  1.6253980E+00    9.9216746E-03
  1.6254990E+00    9.9206241E-03
  1.6256011E+00    9.9195745E-03
  1.6257030E+00    9.9185249E-03
  1.6258050E+00    9.9174753E-03
  1.6259060E+00    9.9164257E-03
  1.6260080E+00    9.9153752E-03
  1.6260080E+00    1.0878709E-02
  1.6261100E+00    1.0877659E-02
  1.6262110E+00    1.0876610E-02
  1.6263130E+00    1.0875560E-02
  1.6263130E+00    1.1838893E-02
  1.6264150E+00    1.1837845E-02
  1.6265171E+00    1.1836794E-02
  1.6265171E+00    1.2800128E-02
  1.6266180E+00    1.2799078E-02
  1.6267200E+00    1.2798029E-02
  1.6268220E+00    1.2796979E-02
  1.6268220E+00    1.3760318E-02
  1.6269230E+00    1.3759257E-02
  1.6270250E+00    1.3758209E-02
  1.6271271E+00    1.3757161E-02
  1.6271271E+00    1.4720501E-02
  1.6272280E+00    1.4719454E-02
  1.6273299E+00    1.4718392E-02
  1.6274320E+00    1.4717344E-02
  1.6274320E+00    1.5680688E-02
  1.6275340E+00    1.5679639E-02
  1.6276350E+00    1.5678577E-02
  1.6276350E+00    1.6641919E-02
  1.6277370E+00    1.6640870E-02
  1.6277370E+00    1.7604198E-02
  1.6278390E+00    1.7603150E-02
  1.6279401E+00    1.7602103E-02
  1.6279401E+00    1.8565431E-02
  1.6280420E+00    1.8564383E-02
  1.6281440E+00    1.8563334E-02
  1.6281440E+00    1.9526662E-02
  1.6282459E+00    1.9525614E-02
  1.6282459E+00    2.0488957E-02
  1.6283470E+00    2.0487908E-02
  1.6284490E+00    2.0486861E-02
  1.6284490E+00    2.1450188E-02
  1.6285510E+00    2.1449141E-02
  1.6286520E+00    2.1448093E-02
  1.6286520E+00    2.2411421E-02
  1.6287540E+00    2.2410372E-02
  1.6287540E+00    2.3373703E-02
  1.6288559E+00    2.3372654E-02
  1.6288559E+00    2.4335995E-02
  1.6289580E+00    2.4334947E-02
  1.6289580E+00    2.5298275E-02
  1.6290590E+00    2.5297228E-02
  1.6291610E+00    2.5296180E-02
  1.6291610E+00    2.6259508E-02
  1.6292630E+00    2.6258459E-02
  1.6292630E+00    2.7221788E-02
  1.6293640E+00    2.7220739E-02
  1.6293640E+00    2.8184080E-02
  1.6294661E+00    2.9146360E-02
  1.6294661E+00    2.8183032E-02
  1.6295680E+00    2.9145315E-02
  1.6296690E+00    3.0107595E-02
  1.6296690E+00    2.9144267E-02
  1.6297710E+00    3.0106546E-02
  1.6297710E+00    3.1069875E-02
