# wave[microns]    norm_trans
  1.3968461E+00    2.0971375E-04
  1.3972330E+00    2.0561514E-04
  1.3976210E+00    2.0151652E-04
  1.3980080E+00    1.9741792E-04
  1.3983949E+00    1.9331918E-04
  1.3987830E+00    1.8922056E-04
  1.3991700E+00    1.8512196E-04
  1.3995579E+00    1.8102332E-04
  1.3999450E+00    1.7692460E-04
  1.4003320E+00    1.7282598E-04
  1.4007200E+00    1.6872736E-04
  1.4011070E+00    1.6462876E-04
  1.4014940E+00    1.6053014E-04
  1.4018821E+00    1.5643140E-04
  1.4022690E+00    1.5233280E-04
  1.4026570E+00    1.4823418E-04
  1.4030440E+00    1.4413556E-04
  1.4034311E+00    1.4003694E-04
  1.4038190E+00    1.3593821E-04
  1.4042060E+00    1.3183960E-04
  1.4045930E+00    1.2774098E-04
  1.4049810E+00    1.2364236E-04
  1.4053680E+00    1.1954363E-04
  1.4057560E+00    1.1544501E-04
  1.4061430E+00    1.1134639E-04
  1.4065300E+00    1.0724776E-04
  1.4069180E+00    1.0314913E-04
  1.4073050E+00    9.9050485E-05
  1.4076920E+00    9.4951843E-05
  1.4080800E+00    9.0853202E-05
  1.4084671E+00    8.6754553E-05
  1.4088550E+00    8.2655919E-05
  1.4092420E+00    7.8557277E-05
  1.4096290E+00    7.4458636E-05
  1.4100170E+00    7.0359994E-05
  1.4104040E+00    6.6261360E-05
  1.4107910E+00    6.2162711E-05
  1.4111789E+00    5.8064074E-05
  1.4115660E+00    5.3965432E-05
  1.4119540E+00    4.9866794E-05
  1.4123410E+00    4.5768156E-05
  1.4127280E+00    4.1669515E-05
  1.4131160E+00    3.7570866E-05
  1.4135031E+00    3.3472228E-05
  1.4138900E+00    2.9373588E-05
  1.4142780E+00    2.5274951E-05
  1.4146650E+00    2.1176311E-05
  1.4150530E+00    1.7077673E-05
  1.4154400E+00    1.2979033E-05
  1.4154420E+00    1.2473529E-03
  1.4158289E+00    1.2432544E-03
  1.4162160E+00    1.2391559E-03
  1.4166040E+00    1.2350574E-03
  1.4169890E+00    0.0000000E+00
  1.4173770E+00    0.0000000E+00
  1.4177639E+00    0.0000000E+00
  1.4181520E+00    0.0000000E+00
  1.4185390E+00    0.0000000E+00
  1.4189260E+00    0.0000000E+00
  1.4193140E+00    0.0000000E+00
  1.4197010E+00    0.0000000E+00
  1.4200881E+00    0.0000000E+00
  1.4204760E+00    0.0000000E+00
  1.4208630E+00    0.0000000E+00
  1.4212511E+00    0.0000000E+00
  1.4216380E+00    0.0000000E+00
  1.4220250E+00    0.0000000E+00
  1.4224130E+00    0.0000000E+00
  1.4227999E+00    0.0000000E+00
  1.4231880E+00    0.0000000E+00
  1.4235750E+00    0.0000000E+00
  1.4239620E+00    0.0000000E+00
  1.4243500E+00    0.0000000E+00
  1.4247370E+00    0.0000000E+00
  1.4251240E+00    0.0000000E+00
  1.4255120E+00    0.0000000E+00
  1.4258990E+00    0.0000000E+00
  1.4262871E+00    0.0000000E+00
  1.4266740E+00    0.0000000E+00
  1.4270610E+00    0.0000000E+00
  1.4274490E+00    0.0000000E+00
  1.4278359E+00    0.0000000E+00
  1.4282230E+00    0.0000000E+00
  1.4286110E+00    0.0000000E+00
  1.4289980E+00    0.0000000E+00
  1.4293860E+00    0.0000000E+00
  1.4297730E+00    0.0000000E+00
  1.4301600E+00    0.0000000E+00
  1.4305480E+00    0.0000000E+00
  1.4309350E+00    0.0000000E+00
  1.4313220E+00    0.0000000E+00
  1.4317100E+00    0.0000000E+00
  1.4320970E+00    0.0000000E+00
