# wave[microns]    norm_trans
  1.9038730E+00    0.0000000E+00
  1.9038750E+00    1.1308254E-03
  1.9042619E+00    1.1270531E-03
  1.9046500E+00    1.1232806E-03
  1.9050370E+00    1.1195093E-03
  1.9054250E+00    1.1157370E-03
  1.9058120E+00    1.1119657E-03
  1.9061990E+00    1.1081933E-03
  1.9065850E+00    0.0000000E+00
  1.9069721E+00    0.0000000E+00
  1.9073590E+00    0.0000000E+00
  1.9077470E+00    0.0000000E+00
  1.9077491E+00    1.0931061E-03
  1.9081360E+00    1.0893338E-03
  1.9085230E+00    1.0855614E-03
  1.9089090E+00    0.0000000E+00
  1.9092960E+00    0.0000000E+00
  1.9096839E+00    0.0000000E+00
  1.9100710E+00    0.0000000E+00
  1.9100730E+00    1.0704742E-03
  1.9104600E+00    1.0667017E-03
  1.9108469E+00    1.0629304E-03
  1.9112350E+00    1.0591581E-03
  1.9116220E+00    1.0553858E-03
  1.9120090E+00    1.0516144E-03
  1.9123950E+00    0.0000000E+00
  1.9123970E+00    1.0478422E-03
  1.9127840E+00    1.0440708E-03
  1.9131711E+00    1.0402986E-03
  1.9135590E+00    1.0365268E-03
  1.9139460E+00    1.0327548E-03
  1.9143330E+00    1.0289828E-03
  1.9147210E+00    1.0252108E-03
  1.9151080E+00    1.0214389E-03
  1.9154950E+00    1.0176670E-03
  1.9158829E+00    1.0138950E-03
  1.9162700E+00    1.0101231E-03
  1.9166570E+00    1.0063512E-03
  1.9170450E+00    1.0025792E-03
  1.9174320E+00    9.9880737E-04
  1.9178190E+00    9.9503540E-04
  1.9182070E+00    9.9126343E-04
  1.9185920E+00    0.0000000E+00
  1.9189800E+00    0.0000000E+00
  1.9193670E+00    0.0000000E+00
  1.9193690E+00    9.7994762E-04
  1.9197561E+00    9.7617577E-04
  1.9201430E+00    9.7240385E-04
  1.9205310E+00    9.6863188E-04
  1.9209180E+00    9.6486002E-04
  1.9213049E+00    9.6108811E-04
  1.9216930E+00    9.5731614E-04
  1.9220800E+00    9.5354422E-04
  1.9224679E+00    9.4977219E-04
  1.9228550E+00    9.4600028E-04
  1.9232420E+00    9.4222830E-04
  1.9232440E+00    2.1107725E-03
  1.9236310E+00    2.1070004E-03
  1.9240190E+00    2.1032288E-03
  1.9244061E+00    2.0994567E-03
  1.9247930E+00    2.0956853E-03
  1.9251810E+00    2.0919130E-03
  1.9255680E+00    2.0881407E-03
  1.9259551E+00    2.0843695E-03
  1.9263430E+00    2.0805970E-03
  1.9267280E+00    9.0828096E-04
  1.9271160E+00    9.0450904E-04
  1.9275030E+00    9.0073718E-04
  1.9278899E+00    8.9696521E-04
  1.9282780E+00    8.9319330E-04
  1.9286650E+00    8.8942138E-04
  1.9290510E+00    0.0000000E+00
  1.9294380E+00    0.0000000E+00
  1.9298249E+00    0.0000000E+00
  1.9302130E+00    0.0000000E+00
  1.9306000E+00    0.0000000E+00
  1.9309870E+00    0.0000000E+00
  1.9313750E+00    0.0000000E+00
  1.9317620E+00    0.0000000E+00
  1.9317640E+00    8.5924589E-04
  1.9321510E+00    8.5547392E-04
  1.9325380E+00    8.5170200E-04
  1.9329261E+00    8.4793009E-04
  1.9333130E+00    8.4415812E-04
  1.9337000E+00    8.4038626E-04
  1.9340880E+00    8.3661434E-04
  1.9344749E+00    8.3284237E-04
  1.9348620E+00    8.2907046E-04
  1.9352500E+00    8.2529854E-04
  1.9356370E+00    8.2152657E-04
  1.9360240E+00    8.1775466E-04
  1.9364120E+00    8.1398280E-04
  1.9367990E+00    8.1021083E-04
  1.9371860E+00    8.0643891E-04
  1.9375740E+00    8.0266700E-04
  1.9379610E+00    7.9889497E-04
  1.9383490E+00    7.9512305E-04
  1.9387360E+00    7.9135108E-04
  1.9391230E+00    7.8757916E-04
  1.9395109E+00    7.8380731E-04
  1.9398960E+00    0.0000000E+00
  1.9398980E+00    7.8003528E-04
  1.9402850E+00    7.7626342E-04
  1.9406730E+00    7.7249150E-04
  1.9410599E+00    7.6871953E-04
  1.9414470E+00    7.6494762E-04
  1.9418350E+00    7.6117564E-04
  1.9422220E+00    7.5740373E-04
  1.9426090E+00    7.5363187E-04
  1.9429970E+00    7.4985990E-04
  1.9433841E+00    7.4608799E-04
  1.9437710E+00    7.4231607E-04
  1.9441590E+00    7.3854410E-04
  1.9445460E+00    7.3477218E-04
  1.9449331E+00    7.3100033E-04
  1.9453210E+00    7.2722824E-04
  1.9457080E+00    7.2345632E-04
  1.9460950E+00    7.1968435E-04
  1.9464830E+00    7.1591249E-04
  1.9468700E+00    7.1214058E-04
  1.9472570E+00    7.0836861E-04
  1.9476449E+00    7.0459669E-04
  1.9480320E+00    7.0082478E-04
  1.9484190E+00    6.9705280E-04
  1.9488070E+00    6.9328089E-04
  1.9491940E+00    6.8950903E-04
  1.9495810E+00    6.8573706E-04
  1.9499691E+00    6.8196515E-04
  1.9503560E+00    6.7819323E-04
  1.9507430E+00    6.7442126E-04
  1.9511310E+00    6.7064934E-04
  1.9515181E+00    6.6687749E-04
  1.9519050E+00    6.6310551E-04
  1.9522930E+00    6.5933360E-04
  1.9526800E+00    6.5556169E-04
  1.9530660E+00    0.0000000E+00
  1.9534529E+00    0.0000000E+00
  1.9538400E+00    0.0000000E+00
  1.9538420E+00    6.4424583E-04
  1.9542290E+00    6.4047385E-04
  1.9546170E+00    6.3670194E-04
  1.9546191E+00    1.8052462E-03
  1.9550060E+00    1.8014739E-03
