# wave[microns]    norm_trans
  2.1938720E+00    1.0901566E-03
  2.1939850E+00    1.0878087E-03
  2.1940989E+00    1.0854610E-03
  2.1942129E+00    1.0831133E-03
  2.1943259E+00    1.0807654E-03
  2.1944399E+00    1.0784176E-03
  2.1945541E+00    1.0760699E-03
  2.1946681E+00    1.0737220E-03
  2.1947811E+00    1.0713743E-03
  2.1948950E+00    1.0690265E-03
  2.1950090E+00    1.0666788E-03
  2.1951220E+00    1.0643309E-03
  2.1952360E+00    1.0619832E-03
  2.1953499E+00    1.0596354E-03
  2.1954639E+00    1.0572876E-03
  2.1955769E+00    1.0549398E-03
  2.1956911E+00    1.0525921E-03
  2.1958051E+00    1.0502442E-03
  2.1959181E+00    1.0478965E-03
  2.1960320E+00    1.0455487E-03
  2.1961460E+00    1.0432008E-03
  2.1962590E+00    1.0408531E-03
  2.1963730E+00    1.0385052E-03
  2.1964869E+00    1.0361574E-03
  2.1966009E+00    1.0338096E-03
  2.1967139E+00    1.0314619E-03
  2.1968279E+00    1.0291141E-03
  2.1969421E+00    1.0267663E-03
  2.1970551E+00    1.0244185E-03
  2.1971691E+00    1.0220708E-03
  2.1972830E+00    1.0197229E-03
  2.1973960E+00    1.0173752E-03
  2.1975100E+00    1.0150274E-03
  2.1976240E+00    1.0126795E-03
  2.1977379E+00    1.0103318E-03
  2.1978509E+00    1.0079840E-03
  2.1979649E+00    1.0056362E-03
  2.1980791E+00    1.0032884E-03
  2.1981919E+00    1.0009407E-03
  2.1983061E+00    9.9859282E-04
  2.1983061E+00    2.3751801E-03
  2.1984200E+00    2.3728323E-03
  2.1985331E+00    9.9389732E-04
  2.1986470E+00    9.9154958E-04
  2.1987610E+00    9.8920171E-04
  2.1988750E+00    9.8685396E-04
  2.1989880E+00    9.8450610E-04
  2.1991019E+00    9.8215824E-04
  2.1992159E+00    9.7981049E-04
  2.1993289E+00    9.7746274E-04
  2.1994431E+00    9.7511493E-04
  2.1995571E+00    9.7276719E-04
  2.1996701E+00    9.7041938E-04
  2.1997840E+00    9.6807152E-04
  2.1998980E+00    9.6572377E-04
  2.2000120E+00    9.6337602E-04
  2.2001250E+00    9.6102816E-04
  2.2002389E+00    9.5868041E-04
  2.2003529E+00    9.5633266E-04
  2.2004659E+00    9.5398491E-04
  2.2005799E+00    9.5163705E-04
  2.2006941E+00    9.4928930E-04
  2.2008071E+00    9.4694155E-04
  2.2009211E+00    9.4459369E-04
  2.2010350E+00    9.4224588E-04
  2.2011490E+00    9.3989813E-04
  2.2012620E+00    9.3755027E-04
  2.2013760E+00    9.3520252E-04
  2.2014899E+00    9.3285477E-04
  2.2016029E+00    9.3050691E-04
  2.2017169E+00    9.2815916E-04
  2.2018311E+00    9.2581142E-04
  2.2019441E+00    9.2346355E-04
  2.2020581E+00    9.2111580E-04
  2.2021720E+00    9.1876806E-04
  2.2022860E+00    9.1642019E-04
  2.2023990E+00    9.1407244E-04
  2.2025130E+00    9.1172464E-04
  2.2026269E+00    9.0937689E-04
  2.2027400E+00    9.0702903E-04
  2.2028539E+00    9.0468128E-04
  2.2029679E+00    9.0233353E-04
  2.2030809E+00    8.9998567E-04
  2.2031951E+00    8.9763792E-04
  2.2033091E+00    8.9529017E-04
  2.2034230E+00    8.9294231E-04
  2.2035360E+00    8.9059456E-04
  2.2036500E+00    8.8824675E-04
  2.2037640E+00    8.8589895E-04
  2.2038770E+00    8.8355114E-04
  2.2039909E+00    8.8120339E-04
  2.2041049E+00    8.7885553E-04
  2.2042179E+00    8.7650778E-04
  2.2043321E+00    8.7416003E-04
  2.2044461E+00    8.7181223E-04
  2.2045600E+00    8.6946442E-04
  2.2046731E+00    8.6711667E-04
  2.2047870E+00    8.6476887E-04
  2.2049010E+00    8.6242112E-04
  2.2050140E+00    8.6007331E-04
  2.2051280E+00    8.5772545E-04
  2.2052419E+00    8.5537770E-04
  2.2053549E+00    8.5302989E-04
  2.2054689E+00    8.5068209E-04
  2.2055831E+00    8.4833434E-04
  2.2056971E+00    8.4598653E-04
  2.2058101E+00    8.4363879E-04
  2.2059240E+00    8.4129098E-04
  2.2060380E+00    8.3894318E-04
  2.2061510E+00    8.3659543E-04
  2.2062650E+00    8.3424762E-04
  2.2063789E+00    8.3189982E-04
  2.2064919E+00    8.2955201E-04
  2.2066059E+00    8.2720420E-04
  2.2067201E+00    8.2485646E-04
  2.2068341E+00    8.2250865E-04
  2.2069471E+00    8.2016084E-04
  2.2070611E+00    8.1781310E-04
  2.2071750E+00    8.1546529E-04
  2.2072880E+00    8.1311748E-04
  2.2074020E+00    8.1076974E-04
  2.2075160E+00    8.0842193E-04
  2.2076290E+00    8.0607418E-04
  2.2077429E+00    8.0372638E-04
  2.2078569E+00    8.0137851E-04
  2.2079711E+00    7.9903076E-04
  2.2080841E+00    7.9668296E-04
  2.2081981E+00    7.9433515E-04
  2.2083120E+00    7.9198740E-04
  2.2084250E+00    7.8963960E-04
  2.2085390E+00    7.8729185E-04
  2.2086530E+00    7.8494404E-04
  2.2087660E+00    7.8259624E-04
  2.2087669E+00    2.1591836E-03
  2.2088799E+00    2.1568355E-03
  2.2089939E+00    2.1544879E-03
  2.2091081E+00    2.1521400E-03
  2.2092209E+00    2.1497922E-03
  2.2093351E+00    7.7085727E-04
  2.2093351E+00    2.1474445E-03
  2.2094491E+00    2.1450967E-03
  2.2095630E+00    2.1427488E-03
  2.2096760E+00    2.1404009E-03
  2.2097900E+00    7.6146616E-04
  2.2099030E+00    7.5911835E-04
  2.2100170E+00    7.5677055E-04
  2.2101309E+00    7.5442280E-04
  2.2102449E+00    7.5207499E-04
  2.2103579E+00    7.4972725E-04
  2.2104721E+00    7.4737938E-04
  2.2105861E+00    7.4503158E-04
  2.2106991E+00    7.4268383E-04
  2.2107000E+00    2.1192711E-03
  2.2108130E+00    2.1169232E-03
  2.2109270E+00    2.1145756E-03
  2.2110410E+00    2.1122275E-03
  2.2111540E+00    7.3329266E-04
  2.2112679E+00    7.3094491E-04
  2.2113819E+00    7.2859711E-04
  2.2114949E+00    7.2624930E-04
  2.2116089E+00    7.2390155E-04
  2.2116089E+00    2.1004889E-03
  2.2117231E+00    2.0981410E-03
  2.2118371E+00    2.0957931E-03
  2.2119501E+00    7.1685814E-04
  2.2120640E+00    7.1451033E-04
  2.2120640E+00    2.0910974E-03
  2.2121780E+00    2.0887498E-03
  2.2122910E+00    2.0864019E-03
  2.2124050E+00    7.0746697E-04
  2.2125189E+00    7.0511922E-04
  2.2126319E+00    7.0277142E-04
  2.2127459E+00    7.0042361E-04
  2.2127459E+00    2.0770107E-03
  2.2128601E+00    2.0746631E-03
  2.2129741E+00    2.0723152E-03
  2.2130871E+00    2.0699676E-03
  2.2132010E+00    2.0676195E-03
  2.2133150E+00    2.0652718E-03
  2.2134280E+00    2.0629240E-03
  2.2135420E+00    6.8398908E-04
  2.2135420E+00    2.0605763E-03
  2.2136559E+00    2.0582285E-03
  2.2137699E+00    2.0558808E-03
  2.2138829E+00    2.0535330E-03
  2.2139969E+00    2.0511851E-03
  2.2141111E+00    2.0488373E-03
  2.2142241E+00    2.0464896E-03
  2.2143381E+00    2.0441418E-03
  2.2144520E+00    2.0417939E-03
  2.2145650E+00    2.0394463E-03
  2.2146790E+00    2.0370984E-03
  2.2147930E+00    6.5816339E-04
  2.2149060E+00    6.5581565E-04
  2.2150199E+00    6.5346784E-04
  2.2151339E+00    6.5112003E-04
  2.2151339E+00    2.0277072E-03
  2.2152481E+00    2.0253595E-03
  2.2153611E+00    2.0230117E-03
  2.2154751E+00    2.0206638E-03
  2.2155890E+00    2.0183160E-03
  2.2157021E+00    2.0159683E-03
  2.2158160E+00    6.3703331E-04
  2.2159300E+00    6.3468551E-04
  2.2159300E+00    2.0112728E-03
  2.2160439E+00    2.0089250E-03
  2.2161570E+00    2.0065771E-03
  2.2162709E+00    2.0042292E-03
  2.2163839E+00    6.2529434E-04
  2.2164979E+00    6.2294659E-04
  2.2166121E+00    6.2059879E-04
  2.2167261E+00    6.1825098E-04
  2.2168391E+00    6.1590323E-04
  2.2169530E+00    6.1355543E-04
  2.2170670E+00    6.1120768E-04
  2.2171800E+00    6.0885987E-04
  2.2172940E+00    6.0651201E-04
  2.2174079E+00    6.0416426E-04
  2.2174079E+00    1.9807515E-03
  2.2175219E+00    1.9784037E-03
  2.2176349E+00    1.9760558E-03
  2.2177491E+00    1.9737079E-03
  2.2178631E+00    1.9713603E-03
  2.2179761E+00    1.9690124E-03
  2.2180901E+00    1.9666648E-03
  2.2182040E+00    1.9643169E-03
  2.2183180E+00    1.9619691E-03
  2.2184310E+00    1.9596212E-03
  2.2185450E+00    5.8068638E-04
  2.2185450E+00    1.9572736E-03
  2.2186589E+00    1.9549257E-03
  2.2187719E+00    5.7599077E-04
  2.2187719E+00    1.9525780E-03
  2.2188859E+00    1.9502302E-03
  2.2190001E+00    1.9478825E-03
  2.2191131E+00    1.9455345E-03
  2.2192271E+00    1.9431867E-03
  2.2193410E+00    1.9408390E-03
  2.2194550E+00    1.9384912E-03
  2.2195680E+00    1.9361435E-03
  2.2196820E+00    1.9337957E-03
  2.2197959E+00    1.9314478E-03
  2.2199090E+00    1.9291000E-03
  2.2200229E+00    1.9267523E-03
  2.2201369E+00    1.9244045E-03
  2.2202499E+00    1.9220568E-03
  2.2203641E+00    1.9197090E-03
  2.2204781E+00    1.9173610E-03
  2.2205920E+00    1.9150133E-03
  2.2207050E+00    1.9126656E-03
  2.2208190E+00    5.3373072E-04
  2.2208190E+00    1.9103178E-03
  2.2209330E+00    1.9079701E-03
  2.2210460E+00    1.9056223E-03
  2.2211599E+00    1.9032744E-03
  2.2212739E+00    1.9009266E-03
  2.2213869E+00    1.8985788E-03
  2.2215011E+00    1.8962310E-03
  2.2216151E+00    1.8938832E-03
  2.2217281E+00    5.1494845E-04
  2.2218421E+00    5.1260064E-04
  2.2219560E+00    5.1025284E-04
  2.2220690E+00    5.0790509E-04
  2.2220700E+00    1.8844920E-03
  2.2221830E+00    1.8821442E-03
  2.2222970E+00    1.8797965E-03
  2.2224109E+00    1.8774488E-03
  2.2225239E+00    1.8751010E-03
  2.2226379E+00    4.9616612E-04
  2.2227521E+00    4.9381831E-04
  2.2228651E+00    4.9147051E-04
  2.2229791E+00    4.8912276E-04
  2.2230930E+00    4.8677495E-04
  2.2232060E+00    4.8442715E-04
  2.2233200E+00    4.8207937E-04
  2.2234340E+00    4.7973156E-04
  2.2235479E+00    4.7738382E-04
  2.2236609E+00    4.7503601E-04
  2.2237749E+00    4.7268820E-04
  2.2238891E+00    4.7034043E-04
  2.2240019E+00    4.6799262E-04
  2.2240031E+00    1.8445797E-03
  2.2241161E+00    1.8422318E-03
  2.2242301E+00    1.8398840E-03
  2.2243431E+00    4.6094926E-04
