# wave[microns]    norm_trans
  3.0132620E+00    0.0000000E+00
  3.0140910E+00    0.0000000E+00
  3.0149200E+00    0.0000000E+00
  3.0157490E+00    0.0000000E+00
  3.0165780E+00    0.0000000E+00
  3.0174069E+00    0.0000000E+00
  3.0182350E+00    0.0000000E+00
  3.0190639E+00    0.0000000E+00
  3.0198929E+00    0.0000000E+00
  3.0207219E+00    0.0000000E+00
  3.0215509E+00    0.0000000E+00
  3.0223801E+00    0.0000000E+00
  3.0232091E+00    0.0000000E+00
  3.0240381E+00    0.0000000E+00
  3.0248671E+00    0.0000000E+00
  3.0256951E+00    0.0000000E+00
  3.0265241E+00    0.0000000E+00
  3.0265291E+00    1.1353702E-03
  3.0273581E+00    1.1332318E-03
  3.0281820E+00    0.0000000E+00
  3.0290110E+00    0.0000000E+00
  3.0298400E+00    0.0000000E+00
  3.0306690E+00    0.0000000E+00
  3.0314980E+00    0.0000000E+00
  3.0323269E+00    0.0000000E+00
  3.0331550E+00    0.0000000E+00
  3.0339839E+00    0.0000000E+00
  3.0348129E+00    0.0000000E+00
  3.0356419E+00    0.0000000E+00
  3.0364709E+00    0.0000000E+00
  3.0364759E+00    1.1097119E-03
  3.0373039E+00    1.1075735E-03
  3.0381329E+00    1.1054351E-03
  3.0389581E+00    0.0000000E+00
  3.0397861E+00    0.0000000E+00
  3.0406151E+00    0.0000000E+00
  3.0414441E+00    0.0000000E+00
  3.0422730E+00    0.0000000E+00
  3.0431020E+00    0.0000000E+00
  3.0439310E+00    0.0000000E+00
  3.0439351E+00    1.0904679E-03
  3.0447640E+00    1.0883306E-03
  3.0455930E+00    1.0861921E-03
  3.0464220E+00    1.0840537E-03
  3.0472510E+00    1.0819156E-03
  3.0480800E+00    1.0797774E-03
  3.0489089E+00    1.0776393E-03
  3.0497379E+00    1.0755011E-03
  3.0505669E+00    1.0733629E-03
  3.0513949E+00    1.0712247E-03
  3.0522239E+00    1.0690866E-03
  3.0530491E+00    0.0000000E+00
  3.0538781E+00    0.0000000E+00
  3.0538819E+00    1.0648102E-03
  3.0547111E+00    1.0626721E-03
  3.0555401E+00    1.0605339E-03
  3.0563691E+00    1.0583957E-03
  3.0571980E+00    1.0562576E-03
  3.0580270E+00    1.0541194E-03
  3.0588551E+00    1.0519812E-03
  3.0596840E+00    1.0498430E-03
  3.0605130E+00    1.0477050E-03
  3.0613370E+00    0.0000000E+00
  3.0621660E+00    0.0000000E+00
  3.0629950E+00    0.0000000E+00
  3.0638239E+00    0.0000000E+00
  3.0646529E+00    0.0000000E+00
  3.0654819E+00    0.0000000E+00
  3.0654860E+00    1.0348759E-03
  3.0663149E+00    1.0327377E-03
  3.0671401E+00    0.0000000E+00
  3.0679691E+00    0.0000000E+00
  3.0687971E+00    0.0000000E+00
  3.0696261E+00    0.0000000E+00
  3.0704551E+00    0.0000000E+00
  3.0712841E+00    0.0000000E+00
  3.0712891E+00    1.0199086E-03
