# wave[microns]    norm_trans
  3.2570002E+00    0.0000000E+00
  3.2900002E+00    2.0618557E-03
  3.3230002E+00    1.0309278E-02
  3.3530002E+00    2.1649484E-02
  3.3830001E+00    4.5360826E-02
  3.4020002E+00    1.1134021E-01
  3.4420002E+00    8.4020621E-01
  3.4470003E+00    8.8969076E-01
  3.4580002E+00    9.3608248E-01
  3.4720001E+00    9.5979381E-01
  3.4880002E+00    9.6701032E-01
  3.4990001E+00    9.7113401E-01
  3.5100002E+00    9.5154643E-01
  3.5240002E+00    9.4020617E-01
  3.5480001E+00    9.2474222E-01
  3.5620003E+00    9.2886597E-01
  3.5780001E+00    9.4020617E-01
  3.6030002E+00    9.5567006E-01
  3.6190002E+00    9.7525769E-01
  3.6410003E+00    9.8247427E-01
  3.6660001E+00    9.9072164E-01
  3.6900001E+00    9.8659790E-01
  3.7120001E+00    9.7525769E-01
  3.7340002E+00    9.5670104E-01
  3.7590001E+00    9.5257735E-01
  3.7780001E+00    9.6804124E-01
  3.8000002E+00    9.6804124E-01
  3.8190002E+00    9.7216499E-01
  3.8380003E+00    9.8350519E-01
  3.8570001E+00    9.7216499E-01
  3.8820002E+00    9.7938144E-01
  3.9060001E+00    9.8762888E-01
  3.9230001E+00    9.9175256E-01
  3.9470003E+00    9.8762888E-01
  3.9720001E+00    9.7216499E-01
  3.9940002E+00    9.5360827E-01
  4.0130000E+00    9.4536078E-01
  4.0350003E+00    9.5670104E-01
  4.0540004E+00    9.7216499E-01
  4.0730004E+00    1.0000000E+00
  4.0870004E+00    9.9587625E-01
  4.0950003E+00    9.6907216E-01
  4.1010003E+00    9.3402058E-01
  4.1480002E+00    1.9381443E-01
  4.1590004E+00    1.2061855E-01
  4.1650000E+00    8.5567012E-02
  4.1730003E+00    5.4639176E-02
  4.1950002E+00    3.1958763E-02
  4.2110000E+00    9.2783505E-03
  4.2330003E+00    5.1546390E-03
  4.2550001E+00    5.1546390E-03
