# wave[microns]    norm_trans
  4.0000000E+00    1.1111111E-03
  4.0050001E+00    0.0000000E+00
  4.0100002E+00    0.0000000E+00
  4.0150003E+00    0.0000000E+00
  4.0200000E+00    0.0000000E+00
  4.0250001E+00    0.0000000E+00
  4.0300002E+00    0.0000000E+00
  4.0350003E+00    0.0000000E+00
  4.0400000E+00    0.0000000E+00
  4.0450001E+00    0.0000000E+00
  4.0500002E+00    0.0000000E+00
  4.0550003E+00    0.0000000E+00
  4.0600004E+00    0.0000000E+00
  4.0650001E+00    0.0000000E+00
  4.0700002E+00    0.0000000E+00
  4.0750003E+00    0.0000000E+00
  4.0800004E+00    0.0000000E+00
  4.0850000E+00    0.0000000E+00
  4.0900002E+00    0.0000000E+00
  4.0950003E+00    0.0000000E+00
  4.1000004E+00    0.0000000E+00
  4.1050000E+00    0.0000000E+00
  4.1100001E+00    0.0000000E+00
  4.1150002E+00    0.0000000E+00
  4.1200004E+00    0.0000000E+00
  4.1250000E+00    0.0000000E+00
  4.1300001E+00    0.0000000E+00
  4.1350002E+00    0.0000000E+00
  4.1400003E+00    0.0000000E+00
  4.1450000E+00    0.0000000E+00
  4.1500001E+00    0.0000000E+00
  4.1550002E+00    0.0000000E+00
  4.1600003E+00    0.0000000E+00
  4.1650000E+00    0.0000000E+00
  4.1700001E+00    0.0000000E+00
  4.1750002E+00    0.0000000E+00
  4.1800003E+00    0.0000000E+00
  4.1850004E+00    0.0000000E+00
  4.1900001E+00    0.0000000E+00
  4.1950002E+00    0.0000000E+00
  4.2000003E+00    0.0000000E+00
  4.2050004E+00    0.0000000E+00
  4.2100000E+00    0.0000000E+00
  4.2150002E+00    0.0000000E+00
  4.2200003E+00    0.0000000E+00
  4.2250004E+00    0.0000000E+00
  4.2300000E+00    0.0000000E+00
  4.2350001E+00    1.1111111E-03
  4.2400002E+00    4.4444446E-03
  4.2450004E+00    5.5555557E-03
  4.2500000E+00    4.4444446E-03
  4.2550001E+00    3.3333334E-03
  4.2600002E+00    1.1111111E-03
  4.2650003E+00    0.0000000E+00
  4.2700000E+00    0.0000000E+00
  4.2750001E+00    1.1111111E-03
  4.2800002E+00    2.2222223E-03
  4.2850003E+00    2.2222223E-03
  4.2900004E+00    3.3333334E-03
  4.2950001E+00    4.4444446E-03
  4.3000002E+00    3.3333334E-03
  4.3050003E+00    4.4444446E-03
  4.3100004E+00    4.4444446E-03
  4.3150001E+00    5.5555557E-03
  4.3200002E+00    5.5555557E-03
  4.3250003E+00    7.7777775E-03
  4.3300004E+00    8.8888891E-03
  4.3350000E+00    9.9999998E-03
  4.3400002E+00    1.2222222E-02
  4.3450003E+00    1.4444444E-02
  4.3500004E+00    1.6666668E-02
  4.3550000E+00    2.1111110E-02
  4.3600001E+00    2.6666667E-02
  4.3650002E+00    3.3333335E-02
  4.3700004E+00    4.2222220E-02
  4.3750000E+00    5.3333335E-02
  4.3800001E+00    6.8888888E-02
  4.3850002E+00    8.8888891E-02
  4.3900003E+00    1.1555555E-01
  4.3950000E+00    1.5000001E-01
  4.4000001E+00    1.9333333E-01
  4.4050002E+00    2.4666667E-01
  4.4100003E+00    3.1111112E-01
  4.4150004E+00    3.8444442E-01
  4.4200001E+00    4.6444443E-01
  4.4250002E+00    5.4888892E-01
  4.4300003E+00    6.3222224E-01
  4.4350004E+00    7.1000004E-01
  4.4400001E+00    7.7666670E-01
  4.4450002E+00    8.3111113E-01
  4.4500003E+00    8.7333333E-01
  4.4550004E+00    9.0333337E-01
  4.4600000E+00    9.2555559E-01
  4.4650002E+00    9.4000000E-01
  4.4700003E+00    9.5111108E-01
  4.4750004E+00    9.5777774E-01
  4.4800000E+00    9.6222222E-01
  4.4850001E+00    9.6555555E-01
  4.4900002E+00    9.6777779E-01
  4.4950004E+00    9.7111112E-01
  4.5000000E+00    9.7333330E-01
  4.5050001E+00    9.7555560E-01
  4.5100002E+00    9.7666669E-01
  4.5150003E+00    9.7777778E-01
  4.5200000E+00    9.7888887E-01
  4.5250001E+00    9.7888887E-01
  4.5300002E+00    9.7999996E-01
  4.5350003E+00    9.7999996E-01
  4.5400004E+00    9.7888887E-01
  4.5450001E+00    9.7888887E-01
  4.5500002E+00    9.7888887E-01
  4.5550003E+00    9.7888887E-01
  4.5600004E+00    9.7777778E-01
  4.5650001E+00    9.7666669E-01
  4.5700002E+00    9.7555560E-01
  4.5750003E+00    9.7444439E-01
  4.5800004E+00    9.7444439E-01
  4.5850000E+00    9.7444439E-01
  4.5900002E+00    9.7444439E-01
  4.5950003E+00    9.7333330E-01
  4.6000004E+00    9.7222221E-01
  4.6050000E+00    9.7222221E-01
  4.6100001E+00    9.7222221E-01
  4.6150002E+00    9.7111112E-01
  4.6200004E+00    9.7111112E-01
