# wave[microns]    norm_trans
  1.4000001E+00    2.1023862E-04
  1.4005001E+00    2.1023862E-04
  1.4010000E+00    2.1023862E-04
  1.4015001E+00    2.1023862E-04
  1.4020001E+00    2.1023862E-04
  1.4025000E+00    2.1023862E-04
  1.4030001E+00    2.1023862E-04
  1.4035001E+00    2.1023862E-04
  1.4040000E+00    2.1023862E-04
  1.4045000E+00    2.1023862E-04
  1.4050001E+00    3.1535793E-04
  1.4055001E+00    2.1023862E-04
  1.4060000E+00    2.1023862E-04
  1.4065001E+00    2.1023862E-04
  1.4070001E+00    2.1023862E-04
  1.4075000E+00    2.1023862E-04
  1.4080001E+00    2.1023862E-04
  1.4085001E+00    2.1023862E-04
  1.4090000E+00    2.1023862E-04
  1.4095001E+00    2.1023862E-04
  1.4100001E+00    2.1023862E-04
  1.4105000E+00    3.1535793E-04
  1.4110000E+00    3.1535793E-04
  1.4115001E+00    3.1535793E-04
  1.4120001E+00    3.1535793E-04
  1.4125000E+00    3.1535793E-04
  1.4130001E+00    3.1535793E-04
  1.4135001E+00    3.1535793E-04
  1.4140000E+00    3.1535793E-04
  1.4145001E+00    2.1023862E-04
  1.4150001E+00    3.1535793E-04
  1.4155000E+00    3.1535793E-04
  1.4160000E+00    3.1535793E-04
  1.4165001E+00    3.1535793E-04
  1.4170001E+00    3.1535793E-04
  1.4175000E+00    3.1535793E-04
  1.4180001E+00    3.1535793E-04
  1.4185001E+00    3.1535793E-04
  1.4190000E+00    3.1535793E-04
  1.4195001E+00    3.1535793E-04
  1.4200001E+00    3.1535793E-04
  1.4205000E+00    3.1535793E-04
  1.4210001E+00    3.1535793E-04
  1.4215001E+00    4.2047724E-04
  1.4220001E+00    4.2047724E-04
  1.4225000E+00    4.2047724E-04
  1.4230001E+00    4.2047724E-04
  1.4235001E+00    4.2047724E-04
  1.4240000E+00    4.2047724E-04
  1.4245001E+00    4.2047724E-04
  1.4250001E+00    4.2047724E-04
  1.4255000E+00    4.2047724E-04
  1.4260001E+00    5.2559655E-04
  1.4265001E+00    5.2559655E-04
  1.4270000E+00    5.2559655E-04
  1.4275000E+00    6.3071586E-04
  1.4280001E+00    6.3071586E-04
  1.4285001E+00    6.3071586E-04
  1.4290000E+00    6.3071586E-04
  1.4295001E+00    7.3583517E-04
  1.4300001E+00    7.3583517E-04
  1.4305000E+00    7.3583517E-04
  1.4310001E+00    7.3583517E-04
  1.4315001E+00    8.4095448E-04
  1.4320000E+00    8.4095448E-04
  1.4325001E+00    9.4607385E-04
  1.4330001E+00    9.4607385E-04
  1.4335001E+00    1.0511931E-03
  1.4340000E+00    1.0511931E-03
  1.4345001E+00    1.1563124E-03
  1.4350001E+00    1.1563124E-03
  1.4355000E+00    1.2614317E-03
  1.4360001E+00    1.3665510E-03
  1.4365001E+00    1.3665510E-03
  1.4370000E+00    1.4716703E-03
  1.4375001E+00    1.5767898E-03
  1.4380001E+00    1.6819090E-03
  1.4385000E+00    1.6819090E-03
  1.4390000E+00    1.8921477E-03
  1.4395001E+00    1.9972669E-03
  1.4400001E+00    1.9972669E-03
  1.4405000E+00    2.2075055E-03
  1.4410001E+00    2.3126248E-03
  1.4415001E+00    2.4177441E-03
  1.4420000E+00    2.5228634E-03
  1.4425001E+00    2.6279828E-03
  1.4430001E+00    2.8382216E-03
  1.4435000E+00    2.9433407E-03
  1.4440001E+00    3.1535795E-03
  1.4445001E+00    3.3638179E-03
  1.4450001E+00    3.5740568E-03
  1.4455000E+00    3.7842954E-03
  1.4460001E+00    3.9945338E-03
  1.4465001E+00    4.3098917E-03
  1.4470000E+00    4.5201303E-03
  1.4475001E+00    4.9406076E-03
  1.4480001E+00    5.2559655E-03
  1.4485000E+00    5.6764432E-03
  1.4490001E+00    6.0969200E-03
  1.4495001E+00    6.5173977E-03
  1.4500000E+00    7.0429943E-03
  1.4505000E+00    7.5685908E-03
  1.4510001E+00    8.1993062E-03
  1.4515001E+00    9.0402607E-03
  1.4520000E+00    9.7760959E-03
  1.4525001E+00    1.0722170E-02
  1.4530001E+00    1.1563125E-02
  1.4535000E+00    1.2509199E-02
  1.4540001E+00    1.3665510E-02
  1.4545001E+00    1.5032061E-02
  1.4550000E+00    1.6713971E-02
  1.4555001E+00    1.8185642E-02
  1.4560001E+00    2.0182908E-02
  1.4565001E+00    2.1969935E-02
  1.4570000E+00    2.4177441E-02
  1.4575001E+00    2.6910543E-02
  1.4580001E+00    2.9853884E-02
  1.4585000E+00    3.3322822E-02
  1.4590001E+00    3.6686640E-02
  1.4595001E+00    4.0470935E-02
  1.4600000E+00    4.4780832E-02
  1.4605001E+00    4.9616314E-02
  1.4610001E+00    5.5608116E-02
  1.4615000E+00    6.1810158E-02
  1.4620000E+00    6.8327554E-02
  1.4625001E+00    7.4950069E-02
  1.4630001E+00    8.2728900E-02
  1.4635000E+00    9.1348678E-02
  1.4640001E+00    1.0112478E-01
  1.4645001E+00    1.1279302E-01
  1.4650000E+00    1.2362032E-01
  1.4655001E+00    1.3560390E-01
  1.4660001E+00    1.4727215E-01
  1.4665000E+00    1.6114791E-01
  1.4670001E+00    1.7681068E-01
  1.4675001E+00    1.9299906E-01
  1.4680001E+00    2.1086934E-01
  1.4685000E+00    2.2821403E-01
  1.4690001E+00    2.4639967E-01
  1.4695001E+00    2.6584676E-01
  1.4700000E+00    2.8708085E-01
  1.4705001E+00    3.1241459E-01
  1.4710001E+00    3.3638179E-01
  1.4715000E+00    3.6224115E-01
  1.4720001E+00    3.8789028E-01
  1.4725001E+00    4.1469571E-01
  1.4730000E+00    4.4391885E-01
  1.4735000E+00    4.7682121E-01
  1.4740001E+00    5.1161569E-01
  1.4745001E+00    5.4210031E-01
  1.4750000E+00    5.7626408E-01
  1.4755001E+00    6.0969204E-01
  1.4760001E+00    6.4396089E-01
  1.4765000E+00    6.8096292E-01
  1.4770001E+00    7.1575737E-01
  1.4775001E+00    7.5076210E-01
  1.4780000E+00    7.8030068E-01
  1.4785001E+00    8.0962890E-01
  1.4790001E+00    8.3706504E-01
  1.4795001E+00    8.6155790E-01
  1.4800000E+00    8.8552505E-01
  1.4805001E+00    9.0360558E-01
