# wave[microns]    norm_trans
  1.4000001E+00    2.0988561E-04
  1.4005001E+00    1.0494280E-04
  1.4010000E+00    2.0988561E-04
  1.4015001E+00    1.0494280E-04
  1.4020001E+00    2.0988561E-04
  1.4025000E+00    2.0988561E-04
  1.4030001E+00    2.0988561E-04
  1.4035001E+00    1.0494280E-04
  1.4040000E+00    1.0494280E-04
  1.4045000E+00    2.0988561E-04
  1.4050001E+00    2.0988561E-04
  1.4055001E+00    2.0988561E-04
  1.4060000E+00    2.0988561E-04
  1.4065001E+00    2.0988561E-04
  1.4070001E+00    2.0988561E-04
  1.4075000E+00    2.0988561E-04
  1.4080001E+00    2.0988561E-04
  1.4085001E+00    2.0988561E-04
  1.4090000E+00    2.0988561E-04
  1.4095001E+00    2.0988561E-04
  1.4100001E+00    2.0988561E-04
  1.4105000E+00    2.0988561E-04
  1.4110000E+00    2.0988561E-04
  1.4115001E+00    2.0988561E-04
  1.4120001E+00    2.0988561E-04
  1.4125000E+00    2.0988561E-04
  1.4130001E+00    2.0988561E-04
  1.4135001E+00    2.0988561E-04
  1.4140000E+00    2.0988561E-04
  1.4145001E+00    2.0988561E-04
  1.4150001E+00    2.0988561E-04
  1.4155000E+00    2.0988561E-04
  1.4160000E+00    2.0988561E-04
  1.4165001E+00    3.1482842E-04
  1.4170001E+00    2.0988561E-04
  1.4175000E+00    3.1482842E-04
  1.4180001E+00    2.0988561E-04
  1.4185001E+00    2.0988561E-04
  1.4190000E+00    3.1482842E-04
  1.4195001E+00    2.0988561E-04
  1.4200001E+00    2.0988561E-04
  1.4205000E+00    3.1482842E-04
  1.4210001E+00    3.1482842E-04
  1.4215001E+00    3.1482842E-04
  1.4220001E+00    3.1482842E-04
  1.4225000E+00    3.1482842E-04
  1.4230001E+00    3.1482842E-04
  1.4235001E+00    3.1482842E-04
  1.4240000E+00    4.1977121E-04
  1.4245001E+00    3.1482842E-04
  1.4250001E+00    4.1977121E-04
  1.4255000E+00    4.1977121E-04
  1.4260001E+00    4.1977121E-04
  1.4265001E+00    5.2471401E-04
  1.4270000E+00    5.2471401E-04
  1.4275000E+00    4.1977121E-04
  1.4280001E+00    5.2471401E-04
  1.4285001E+00    5.2471401E-04
  1.4290000E+00    6.2965683E-04
  1.4295001E+00    6.2965683E-04
  1.4300001E+00    6.2965683E-04
  1.4305000E+00    7.3459966E-04
  1.4310001E+00    7.3459966E-04
  1.4315001E+00    8.3954242E-04
  1.4320000E+00    8.3954242E-04
  1.4325001E+00    8.3954242E-04
  1.4330001E+00    9.4448531E-04
  1.4335001E+00    1.0494280E-03
  1.4340000E+00    1.0494280E-03
  1.4345001E+00    1.1543708E-03
  1.4350001E+00    1.1543708E-03
  1.4355000E+00    1.2593137E-03
  1.4360001E+00    1.3642564E-03
  1.4365001E+00    1.3642564E-03
  1.4370000E+00    1.4691993E-03
  1.4375001E+00    1.4691993E-03
  1.4380001E+00    1.5741421E-03
  1.4385000E+00    1.6790848E-03
  1.4390000E+00    1.7840277E-03
  1.4395001E+00    1.8889706E-03
  1.4400001E+00    1.9939132E-03
  1.4405000E+00    2.0988560E-03
  1.4410001E+00    2.2037989E-03
  1.4415001E+00    2.3087417E-03
  1.4420000E+00    2.4136845E-03
  1.4425001E+00    2.6235702E-03
  1.4430001E+00    2.7285127E-03
  1.4435000E+00    3.0433412E-03
  1.4440001E+00    3.0433412E-03
  1.4445001E+00    3.2532271E-03
  1.4450001E+00    3.5680553E-03
  1.4455000E+00    3.7779412E-03
  1.4460001E+00    3.9878264E-03
  1.4465001E+00    4.3026549E-03
  1.4470000E+00    4.5125405E-03
  1.4475001E+00    4.8273690E-03
  1.4480001E+00    5.2471403E-03
  1.4485000E+00    5.6669116E-03
  1.4490001E+00    6.0866824E-03
  1.4495001E+00    6.6113966E-03
  1.4500000E+00    7.1361107E-03
  1.4505000E+00    7.7657676E-03
  1.4510001E+00    8.2904818E-03
  1.4515001E+00    9.0250811E-03
  1.4520000E+00    9.8646237E-03
  1.4525001E+00    1.0809109E-02
  1.4530001E+00    1.1753595E-02
  1.4535000E+00    1.2803023E-02
  1.4540001E+00    1.4062337E-02
  1.4545001E+00    1.5426593E-02
  1.4550000E+00    1.7210620E-02
  1.4555001E+00    1.8784761E-02
  1.4560001E+00    2.0883618E-02
  1.4565001E+00    2.2877533E-02
  1.4570000E+00    2.5186274E-02
  1.4575001E+00    2.7914787E-02
  1.4580001E+00    3.1168014E-02
  1.4585000E+00    3.4945954E-02
  1.4590001E+00    3.8618952E-02
  1.4595001E+00    4.2711724E-02
  1.4600000E+00    4.7224261E-02
  1.4605001E+00    5.2576348E-02
  1.4610001E+00    5.9187740E-02
  1.4615000E+00    6.5904081E-02
  1.4620000E+00    7.3040195E-02
  1.4625001E+00    8.0281250E-02
  1.4630001E+00    8.8781610E-02
  1.4635000E+00    9.8331407E-02
  1.4640001E+00    1.0903558E-01
  1.4645001E+00    1.2183859E-01
  1.4650000E+00    1.3380207E-01
  1.4655001E+00    1.4681499E-01
  1.4660001E+00    1.5982789E-01
  1.4665000E+00    1.7493966E-01
  1.4670001E+00    1.9246511E-01
  1.4675001E+00    2.1009549E-01
  1.4680001E+00    2.2971979E-01
  1.4685000E+00    2.4850456E-01
  1.4690001E+00    2.6823381E-01
  1.4695001E+00    2.8922236E-01
  1.4700000E+00    3.1293944E-01
  1.4705001E+00    3.4011963E-01
  1.4710001E+00    3.6520097E-01
  1.4715000E+00    3.9280093E-01
  1.4720001E+00    4.2008603E-01
  1.4725001E+00    4.4873542E-01
  1.4730000E+00    4.7958863E-01
  1.4735000E+00    5.1338017E-01
  1.4740001E+00    5.4916573E-01
