# wave[microns]    norm_trans
  1.9850001E+00    1.0736525E-04
  1.9852000E+00    1.0736525E-04
  1.9854001E+00    1.0736525E-04
  1.9856001E+00    1.0736525E-04
  1.9858001E+00    1.0736525E-04
  1.9860001E+00    1.0736525E-04
  1.9862001E+00    1.0736525E-04
  1.9864001E+00    2.1473051E-04
  1.9866000E+00    1.0736525E-04
  1.9868002E+00    1.0736525E-04
  1.9870001E+00    1.0736525E-04
  1.9872000E+00    1.0736525E-04
  1.9874002E+00    1.0736525E-04
  1.9876001E+00    2.1473051E-04
  1.9878001E+00    2.1473051E-04
  1.9880000E+00    2.1473051E-04
  1.9882001E+00    1.0736525E-04
  1.9884001E+00    2.1473051E-04
  1.9886000E+00    1.0736525E-04
  1.9888002E+00    2.1473051E-04
  1.9890001E+00    2.1473051E-04
  1.9892000E+00    2.1473051E-04
  1.9894001E+00    1.0736525E-04
  1.9896001E+00    2.1473051E-04
  1.9898001E+00    2.1473051E-04
  1.9900001E+00    2.1473051E-04
  1.9902000E+00    2.1473051E-04
  1.9904001E+00    2.1473051E-04
  1.9906001E+00    2.1473051E-04
  1.9908001E+00    2.1473051E-04
  1.9910001E+00    2.1473051E-04
  1.9912001E+00    2.1473051E-04
  1.9914001E+00    2.1473051E-04
  1.9916000E+00    2.1473051E-04
  1.9918002E+00    2.1473051E-04
  1.9920001E+00    2.1473051E-04
  1.9922000E+00    3.2209576E-04
  1.9924002E+00    2.1473051E-04
  1.9926001E+00    3.2209576E-04
  1.9928001E+00    3.2209576E-04
  1.9930001E+00    2.1473051E-04
  1.9932001E+00    3.2209576E-04
  1.9934001E+00    3.2209576E-04
  1.9936000E+00    3.2209576E-04
  1.9938002E+00    3.2209576E-04
  1.9940001E+00    3.2209576E-04
  1.9942000E+00    3.2209576E-04
  1.9944001E+00    4.2946101E-04
  1.9946001E+00    3.2209576E-04
  1.9948001E+00    3.2209576E-04
  1.9950001E+00    4.2946101E-04
  1.9952000E+00    3.2209576E-04
  1.9954001E+00    3.2209576E-04
  1.9956001E+00    4.2946101E-04
  1.9958001E+00    4.2946101E-04
  1.9960001E+00    4.2946101E-04
  1.9962001E+00    4.2946101E-04
  1.9964001E+00    4.2946101E-04
  1.9966000E+00    4.2946101E-04
  1.9968002E+00    4.2946101E-04
  1.9970001E+00    4.2946101E-04
  1.9972000E+00    5.3682632E-04
  1.9974002E+00    5.3682632E-04
  1.9976001E+00    4.2946101E-04
  1.9978001E+00    5.3682632E-04
  1.9980001E+00    4.2946101E-04
  1.9982001E+00    5.3682632E-04
  1.9984001E+00    5.3682632E-04
  1.9986001E+00    5.3682632E-04
  1.9988002E+00    6.4419152E-04
  1.9990001E+00    5.3682632E-04
  1.9992001E+00    6.4419152E-04
  1.9994001E+00    6.4419152E-04
  1.9996001E+00    6.4419152E-04
  1.9998001E+00    6.4419152E-04
  2.0000000E+00    7.5155683E-04
  2.0002000E+00    7.5155683E-04
  2.0004001E+00    7.5155683E-04
  2.0006001E+00    7.5155683E-04
  2.0008001E+00    8.5892202E-04
  2.0010002E+00    7.5155683E-04
  2.0012000E+00    7.5155683E-04
  2.0014002E+00    8.5892202E-04
  2.0016000E+00    8.5892202E-04
  2.0018001E+00    8.5892202E-04
  2.0020001E+00    9.6628733E-04
  2.0022001E+00    8.5892202E-04
  2.0024002E+00    9.6628733E-04
  2.0026000E+00    9.6628733E-04
  2.0028002E+00    9.6628733E-04
  2.0030000E+00    1.0736526E-03
  2.0032001E+00    1.0736526E-03
  2.0034001E+00    1.0736526E-03
  2.0036001E+00    1.1810178E-03
  2.0038002E+00    1.1810178E-03
  2.0040002E+00    1.1810178E-03
  2.0042000E+00    1.1810178E-03
  2.0044000E+00    1.2883830E-03
  2.0046000E+00    1.2883830E-03
  2.0048001E+00    1.3957483E-03
  2.0050001E+00    1.2883830E-03
  2.0052001E+00    1.3957483E-03
  2.0054002E+00    1.3957483E-03
  2.0056000E+00    1.5031137E-03
  2.0058002E+00    1.6104790E-03
  2.0060000E+00    1.6104790E-03
  2.0062001E+00    1.6104790E-03
  2.0064001E+00    1.6104790E-03
  2.0066001E+00    1.7178440E-03
  2.0068002E+00    1.7178440E-03
  2.0070002E+00    1.8252094E-03
  2.0072000E+00    1.8252094E-03
  2.0074000E+00    1.9325747E-03
  2.0076001E+00    2.0399399E-03
  2.0078001E+00    2.1473053E-03
  2.0080001E+00    2.1473053E-03
  2.0081999E+00    2.1473053E-03
  2.0084002E+00    2.2546703E-03
  2.0086000E+00    2.2546703E-03
  2.0088000E+00    2.4694009E-03
  2.0090001E+00    2.4694009E-03
  2.0092001E+00    2.5767661E-03
  2.0094001E+00    2.5767661E-03
  2.0096002E+00    2.6841315E-03
  2.0098002E+00    2.7914967E-03
  2.0100000E+00    2.8988621E-03
  2.0102000E+00    3.0062273E-03
  2.0104001E+00    3.1135923E-03
  2.0106001E+00    3.2209579E-03
  2.0108001E+00    3.3283229E-03
  2.0110002E+00    3.4356881E-03
  2.0112000E+00    3.5430535E-03
  2.0114002E+00    3.6504187E-03
  2.0116000E+00    3.7577839E-03
  2.0118001E+00    3.7577839E-03
  2.0120001E+00    3.9725145E-03
  2.0122001E+00    4.0798797E-03
  2.0124002E+00    4.2946106E-03
  2.0126002E+00    4.4019753E-03
  2.0128002E+00    4.6167062E-03
  2.0130000E+00    4.7240714E-03
  2.0132000E+00    4.9388018E-03
  2.0134001E+00    5.1535321E-03
  2.0136001E+00    5.3682630E-03
  2.0138001E+00    5.4756282E-03
  2.0140002E+00    5.5829934E-03
  2.0142000E+00    5.7977242E-03
  2.0144000E+00    6.0124546E-03
  2.0146000E+00    6.2271846E-03
  2.0148001E+00    6.4419159E-03
  2.0150001E+00    6.7640110E-03
  2.0152001E+00    6.9787414E-03
  2.0154002E+00    7.3008374E-03
  2.0156000E+00    7.5155678E-03
  2.0158002E+00    7.8376643E-03
  2.0160000E+00    8.0523947E-03
  2.0162001E+00    8.3744898E-03
  2.0164001E+00    8.6965859E-03
  2.0166001E+00    9.0186810E-03
  2.0168002E+00    9.4481427E-03
  2.0170002E+00    9.7702388E-03
  2.0172000E+00    1.0092334E-02
  2.0174000E+00    1.0521796E-02
  2.0176001E+00    1.0843891E-02
  2.0178001E+00    1.1273351E-02
  2.0180001E+00    1.1702813E-02
  2.0182002E+00    1.2132274E-02
  2.0184002E+00    1.2669099E-02
  2.0186000E+00    1.3205927E-02
  2.0188003E+00    1.3742752E-02
  2.0190001E+00    1.4172214E-02
  2.0192001E+00    1.4816405E-02
  2.0194001E+00    1.5460597E-02
  2.0196002E+00    1.5997423E-02
  2.0198002E+00    1.6748980E-02
  2.0200000E+00    1.7285807E-02
  2.0202000E+00    1.8144729E-02
  2.0204000E+00    1.8896285E-02
  2.0206001E+00    1.9647842E-02
  2.0208001E+00    2.0399399E-02
  2.0210001E+00    2.1365685E-02
  2.0211999E+00    2.2117242E-02
  2.0214002E+00    2.3190897E-02
  2.0216000E+00    2.4049819E-02
  2.0218000E+00    2.5123470E-02
  2.0220001E+00    2.6197124E-02
  2.0222001E+00    2.7270775E-02
  2.0224001E+00    2.8451795E-02
  2.0226002E+00    2.9632811E-02
  2.0228002E+00    3.0921195E-02
  2.0230000E+00    3.2316942E-02
  2.0232000E+00    3.3820055E-02
  2.0234001E+00    3.5108440E-02
  2.0236001E+00    3.6933649E-02
  2.0238001E+00    3.8436763E-02
  2.0240002E+00    4.0261973E-02
  2.0242000E+00    4.1979816E-02
  2.0244002E+00    4.3912392E-02
  2.0246000E+00    4.5737602E-02
  2.0248001E+00    4.7777537E-02
  2.0250001E+00    5.0032210E-02
  2.0252001E+00    5.2286878E-02
  2.0254002E+00    5.4756280E-02
  2.0256000E+00    5.7225682E-02
  2.0258002E+00    5.9909813E-02
  2.0260000E+00    6.2593944E-02
  2.0262001E+00    6.5492809E-02
  2.0264001E+00    6.8391666E-02
  2.0266001E+00    7.1505263E-02
  2.0268002E+00    7.4726216E-02
  2.0270002E+00    7.8483999E-02
  2.0272000E+00    8.2027055E-02
  2.0274000E+00    8.5784838E-02
