# wave[microns]    norm_trans
  9.0000004E-01    1.0780508E-04
  9.0050006E-01    2.1561017E-04
  9.0100002E-01    2.1561017E-04
  9.0150005E-01    1.0780508E-04
  9.0200007E-01    2.1561017E-04
  9.0250003E-01    1.0780508E-04
  9.0300006E-01    1.0780508E-04
  9.0350002E-01    1.0780508E-04
  9.0400004E-01    1.0780508E-04
  9.0450007E-01    2.1561017E-04
  9.0500003E-01    1.0780508E-04
  9.0550005E-01    1.0780508E-04
  9.0600002E-01    1.0780508E-04
  9.0650004E-01    1.0780508E-04
  9.0700006E-01    1.0780508E-04
  9.0750003E-01    1.0780508E-04
  9.0800005E-01    1.0780508E-04
  9.0850002E-01    1.0780508E-04
  9.0900004E-01    1.0780508E-04
  9.0950006E-01    1.0780508E-04
  9.1000003E-01    1.0780508E-04
  9.1050005E-01    2.1561017E-04
  9.1100007E-01    2.1561017E-04
  9.1150004E-01    1.0780508E-04
  9.1200006E-01    2.1561017E-04
  9.1250002E-01    1.0780508E-04
  9.1300005E-01    2.1561017E-04
  9.1350007E-01    1.0780508E-04
  9.1400003E-01    2.1561017E-04
  9.1450006E-01    1.0780508E-04
  9.1500002E-01    2.1561017E-04
  9.1550004E-01    1.0780508E-04
  9.1600007E-01    1.0780508E-04
  9.1650003E-01    2.1561017E-04
  9.1700006E-01    2.1561017E-04
  9.1750002E-01    1.0780508E-04
  9.1800004E-01    1.0780508E-04
  9.1850007E-01    1.0780508E-04
  9.1900003E-01    2.1561017E-04
  9.1950005E-01    1.0780508E-04
  9.2000002E-01    1.0780508E-04
  9.2050004E-01    2.1561017E-04
  9.2100006E-01    2.1561017E-04
  9.2150003E-01    1.0780508E-04
  9.2200005E-01    1.0780508E-04
  9.2250001E-01    1.0780508E-04
  9.2300004E-01    2.1561017E-04
  9.2350006E-01    1.0780508E-04
  9.2400002E-01    1.0780508E-04
  9.2450005E-01    1.0780508E-04
  9.2500007E-01    2.1561017E-04
  9.2550004E-01    1.0780508E-04
  9.2600006E-01    1.0780508E-04
  9.2650002E-01    1.0780508E-04
  9.2700005E-01    2.1561017E-04
  9.2750007E-01    1.0780508E-04
  9.2800003E-01    1.0780508E-04
  9.2850006E-01    2.1561017E-04
  9.2900002E-01    1.0780508E-04
  9.2950004E-01    2.1561017E-04
  9.3000007E-01    2.1561017E-04
  9.3050003E-01    2.1561017E-04
  9.3100005E-01    1.0780508E-04
  9.3150002E-01    2.1561017E-04
  9.3200004E-01    2.1561017E-04
  9.3250006E-01    1.0780508E-04
  9.3300003E-01    2.1561017E-04
  9.3350005E-01    1.0780508E-04
  9.3400002E-01    2.1561017E-04
  9.3450004E-01    2.1561017E-04
  9.3500006E-01    2.1561017E-04
  9.3550003E-01    2.1561017E-04
  9.3600005E-01    2.1561017E-04
  9.3650007E-01    2.1561017E-04
  9.3700004E-01    2.1561017E-04
  9.3750006E-01    2.1561017E-04
  9.3800002E-01    2.1561017E-04
  9.3850005E-01    3.2341524E-04
  9.3900007E-01    3.2341524E-04
  9.3950003E-01    2.1561017E-04
  9.4000006E-01    2.1561017E-04
  9.4050002E-01    3.2341524E-04
  9.4100004E-01    2.1561017E-04
  9.4150007E-01    3.2341524E-04
  9.4200003E-01    3.2341524E-04
  9.4250005E-01    3.2341524E-04
  9.4300002E-01    3.2341524E-04
  9.4350004E-01    4.3122034E-04
  9.4400007E-01    3.2341524E-04
  9.4450003E-01    3.2341524E-04
  9.4500005E-01    3.2341524E-04
  9.4550002E-01    4.3122034E-04
  9.4600004E-01    4.3122034E-04
  9.4650006E-01    4.3122034E-04
  9.4700003E-01    5.3902547E-04
  9.4750005E-01    5.3902547E-04
  9.4800007E-01    5.3902547E-04
  9.4850004E-01    6.4683048E-04
  9.4900006E-01    7.5463561E-04
  9.4950002E-01    7.5463561E-04
  9.5000005E-01    8.6244068E-04
  9.5050007E-01    8.6244068E-04
  9.5100003E-01    1.0780509E-03
  9.5150006E-01    1.1858559E-03
  9.5200002E-01    1.2936610E-03
  9.5250005E-01    1.4014661E-03
  9.5300007E-01    1.6170763E-03
  9.5350003E-01    1.7248814E-03
  9.5400006E-01    1.8326865E-03
  9.5450002E-01    2.0482966E-03
  9.5500004E-01    2.2639066E-03
  9.5550007E-01    2.4795171E-03
  9.5600003E-01    2.6951272E-03
  9.5650005E-01    2.9107374E-03
  9.5700002E-01    3.0185424E-03
  9.5750004E-01    3.3419577E-03
  9.5800006E-01    3.5575680E-03
  9.5850003E-01    3.8809832E-03
  9.5900005E-01    4.2043980E-03
  9.5950007E-01    4.5278133E-03
  9.6000004E-01    4.8512286E-03
  9.6050006E-01    5.2824495E-03
  9.6100003E-01    5.8214748E-03
  9.6150005E-01    6.3604997E-03
  9.6200007E-01    7.0073302E-03
  9.6250004E-01    7.7619664E-03
  9.6300006E-01    8.6244075E-03
  9.6350002E-01    9.5946528E-03
  9.6400005E-01    1.0672703E-02
  9.6450007E-01    1.1966364E-02
  9.6500003E-01    1.3691246E-02
  9.6550006E-01    1.5739543E-02
  9.6600002E-01    1.7895645E-02
  9.6650004E-01    2.0590771E-02
  9.6700007E-01    2.3717120E-02
  9.6750003E-01    2.7274687E-02
  9.6800005E-01    3.1910308E-02
  9.6850002E-01    3.7731782E-02
  9.6900004E-01    4.3768864E-02
  9.6950006E-01    5.1207416E-02
  9.7000003E-01    5.9508406E-02
  9.7050005E-01    6.9318667E-02
  9.7100008E-01    8.1392840E-02
  9.7150004E-01    9.4760671E-02
  9.7200006E-01    1.1006899E-01
  9.7250003E-01    1.2570073E-01
  9.7300005E-01    1.4262612E-01
  9.7350007E-01    1.6127641E-01
  9.7400004E-01    1.8100475E-01
