# wave[microns]    norm_trans
  2.9999998E-01    0.0000000E+00
  3.0019999E-01    0.0000000E+00
  3.0039999E-01    0.0000000E+00
  3.0059999E-01    0.0000000E+00
  3.0080000E-01    0.0000000E+00
  3.0100000E-01    0.0000000E+00
  3.0120000E-01    0.0000000E+00
  3.0140001E-01    0.0000000E+00
  3.0159998E-01    0.0000000E+00
  3.0179998E-01    0.0000000E+00
  3.0199999E-01    0.0000000E+00
  3.0219999E-01    0.0000000E+00
  3.0239999E-01    0.0000000E+00
  3.0260000E-01    0.0000000E+00
  3.0280000E-01    0.0000000E+00
  3.0300000E-01    0.0000000E+00
  3.0320001E-01    0.0000000E+00
  3.0339998E-01    0.0000000E+00
  3.0359998E-01    0.0000000E+00
  3.0379999E-01    0.0000000E+00
  3.0399999E-01    0.0000000E+00
  3.0419999E-01    0.0000000E+00
  3.0440000E-01    0.0000000E+00
  3.0460000E-01    0.0000000E+00
  3.0480000E-01    0.0000000E+00
  3.0500001E-01    0.0000000E+00
  3.0519998E-01    0.0000000E+00
  3.0539998E-01    0.0000000E+00
  3.0559999E-01    0.0000000E+00
  3.0579999E-01    0.0000000E+00
  3.0599999E-01    0.0000000E+00
  3.0620000E-01    0.0000000E+00
  3.0640000E-01    0.0000000E+00
  3.0660000E-01    0.0000000E+00
  3.0679998E-01    0.0000000E+00
  3.0699998E-01    0.0000000E+00
  3.0719998E-01    0.0000000E+00
  3.0739999E-01    0.0000000E+00
  3.0759999E-01    0.0000000E+00
  3.0779999E-01    0.0000000E+00
  3.0800000E-01    0.0000000E+00
  3.0820000E-01    0.0000000E+00
  3.0840001E-01    0.0000000E+00
  3.0859998E-01    0.0000000E+00
  3.0879998E-01    0.0000000E+00
  3.0899999E-01    0.0000000E+00
  3.0919999E-01    0.0000000E+00
  3.0939999E-01    0.0000000E+00
  3.0960000E-01    0.0000000E+00
  3.0980000E-01    0.0000000E+00
  3.1000000E-01    0.0000000E+00
  3.1020001E-01    0.0000000E+00
  3.1039998E-01    0.0000000E+00
  3.1059998E-01    0.0000000E+00
  3.1079999E-01    0.0000000E+00
  3.1099999E-01    0.0000000E+00
  3.1119999E-01    0.0000000E+00
  3.1140000E-01    0.0000000E+00
  3.1160000E-01    0.0000000E+00
  3.1180000E-01    0.0000000E+00
  3.1200001E-01    0.0000000E+00
  3.1219998E-01    0.0000000E+00
  3.1239998E-01    0.0000000E+00
  3.1259999E-01    0.0000000E+00
  3.1279999E-01    0.0000000E+00
  3.1299999E-01    0.0000000E+00
  3.1320000E-01    0.0000000E+00
  3.1340000E-01    0.0000000E+00
  3.1360000E-01    0.0000000E+00
  3.1379998E-01    0.0000000E+00
  3.1399998E-01    0.0000000E+00
  3.1419998E-01    0.0000000E+00
  3.1439999E-01    0.0000000E+00
  3.1459999E-01    0.0000000E+00
  3.1479999E-01    0.0000000E+00
  3.1500000E-01    0.0000000E+00
  3.1520000E-01    0.0000000E+00
  3.1540000E-01    0.0000000E+00
  3.1559998E-01    0.0000000E+00
  3.1579998E-01    0.0000000E+00
  3.1599998E-01    0.0000000E+00
  3.1619999E-01    0.0000000E+00
  3.1639999E-01    0.0000000E+00
  3.1659999E-01    0.0000000E+00
  3.1680000E-01    0.0000000E+00
  3.1700000E-01    0.0000000E+00
  3.1720001E-01    0.0000000E+00
  3.1739998E-01    6.5308253E-05
  3.1759998E-01    6.5308253E-05
  3.1779999E-01    6.5308253E-05
  3.1799999E-01    0.0000000E+00
  3.1819999E-01    6.5308253E-05
  3.1840000E-01    6.5308253E-05
  3.1860000E-01    6.5308253E-05
  3.1880000E-01    6.5308253E-05
  3.1900001E-01    0.0000000E+00
  3.1919998E-01    6.5308253E-05
  3.1939998E-01    1.3061651E-04
  3.1959999E-01    1.3061651E-04
  3.1979999E-01    1.3061651E-04
  3.1999999E-01    1.3061651E-04
  3.2020000E-01    1.3061651E-04
  3.2040000E-01    1.3061651E-04
  3.2060000E-01    1.9592476E-04
  3.2080001E-01    1.9592476E-04
  3.2099998E-01    1.9592476E-04
  3.2119998E-01    2.6123301E-04
  3.2139999E-01    2.6123301E-04
  3.2159999E-01    3.2654128E-04
  3.2179999E-01    4.5715779E-04
  3.2200000E-01    3.9184952E-04
  3.2220000E-01    5.2246603E-04
  3.2240000E-01    5.8777432E-04
  3.2259998E-01    6.5308256E-04
  3.2279998E-01    7.1839080E-04
  3.2299998E-01    8.4900734E-04
  3.2319999E-01    9.7962387E-04
  3.2339999E-01    1.1755486E-03
  3.2359999E-01    1.3061651E-03
  3.2380000E-01    1.5673981E-03
  3.2400000E-01    1.7633230E-03
  3.2420000E-01    2.1551726E-03
  3.2439998E-01    2.4817137E-03
  3.2459998E-01    2.9388715E-03
  3.2479998E-01    3.4613374E-03
  3.2499999E-01    4.1144202E-03
  3.2519999E-01    4.8981193E-03
  3.2539999E-01    5.8777430E-03
  3.2560000E-01    6.9879838E-03
  3.2580000E-01    8.4247645E-03
  3.2600001E-01    9.9921627E-03
  3.2619998E-01    1.2016719E-02
  3.2639998E-01    1.4694358E-02
  3.2659999E-01    1.7959770E-02
  3.2679999E-01    2.1812957E-02
  3.2699999E-01    2.6776385E-02
  3.2720000E-01    3.2980669E-02
  3.2740000E-01    4.0295195E-02
  3.2760000E-01    4.9373042E-02
  3.2780001E-01    6.0214214E-02
  3.2799998E-01    7.3014632E-02
  3.2819998E-01    8.8427380E-02
  3.2839999E-01    1.0553814E-01
  3.2859999E-01    1.2539186E-01
  3.2879999E-01    1.4779258E-01
  3.2900000E-01    1.7195664E-01
  3.2920000E-01    1.9749217E-01
  3.2940000E-01    2.2459508E-01
  3.2960001E-01    2.5163272E-01
  3.2979998E-01    2.7853972E-01
  3.2999998E-01    3.0525079E-01
  3.3019999E-01    3.3072102E-01
  3.3039999E-01    3.5501570E-01
  3.3059999E-01    3.7904912E-01
  3.3080000E-01    4.0197232E-01
  3.3100000E-01    4.2306688E-01
  3.3120000E-01    4.4474921E-01
  3.3139998E-01    4.6793368E-01
  3.3159998E-01    4.9262017E-01
  3.3179998E-01    5.1874352E-01
  3.3199999E-01    5.4623824E-01
  3.3219999E-01    5.7614946E-01
  3.3239999E-01    6.0769337E-01
  3.3260000E-01    6.3949841E-01
  3.3280000E-01    6.7215258E-01
