# wave[microns]    norm_trans
  9.4000000E-01    1.6549678E-03
  9.4009995E-01    1.5408321E-03
  9.4019997E-01    1.3696285E-03
  9.4030094E-01    1.4837642E-03
  9.4040096E-01    1.1984250E-03
  9.4050097E-01    1.1984250E-03
  9.4060093E-01    9.1308565E-04
  9.4070095E-01    1.7691036E-03
  9.4080096E-01    1.8832393E-03
  9.4090194E-01    1.9973749E-03
  9.4100195E-01    1.8832393E-03
  9.4110191E-01    1.5978999E-03
  9.4120193E-01    1.7120357E-03
  9.4130194E-01    1.6549678E-03
  9.4140196E-01    1.2554928E-03
  9.4150299E-01    1.0842893E-03
  9.4160300E-01    1.3125606E-03
  9.4170302E-01    2.2827142E-03
  9.4180298E-01    1.8261713E-03
  9.4190300E-01    1.9973749E-03
  9.4200301E-01    2.0544429E-03
  9.4210398E-01    1.9403071E-03
  9.4220400E-01    2.1115106E-03
  9.4230396E-01    1.5978999E-03
  9.4240397E-01    1.6549678E-03
  9.4250399E-01    2.2827142E-03
  9.4260401E-01    2.4539179E-03
  9.4270498E-01    2.5109856E-03
  9.4280493E-01    2.5109856E-03
  9.4290495E-01    2.4539179E-03
  9.4300497E-01    2.3397820E-03
  9.4310498E-01    2.1685786E-03
  9.4320494E-01    2.1685786E-03
  9.4330591E-01    1.9973749E-03
  9.4340593E-01    2.2827142E-03
  9.4350594E-01    2.8533929E-03
  9.4360596E-01    2.9104606E-03
  9.4370592E-01    2.6821892E-03
  9.4380593E-01    2.7392569E-03
  9.4390702E-01    2.6251213E-03
  9.4400698E-01    2.5109856E-03
  9.4410700E-01    3.1957999E-03
  9.4420701E-01    3.1957999E-03
  9.4430703E-01    3.3670033E-03
  9.4440699E-01    3.2528676E-03
  9.4450796E-01    3.3099356E-03
  9.4460797E-01    3.0245963E-03
  9.4470799E-01    2.9104606E-03
  9.4480801E-01    2.9104606E-03
  9.4490796E-01    3.7664785E-03
  9.4500798E-01    3.8235465E-03
  9.4510895E-01    4.0518176E-03
  9.4520897E-01    3.7664785E-03
  9.4530898E-01    3.8806142E-03
  9.4540894E-01    3.5382072E-03
  9.4550896E-01    3.5382072E-03
  9.4560897E-01    3.7094106E-03
  9.4570994E-01    4.5654285E-03
  9.4580996E-01    4.5083608E-03
  9.4590992E-01    4.5083608E-03
  9.4600993E-01    4.5083608E-03
  9.4610995E-01    4.6795639E-03
  9.4620991E-01    4.5083608E-03
  9.4631100E-01    4.4512926E-03
  9.4641101E-01    4.3371571E-03
  9.4651103E-01    5.4785139E-03
  9.4661099E-01    5.4214462E-03
  9.4671100E-01    5.3073107E-03
  9.4681102E-01    5.4785139E-03
  9.4691199E-01    5.5355821E-03
  9.4701201E-01    5.6497175E-03
  9.4711196E-01    5.8209212E-03
  9.4721198E-01    5.4785139E-03
  9.4731200E-01    5.8779889E-03
  9.4741201E-01    6.6198711E-03
  9.4751298E-01    6.7910752E-03
  9.4761294E-01    7.0193461E-03
  9.4771296E-01    7.0193461E-03
  9.4781297E-01    7.3046852E-03
  9.4791299E-01    7.3046852E-03
  9.4801295E-01    7.2476175E-03
  9.4811392E-01    7.1905497E-03
  9.4821393E-01    7.3617529E-03
  9.4831395E-01    7.0764143E-03
  9.4841397E-01    7.6470929E-03
  9.4851393E-01    8.5601779E-03
  9.4861394E-01    8.5601779E-03
  9.4871503E-01    8.7884497E-03
  9.4881499E-01    9.0737892E-03
  9.4891500E-01    9.3591278E-03
  9.4901502E-01    9.4732633E-03
  9.4911504E-01    9.2449924E-03
  9.4921499E-01    9.7015360E-03
  9.4931597E-01    1.0557554E-02
  9.4941598E-01    1.0614621E-02
  9.4951600E-01    1.1014096E-02
  9.4961601E-01    1.1356503E-02
  9.4971597E-01    1.1584775E-02
  9.4981599E-01    1.1870113E-02
  9.4991696E-01    1.1584775E-02
  9.5001698E-01    1.1927181E-02
  9.5011699E-01    1.1984249E-02
  9.5021695E-01    1.2440793E-02
  9.5031697E-01    1.3582150E-02
  9.5041698E-01    1.3981625E-02
  9.5051795E-01    1.4495235E-02
  9.5061797E-01    1.4381099E-02
  9.5071793E-01    1.5122982E-02
  9.5081794E-01    1.5237118E-02
  9.5091796E-01    1.5522457E-02
  9.5101792E-01    1.5807796E-02
  9.5111901E-01    1.6949153E-02
  9.5121902E-01    1.7462764E-02
  9.5131904E-01    1.8204646E-02
  9.5141900E-01    1.8432917E-02
  9.5151901E-01    1.8832391E-02
  9.5161903E-01    1.9403072E-02
  9.5172000E-01    2.0030817E-02
  9.5182002E-01    1.9973749E-02
