# wave[microns]    norm_trans
  6.7100000E-01    0.0000000E+00
  6.7150003E-01    5.4229158E-06
  6.7200005E-01    1.4635130E-05
  6.7250001E-01    1.2456671E-05
  6.7300004E-01    3.9525748E-05
  6.7350006E-01    1.9505653E-05
  6.7400002E-01    4.2445183E-05
  6.7450005E-01    3.4337489E-05
  6.7500001E-01    5.6070126E-05
  6.7550004E-01    5.9025668E-05
  6.7600006E-01    7.7938465E-05
  6.7650002E-01    9.1549853E-05
  6.7700005E-01    1.0409611E-04
  6.7750001E-01    1.2596913E-04
  6.7800003E-01    1.6186658E-04
  6.7850006E-01    1.7452483E-04
  6.7900002E-01    2.1038207E-04
  6.7950004E-01    2.3621516E-04
  6.8000001E-01    2.8638414E-04
  6.8050003E-01    3.6207764E-04
  6.8100005E-01    4.2855152E-04
  6.8150002E-01    5.2342506E-04
  6.8200004E-01    6.0976669E-04
  6.8250000E-01    7.3108386E-04
  6.8300003E-01    8.5606996E-04
  6.8350005E-01    1.0347689E-03
  6.8400002E-01    1.2420373E-03
  6.8450004E-01    1.4849845E-03
  6.8500006E-01    1.7272374E-03
  6.8550003E-01    2.0552881E-03
  6.8600005E-01    2.4122051E-03
  6.8650001E-01    2.8424382E-03
  6.8700004E-01    3.3336042E-03
  6.8750006E-01    3.9141583E-03
  6.8800002E-01    4.5913453E-03
  6.8850005E-01    5.3455266E-03
  6.8900001E-01    6.2346817E-03
  6.8950003E-01    7.2646295E-03
  6.9000006E-01    8.4215971E-03
  6.9050002E-01    9.7463597E-03
  6.9100004E-01    1.1258872E-02
  6.9150001E-01    1.2987362E-02
  6.9200003E-01    1.4952904E-02
  6.9250005E-01    1.7127044E-02
  6.9300002E-01    1.9636374E-02
  6.9350004E-01    2.2471715E-02
  6.9400001E-01    2.5517501E-02
  6.9450003E-01    2.9023802E-02
  6.9500005E-01    3.2826535E-02
  6.9550002E-01    3.7041578E-02
  6.9600004E-01    4.1780856E-02
  6.9650000E-01    4.6873432E-02
  6.9700003E-01    5.2519444E-02
  6.9750005E-01    5.8731340E-02
  6.9800001E-01    6.5431707E-02
  6.9850004E-01    7.2715141E-02
  6.9900006E-01    8.0361873E-02
  6.9950002E-01    8.8706024E-02
  7.0000005E-01    9.7598590E-02
  7.0050001E-01    1.0681819E-01
  7.0100003E-01    1.1687550E-01
  7.0150006E-01    1.2767889E-01
  7.0200002E-01    1.3896151E-01
  7.0250005E-01    1.5090285E-01
  7.0300001E-01    1.6350693E-01
  7.0350003E-01    1.7651953E-01
  7.0400006E-01    1.9025485E-01
  7.0450002E-01    2.0406137E-01
  7.0500004E-01    2.1866891E-01
  7.0550001E-01    2.3411384E-01
  7.0600003E-01    2.4954136E-01
  7.0650005E-01    2.6563850E-01
  7.0700002E-01    2.8200632E-01
  7.0750004E-01    2.9874349E-01
  7.0800000E-01    3.1546912E-01
