# wave[microns]    norm_trans
  5.4750001E-01    0.0000000E+00
  5.4800004E-01    0.0000000E+00
  5.4850000E-01    1.6080468E-05
  5.4900002E-01    3.0045525E-05
  5.4950005E-01    2.7054615E-05
  5.5000001E-01    2.9042234E-05
  5.5050004E-01    5.4937060E-05
  5.5100000E-01    8.7780048E-05
  5.5150002E-01    1.2059405E-04
  5.5200005E-01    1.6432400E-04
  5.5250001E-01    2.5069853E-04
  5.5300003E-01    3.9466398E-04
  5.5350000E-01    5.7845592E-04
  5.5400002E-01    8.3021086E-04
  5.5450004E-01    1.1687799E-03
  5.5500001E-01    1.6518710E-03
  5.5550003E-01    2.3230726E-03
  5.5600005E-01    3.1790028E-03
  5.5650002E-01    4.3413257E-03
  5.5700004E-01    5.8315089E-03
  5.5750000E-01    7.7448152E-03
  5.5800003E-01    1.0173333E-02
  5.5850005E-01    1.3154467E-02
  5.5900002E-01    1.6941920E-02
  5.5950004E-01    2.1529581E-02
  5.6000000E-01    2.6953211E-02
  5.6050003E-01    3.3429340E-02
  5.6100005E-01    4.0994320E-02
  5.6150001E-01    4.9729612E-02
  5.6200004E-01    5.9836596E-02
  5.6250000E-01    7.1285337E-02
  5.6300002E-01    8.4262125E-02
  5.6350005E-01    9.8515429E-02
  5.6400001E-01    1.1400708E-01
  5.6450003E-01    1.3078918E-01
  5.6500000E-01    1.4922784E-01
  5.6550002E-01    1.6860466E-01
  5.6600004E-01    1.8969744E-01
  5.6650001E-01    2.1157774E-01
  5.6700003E-01    2.3390216E-01
  5.6750005E-01    2.5723594E-01
  5.6800002E-01    2.8105712E-01
  5.6850004E-01    3.0633426E-01
  5.6900001E-01    3.3229649E-01
  5.6950003E-01    3.5649896E-01
  5.7000005E-01    3.8188431E-01
  5.7050002E-01    4.0708280E-01
  5.7100004E-01    4.3262079E-01
  5.7150000E-01    4.5746377E-01
  5.7200003E-01    4.8238930E-01
  5.7250005E-01    5.0691271E-01
  5.7300001E-01    5.3086889E-01
  5.7350004E-01    5.5426383E-01
  5.7400000E-01    5.7679892E-01
  5.7450002E-01    5.9927386E-01
  5.7500005E-01    6.2102228E-01
  5.7550001E-01    6.4155400E-01
  5.7600003E-01    6.6181302E-01
  5.7650000E-01    6.8136281E-01
  5.7700002E-01    6.9970030E-01
  5.7750005E-01    7.1761042E-01
  5.7800001E-01    7.3462665E-01
  5.7850003E-01    7.5114834E-01
  5.7900006E-01    7.6650321E-01
  5.7950002E-01    7.8129870E-01
  5.8000004E-01    7.9546404E-01
  5.8050001E-01    8.0903292E-01
  5.8100003E-01    8.2190841E-01
  5.8150005E-01    8.3396125E-01
  5.8200002E-01    8.4571695E-01
  5.8250004E-01    8.5659444E-01
  5.8300000E-01    8.6675590E-01
  5.8350003E-01    8.7641251E-01
  5.8400005E-01    8.8553923E-01
  5.8450001E-01    8.9453351E-01
  5.8500004E-01    9.0272146E-01
  5.8550000E-01    9.1052371E-01
  5.8600003E-01    9.1798759E-01
  5.8650005E-01    9.2461103E-01
  5.8700001E-01    9.3095797E-01
  5.8750004E-01    9.3701762E-01
  5.8800000E-01    9.4262767E-01
  5.8850002E-01    9.4781363E-01
  5.8900005E-01    9.5294172E-01
  5.8950001E-01    9.5729876E-01
  5.9000003E-01    9.6190745E-01
  5.9050006E-01    9.6583700E-01
  5.9100002E-01    9.6931988E-01
  5.9150004E-01    9.7258276E-01
  5.9200001E-01    9.7551477E-01
  5.9250003E-01    9.7871637E-01
  5.9300005E-01    9.8114175E-01
  5.9350002E-01    9.8388964E-01
  5.9400004E-01    9.8607361E-01
  5.9450001E-01    9.8802900E-01
  5.9500003E-01    9.9001765E-01
