# wave[microns]    norm_trans
  3.0000001E-01    3.8919185E-04
  3.0050001E-01    3.8745991E-04
  3.0100003E-01    3.9221058E-04
  3.0150002E-01    3.7917154E-04
  3.0200002E-01    3.8584429E-04
  3.0250001E-01    3.8546778E-04
  3.0300000E-01    3.9882178E-04
  3.0350003E-01    3.9217866E-04
  3.0400002E-01    3.8951280E-04
  3.0450001E-01    3.8274951E-04
  3.0500001E-01    3.8520058E-04
  3.0550000E-01    3.8191222E-04
  3.0600002E-01    3.9995005E-04
  3.0650002E-01    3.9437643E-04
  3.0700001E-01    3.8629820E-04
  3.0750000E-01    3.8853570E-04
  3.0800003E-01    3.8209857E-04
  3.0850002E-01    3.8697253E-04
  3.0900002E-01    3.7924771E-04
  3.0950001E-01    3.9330762E-04
  3.1000000E-01    3.8189846E-04
  3.1050003E-01    3.8684293E-04
  3.1100002E-01    3.9318987E-04
  3.1150001E-01    3.8993300E-04
  3.1200001E-01    3.7231480E-04
  3.1250000E-01    3.7443780E-04
  3.1300002E-01    3.7750910E-04
  3.1350002E-01    3.8968882E-04
  3.1400001E-01    3.9457489E-04
  3.1450000E-01    3.7300462E-04
  3.1500003E-01    3.9517018E-04
  3.1550002E-01    3.6801829E-04
  3.1600001E-01    3.9463973E-04
  3.1650001E-01    3.8483070E-04
  3.1700000E-01    3.7542538E-04
  3.1750003E-01    3.8517758E-04
  3.1800002E-01    4.0099543E-04
  3.1850001E-01    3.9401246E-04
  3.1900001E-01    4.0519348E-04
  3.1950003E-01    4.0208467E-04
  3.2000002E-01    3.7963776E-04
  3.2050002E-01    3.9569684E-04
  3.2100001E-01    3.9358760E-04
  3.2150000E-01    3.8053858E-04
  3.2200003E-01    3.9699493E-04
  3.2250002E-01    3.8283633E-04
  3.2300001E-01    3.8226691E-04
  3.2350001E-01    3.9465414E-04
  3.2400000E-01    3.8788692E-04
  3.2450002E-01    3.7918601E-04
  3.2500002E-01    3.9184990E-04
  3.2550001E-01    3.9580927E-04
  3.2600001E-01    3.8365935E-04
  3.2650003E-01    3.8579988E-04
  3.2700002E-01    3.9976661E-04
  3.2750002E-01    3.9534745E-04
  3.2800001E-01    3.9156043E-04
  3.2850000E-01    4.0849732E-04
  3.2900003E-01    3.9069410E-04
  3.2950002E-01    3.9345329E-04
  3.3000001E-01    3.8742422E-04
  3.3050001E-01    3.8944161E-04
  3.3100003E-01    3.8376945E-04
  3.3150002E-01    3.9502760E-04
  3.3200002E-01    3.9112350E-04
  3.3250001E-01    3.8233842E-04
  3.3300000E-01    3.8365697E-04
  3.3350003E-01    3.9439384E-04
  3.3400002E-01    3.8892357E-04
  3.3450001E-01    3.8152537E-04
  3.3500001E-01    4.0226468E-04
  3.3550000E-01    4.1742923E-04
  3.3600003E-01    4.0610804E-04
  3.3650002E-01    4.0709940E-04
  3.3700001E-01    3.9038560E-04
  3.3750001E-01    3.9639135E-04
  3.3800003E-01    3.9050233E-04
  3.3850002E-01    3.9899212E-04
  3.3900002E-01    3.7704103E-04
  3.3950001E-01    4.0259428E-04
  3.4000000E-01    4.1601737E-04
  3.4050003E-01    4.0676846E-04
  3.4100002E-01    4.0434432E-04
  3.4150001E-01    3.9633107E-04
  3.4200001E-01    3.7481918E-04
  3.4250003E-01    3.8955823E-04
  3.4300002E-01    3.7171124E-04
  3.4350002E-01    3.8229211E-04
  3.4400001E-01    3.7975496E-04
  3.4450001E-01    3.7215091E-04
  3.4500003E-01    3.7496039E-04
  3.4550002E-01    3.8806151E-04
  3.4600002E-01    3.9741868E-04
  3.4650001E-01    4.0022109E-04
  3.4700000E-01    3.8315062E-04
  3.4750003E-01    3.9177551E-04
  3.4800002E-01    3.7388384E-04
  3.4850001E-01    3.9159713E-04
  3.4900001E-01    3.8854647E-04
  3.4950003E-01    4.0787488E-04
  3.5000002E-01    4.0601607E-04
  3.5050002E-01    3.9703533E-04
  3.5100001E-01    4.0257737E-04
  3.5150000E-01    4.0191977E-04
  3.5200003E-01    3.8356587E-04
  3.5250002E-01    3.8530631E-04
  3.5300002E-01    3.9365821E-04
  3.5350001E-01    3.8476265E-04
  3.5400000E-01    3.9503517E-04
  3.5450003E-01    3.7914905E-04
  3.5500002E-01    3.8296822E-04
  3.5550001E-01    3.8773404E-04
  3.5600001E-01    3.8631476E-04
  3.5650003E-01    3.9223852E-04
  3.5700002E-01    4.1049227E-04
  3.5750002E-01    4.0038206E-04
  3.5800001E-01    3.9880347E-04
