# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  6.4950001E-01    2.4713477E-04
  6.5000004E-01    5.5605330E-04
  6.5020007E-01    8.9586357E-04
  6.5040004E-01    1.2356739E-03
  6.5050006E-01    1.6681597E-03
  6.5060002E-01    2.3168887E-03
  6.5070003E-01    2.9347257E-03
  6.5079999E-01    3.5834543E-03
  6.5090007E-01    4.2321831E-03
  6.5100002E-01    5.7149921E-03
  6.5109998E-01    8.0318805E-03
  6.5120006E-01    1.0379661E-02
  6.5130001E-01    0.0000000E+00
  6.5140003E-01    4.3866425E-03
  6.5150005E-01    5.6223162E-03
  6.5160000E-01    7.3831519E-03
  6.5170002E-01    9.7309323E-03
  6.5180004E-01    1.2696550E-02
  6.5190005E-01    1.6743381E-02
  6.5200001E-01    2.2303915E-02
  6.5210003E-01    2.9223690E-02
  6.5220004E-01    3.7966080E-02
  6.5230000E-01    4.8901800E-02
  6.5240008E-01    6.2710457E-02
  6.5250003E-01    7.9453833E-02
  6.5259999E-01    9.9317290E-02
  6.5270007E-01    1.2211548E-01
  6.5280002E-01    1.4831176E-01
  6.5290004E-01    1.7861667E-01
  6.5300006E-01    2.1222700E-01
  6.5310001E-01    2.4821599E-01
  6.5320003E-01    2.8695437E-01
  6.5330005E-01    3.2912177E-01
  6.5340006E-01    3.7425473E-01
  6.5350002E-01    4.2170462E-01
  6.5359998E-01    4.7131690E-01
  6.5370005E-01    5.2451271E-01
  6.5380001E-01    5.8129191E-01
  6.5390003E-01    6.4014089E-01
  6.5400004E-01    6.9954586E-01
  6.5410000E-01    7.5796241E-01
  6.5420002E-01    8.1464893E-01
  6.5430003E-01    8.6747396E-01
  6.5440005E-01    9.1273052E-01
  6.5450001E-01    9.4893575E-01
  6.5460002E-01    9.7516298E-01
  6.5470004E-01    9.9119586E-01
  6.5480000E-01    9.9873346E-01
  6.5490007E-01    1.0000000E+00
  6.5500003E-01    9.9725068E-01
  6.5509999E-01    9.9258602E-01
  6.5520006E-01    9.8684007E-01
  6.5530002E-01    9.8038375E-01
  6.5540004E-01    9.7321677E-01
  6.5550005E-01    9.6410370E-01
  6.5560001E-01    9.5270461E-01
  6.5570003E-01    9.3957549E-01
  6.5580004E-01    9.2419136E-01
  6.5590006E-01    9.0559453E-01
  6.5600002E-01    8.8446444E-01
  6.5610003E-01    8.6126477E-01
  6.5620005E-01    8.3614963E-01
  6.5630001E-01    8.0896479E-01
  6.5640008E-01    7.8023541E-01
  6.5650004E-01    7.5002319E-01
  6.5660000E-01    7.1761763E-01
  6.5670002E-01    6.8246269E-01
  6.5680003E-01    6.4421856E-01
  6.5690005E-01    6.0273081E-01
  6.5700001E-01    5.5762875E-01
  6.5710002E-01    5.0885051E-01
  6.5720004E-01    4.5516050E-01
  6.5730000E-01    3.9711469E-01
  6.5740007E-01    3.3857465E-01
  6.5750003E-01    2.8232059E-01
  6.5759999E-01    2.2720954E-01
  6.5770006E-01    1.7747366E-01
  6.5780002E-01    1.3617127E-01
  6.5790004E-01    1.0215934E-01
  6.5800005E-01    7.5746812E-02
  6.5810001E-01    5.2547034E-02
  6.5820003E-01    6.0949616E-02
  6.5830004E-01    5.8756296E-02
  6.5840006E-01    5.6593865E-02
  6.5850002E-01    5.4431435E-02
  6.5860003E-01    4.6492230E-02
  6.5870005E-01    3.8583916E-02
  6.5880001E-01    3.0675605E-02
  6.5890008E-01    2.2767290E-02
  6.5900004E-01    1.4858979E-02
  6.5910000E-01    1.2820117E-02
  6.5920007E-01    1.0750363E-02
  6.5930003E-01    8.6806091E-03
  6.5940005E-01    6.6108555E-03
  6.5950000E-01    4.5719934E-03
  6.5960002E-01    4.0159402E-03
  6.5970004E-01    3.4907789E-03
  6.5979999E-01    2.9347257E-03
  6.5990007E-01    2.4095641E-03
  6.6000003E-01    1.8844027E-03
  6.6020006E-01    1.5137006E-03
  6.6040003E-01    1.1738903E-03
  6.6070002E-01    8.0318807E-04
  6.6130000E-01    4.3248589E-04
  1.2000000E+00    9.2675546E-05
