# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  6.6050005E-01    9.8876750E-05
  6.6250002E-01    2.9663029E-04
  6.6350001E-01    5.7348516E-04
  6.6400003E-01    8.1078941E-04
  6.6450006E-01    1.2260717E-03
  6.6500002E-01    1.8391076E-03
  6.6550004E-01    2.9069767E-03
  6.6600001E-01    4.7263089E-03
  6.6650003E-01    7.9694660E-03
  6.6700006E-01    1.4080050E-02
  6.6750002E-01    2.5945261E-02
  6.6800004E-01    4.8864890E-02
  6.6850001E-01    9.1480769E-02
  6.6900003E-01    1.6403654E-01
  6.6950005E-01    2.7187154E-01
  6.7000002E-01    4.0887517E-01
  6.7050004E-01    5.6581235E-01
  6.7100000E-01    7.1497780E-01
  6.7150003E-01    8.3738720E-01
  6.7200005E-01    9.2309362E-01
  6.7250001E-01    9.7269017E-01
  6.7300004E-01    9.9471986E-01
  6.7350006E-01    1.0000000E+00
  6.7400002E-01    9.9620306E-01
  6.7450005E-01    9.8631543E-01
  6.7500001E-01    9.6628296E-01
  6.7550004E-01    9.2325181E-01
  6.7600006E-01    8.4474367E-01
  6.7650002E-01    7.3081785E-01
  6.7700005E-01    5.9877783E-01
  6.7750001E-01    4.5740387E-01
  6.7800003E-01    3.2028159E-01
  6.7850006E-01    2.0783894E-01
  6.7900002E-01    1.3037889E-01
  6.7950004E-01    8.2008377E-02
  6.8000001E-01    5.2701313E-02
  6.8050003E-01    3.4389336E-02
  6.8100005E-01    2.2781204E-02
  6.8150002E-01    1.5266571E-02
  6.8200004E-01    1.0362283E-02
  6.8250000E-01    7.0202495E-03
  6.8300003E-01    4.7856350E-03
  6.8350005E-01    3.1838317E-03
  6.8400002E-01    2.1357378E-03
  6.8450004E-01    1.4040499E-03
  6.8500006E-01    9.4921683E-04
  6.8550003E-01    6.3281122E-04
  6.8650001E-01    2.9663029E-04
  1.2000000E+00    9.8876750E-05
