# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  5.4200006E-01    3.7301834E-05
  5.4400003E-01    1.6164128E-04
  5.4500002E-01    3.2328255E-04
  5.4550004E-01    4.9735775E-04
  5.4600000E-01    7.0873479E-04
  5.4650003E-01    9.9471549E-04
  5.4700005E-01    1.3428660E-03
  5.4750001E-01    1.8029220E-03
  5.4800004E-01    2.4743550E-03
  5.4850000E-01    3.3820330E-03
  5.4900002E-01    4.6254275E-03
  5.4950005E-01    6.1921049E-03
  5.5000001E-01    8.3183087E-03
  5.5050004E-01    1.0966740E-02
  5.5100000E-01    1.4336338E-02
  5.5150002E-01    1.8638482E-02
  5.5200005E-01    2.3811003E-02
  5.5250001E-01    3.0127447E-02
  5.5300003E-01    3.7724588E-02
  5.5350000E-01    4.6565123E-02
  5.5400002E-01    5.6897730E-02
  5.5450004E-01    6.8734847E-02
  5.5500001E-01    8.1914827E-02
  5.5550003E-01    9.7034499E-02
  5.5600005E-01    1.1349704E-01
  5.5650002E-01    1.3158843E-01
  5.5700004E-01    1.5115947E-01
  5.5750000E-01    1.7196146E-01
  5.5800003E-01    1.9471557E-01
  5.5850005E-01    2.1795462E-01
  5.5900002E-01    2.4241218E-01
  5.5950004E-01    2.6788935E-01
  5.6000000E-01    2.9375193E-01
  5.6050003E-01    3.2019892E-01
  5.6100005E-01    3.4704384E-01
  5.6150001E-01    3.7385142E-01
  5.6200004E-01    4.0082064E-01
  5.6250000E-01    4.2785203E-01
  5.6300002E-01    4.5443583E-01
  5.6350005E-01    4.8099470E-01
  5.6400001E-01    5.0665838E-01
  5.6450003E-01    5.3188682E-01
  5.6500000E-01    5.5694127E-01
  5.6550002E-01    5.8061552E-01
  5.6600004E-01    6.0376745E-01
  5.6650001E-01    6.2586260E-01
  5.6700003E-01    6.4714956E-01
  5.6750005E-01    6.6782719E-01
  5.6800002E-01    6.8734848E-01
  5.6850004E-01    7.0458192E-01
  5.6900001E-01    7.2039783E-01
  5.6950003E-01    7.3707181E-01
  5.7000005E-01    7.5314885E-01
  5.7050002E-01    7.6885301E-01
  5.7100004E-01    7.8356230E-01
  5.7150000E-01    7.9764998E-01
  5.7200003E-01    8.1096673E-01
  5.7250005E-01    8.2404721E-01
  5.7300001E-01    8.3604598E-01
  5.7350004E-01    8.4727389E-01
  5.7400000E-01    8.5812873E-01
  5.7450002E-01    8.6787689E-01
  5.7500005E-01    8.7722725E-01
  5.7550001E-01    8.8640350E-01
  5.7600003E-01    8.9441097E-01
  5.7650000E-01    9.0195829E-01
  5.7700002E-01    9.0935653E-01
  5.7750005E-01    9.1602117E-01
  5.7800001E-01    9.2253649E-01
  5.7850003E-01    9.2834318E-01
  5.7900006E-01    9.3406278E-01
  5.7950002E-01    9.3928510E-01
  5.8000004E-01    9.4409698E-01
  5.8050001E-01    9.4868511E-01
  5.8100003E-01    9.5312405E-01
  5.8150005E-01    9.5699096E-01
  5.8200002E-01    9.6058440E-01
  5.8250004E-01    9.6402860E-01
  5.8300000E-01    9.6732360E-01
  5.8350003E-01    9.7029531E-01
  5.8400005E-01    9.7317994E-01
  5.8450001E-01    9.7577870E-01
  5.8500004E-01    9.7805411E-01
  5.8550000E-01    9.8021758E-01
  5.8600003E-01    9.8229402E-01
  5.8650005E-01    9.8418403E-01
  5.8700001E-01    9.8606151E-01
