# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  7.9900002E-01    7.6867327E-05
  8.0700004E-01    1.8667779E-04
  8.1100005E-01    2.9648823E-04
  8.1400001E-01    4.0629870E-04
  8.1800002E-01    5.1610917E-04
  8.2250005E-01    4.0629870E-04
  8.2700002E-01    2.7452616E-04
  8.3150005E-01    1.6471570E-04
  9.2400002E-01    5.4905231E-05
  9.3150002E-01    1.6471570E-04
  9.3300003E-01    2.9648823E-04
  9.3400002E-01    4.1727978E-04
  9.3450004E-01    5.3807127E-04
  9.3500006E-01    6.5886282E-04
  9.3550003E-01    7.9063536E-04
  9.3600005E-01    9.2240790E-04
  9.3650007E-01    1.0981046E-03
  9.3700004E-01    1.2738013E-03
  9.3750006E-01    1.4934223E-03
  9.3800002E-01    1.7130432E-03
  9.3850005E-01    1.9875695E-03
  9.3900007E-01    2.2620957E-03
  9.3950003E-01    2.6244700E-03
  9.4000006E-01    2.9868446E-03
  9.4050002E-01    3.5578590E-03
  9.4100004E-01    4.1288733E-03
  9.4150007E-01    5.1171677E-03
  9.4200003E-01    6.1054616E-03
  9.4250005E-01    8.1040123E-03
  9.4300002E-01    1.0091581E-02
  9.4350004E-01    1.4341246E-02
  9.4400007E-01    1.8590912E-02
  9.4450003E-01    2.9220564E-02
  9.4500005E-01    3.9839234E-02
  9.4550002E-01    6.4700328E-02
  9.4600004E-01    8.9572392E-02
  9.4650006E-01    1.4166649E-01
  9.4700003E-01    1.9377154E-01
  9.4750005E-01    2.7502030E-01
  9.4800007E-01    3.5625806E-01
  9.4850004E-01    4.5652604E-01
  9.4900006E-01    5.5679393E-01
  9.4950002E-01    6.5482175E-01
  9.5000005E-01    7.5284958E-01
  9.5050007E-01    8.2324904E-01
  9.5100003E-01    8.9363754E-01
  9.5150006E-01    9.3237871E-01
  9.5200002E-01    9.7110885E-01
  9.5250005E-01    9.8467046E-01
  9.5300007E-01    9.9822104E-01
  9.5350003E-01    9.9911052E-01
  9.5400006E-01    1.0000000E+00
  9.5450002E-01    9.9398232E-01
  9.5500004E-01    9.8795372E-01
  9.5550007E-01    9.6948367E-01
  9.5600003E-01    9.5102453E-01
  9.5650005E-01    9.0992242E-01
  9.5700002E-01    8.6883134E-01
  9.5750004E-01    7.9904681E-01
  9.5800006E-01    7.2926229E-01
  9.5850003E-01    6.3638461E-01
  9.5900005E-01    5.4349589E-01
  9.5950007E-01    4.4961894E-01
  9.6000004E-01    3.5574198E-01
  9.6050006E-01    2.7751300E-01
  9.6100003E-01    1.9928403E-01
  9.6150005E-01    1.4992422E-01
  9.6200007E-01    1.0056443E-01
  9.6250004E-01    7.5736277E-02
  9.6300006E-01    5.0908133E-02
  9.6350002E-01    3.8971733E-02
  9.6400005E-01    2.7035337E-02
  9.6450007E-01    2.1413041E-02
  9.6500003E-01    1.5790744E-02
  9.6550006E-01    1.2770956E-02
  9.6600002E-01    9.7511690E-03
  9.6650004E-01    8.0161644E-03
  9.6700007E-01    6.2921396E-03
  9.6750003E-01    5.2928641E-03
  9.6800005E-01    4.2826082E-03
  9.6850002E-01    3.6237452E-03
  9.6900004E-01    2.9648826E-03
  9.6950006E-01    2.5256407E-03
  9.7000003E-01    2.0863989E-03
  9.7050005E-01    1.7679485E-03
  9.7100008E-01    1.4604792E-03
  9.7150004E-01    1.2518392E-03
  9.7200006E-01    1.0322183E-03
  9.7250003E-01    8.7848370E-04
  9.7350007E-01    6.2591961E-04
  9.7450006E-01    4.5022290E-04
  9.7550005E-01    3.2943141E-04
  9.7750002E-01    1.8667779E-04
  1.2000000E+00    6.5886277E-05
