# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  8.6400002E-01    1.0136847E-04
  8.7150002E-01    2.1400012E-04
  8.7950003E-01    3.2663177E-04
  8.8250005E-01    4.3926339E-04
  8.8400006E-01    5.5189506E-04
  8.8500005E-01    6.6452671E-04
  8.8600004E-01    8.3347410E-04
  8.8700002E-01    1.0249480E-03
  8.8750005E-01    1.1713691E-03
  8.8800007E-01    1.3290534E-03
  8.8850003E-01    1.5317902E-03
  8.8900006E-01    1.7457905E-03
  8.8950002E-01    2.0498959E-03
  8.9000005E-01    2.3427382E-03
  8.9050007E-01    2.8045280E-03
  8.9100003E-01    3.2550544E-03
  8.9150006E-01    3.9646337E-03
  8.9200002E-01    4.6742130E-03
  8.9250004E-01    5.8005294E-03
  8.9300007E-01    6.9268458E-03
  8.9350003E-01    8.7176887E-03
  8.9400005E-01    1.0508532E-02
  8.9450002E-01    1.3741060E-02
  8.9500004E-01    1.6984852E-02
  8.9550006E-01    2.2424961E-02
  8.9600003E-01    2.7876331E-02
  8.9650005E-01    3.7112124E-02
  8.9700001E-01    4.6359181E-02
  8.9750004E-01    6.2814660E-02
  8.9800006E-01    7.9270154E-02
  8.9850003E-01    1.0415047E-01
  8.9900005E-01    1.2903081E-01
  8.9950007E-01    1.6537705E-01
  9.0000004E-01    2.0171200E-01
  9.0050006E-01    2.4442193E-01
  9.0100002E-01    2.8713182E-01
  9.0150005E-01    3.2934615E-01
  9.0200007E-01    3.7156054E-01
  9.0250003E-01    4.2096075E-01
  9.0300006E-01    4.7036099E-01
  9.0350002E-01    5.2569693E-01
  9.0400004E-01    5.8103281E-01
  9.0450007E-01    6.3322639E-01
  9.0500003E-01    6.8540859E-01
  9.0550005E-01    7.2784823E-01
  9.0600002E-01    7.7028781E-01
  9.0650004E-01    8.0255675E-01
  9.0700006E-01    8.3482569E-01
  9.0750003E-01    8.5632712E-01
  9.0800005E-01    8.7782848E-01
  9.0850002E-01    8.9229035E-01
  9.0900004E-01    9.0675229E-01
  9.0950006E-01    9.1741854E-01
  9.1000003E-01    9.2809600E-01
  9.1050005E-01    9.3719661E-01
  9.1100007E-01    9.4630849E-01
  9.1150004E-01    9.5495862E-01
  9.1200006E-01    9.6360868E-01
  9.1250002E-01    9.7114378E-01
  9.1300005E-01    9.7869009E-01
  9.1350007E-01    9.8530161E-01
  9.1400003E-01    9.9191308E-01
  9.1450006E-01    9.9595654E-01
  9.1500002E-01    1.0000000E+00
