# wave[microns]    norm_trans
  3.0000001E-01    0.0000000E+00
  4.3000001E-01    9.1835798E-05
  4.3100002E-01    2.1811003E-04
  4.3150002E-01    3.5586374E-04
  4.3200001E-01    5.2805588E-04
  4.3250003E-01    7.6912477E-04
  4.3300003E-01    1.1020296E-03
  4.3350002E-01    1.5267702E-03
  4.3400002E-01    2.0433466E-03
  4.3450001E-01    2.6976767E-03
  4.3500003E-01    3.4208838E-03
  4.3550003E-01    4.3277619E-03
  4.3600002E-01    5.3149969E-03
  4.3650001E-01    6.3940678E-03
  4.3700001E-01    7.6223710E-03
  4.3750003E-01    8.9425109E-03
  4.3800002E-01    1.0400404E-02
  4.3850002E-01    1.1938654E-02
  4.3900001E-01    1.3442465E-02
  4.3950003E-01    1.4957756E-02
  4.4000003E-01    1.6599322E-02
  4.4050002E-01    1.8401599E-02
  4.4100001E-01    2.0284232E-02
  4.4150001E-01    2.2235744E-02
  4.4200003E-01    2.4313528E-02
  4.4250003E-01    2.6494630E-02
  4.4300002E-01    2.8664250E-02
  4.4350001E-01    3.0948665E-02
  4.4400004E-01    3.3244561E-02
  4.4450003E-01    3.5609331E-02
  4.4500002E-01    3.8100377E-02
  4.4550002E-01    4.0683262E-02
  4.4600001E-01    4.3289099E-02
  4.4650003E-01    4.5963820E-02
  4.4700003E-01    4.8627056E-02
  4.4750002E-01    5.1428046E-02
  4.4800001E-01    5.4309394E-02
  4.4850001E-01    5.7282578E-02
  4.4900003E-01    6.0416475E-02
  4.4950002E-01    6.3596293E-02
  4.5000002E-01    6.6856466E-02
  4.5050001E-01    7.0277348E-02
  4.5100003E-01    7.3778585E-02
  4.5150003E-01    7.7543855E-02
  4.5200002E-01    8.1389479E-02
  4.5250002E-01    8.5372850E-02
  4.5300001E-01    8.9562863E-02
  4.5350003E-01    9.3890630E-02
  4.5400003E-01    9.8413542E-02
  4.5450002E-01    1.0324639E-01
  4.5500001E-01    1.0822849E-01
  4.5550004E-01    1.1342870E-01
  4.5600003E-01    1.1896180E-01
  4.5650002E-01    1.2460970E-01
  4.5700002E-01    1.3055606E-01
  4.5750001E-01    1.3680090E-01
