# wave[microns]    norm_trans
  1.4501200E+00    5.7177455E-03
  1.4503300E+00    4.2206738E-03
  1.4505399E+00    2.3853276E-03
  1.4507500E+00    2.8077955E-04
  1.4509600E+00    0.0000000E+00
  1.4511700E+00    0.0000000E+00
  1.4513800E+00    0.0000000E+00
  1.4515899E+00    5.2792236E-04
  1.4518000E+00    3.9319545E-03
  1.4520100E+00    6.0458640E-03
  1.4522200E+00    5.8033066E-03
  1.4524300E+00    3.9475653E-03
  1.4526401E+00    1.6773178E-03
  1.4528500E+00    0.0000000E+00
  1.4530700E+00    0.0000000E+00
  1.4532800E+00    0.0000000E+00
  1.4534900E+00    0.0000000E+00
  1.4536999E+00    0.0000000E+00
  1.4539100E+00    0.0000000E+00
  1.4541200E+00    0.0000000E+00
  1.4543300E+00    0.0000000E+00
  1.4545500E+00    0.0000000E+00
  1.4547600E+00    1.5281740E-03
  1.4549700E+00    3.1982500E-03
  1.4551800E+00    3.7352822E-03
  1.4553900E+00    2.9638573E-03
  1.4556000E+00    2.1349404E-03
  1.4558200E+00    2.7896545E-03
  1.4560300E+00    5.8653308E-03
  1.4562401E+00    1.0969907E-02
  1.4564500E+00    1.6255928E-02
  1.4566600E+00    1.8816035E-02
  1.4568800E+00    1.8433435E-02
  1.4570900E+00    1.6109891E-02
  1.4572999E+00    1.3179413E-02
  1.4575100E+00    1.0978397E-02
  1.4577301E+00    9.3171811E-03
  1.4579400E+00    7.2266157E-03
  1.4581500E+00    5.3223269E-03
  1.4583600E+00    4.1770898E-03
  1.4585800E+00    4.4550663E-03
  1.4587899E+00    6.2965150E-03
  1.4590000E+00    8.4296931E-03
  1.4592100E+00    9.8162061E-03
  1.4594300E+00    1.0766821E-02
  1.4596400E+00    1.1590378E-02
  1.4598500E+00    1.2767676E-02
  1.4600700E+00    1.4378893E-02
  1.4602799E+00    1.5596119E-02
  1.4604900E+00    1.5754387E-02
  1.4607100E+00    1.5493845E-02
  1.4609200E+00    1.4257075E-02
  1.4611300E+00    1.1911003E-02
  1.4613500E+00    8.5425908E-03
  1.4615600E+00    4.3914714E-03
  1.4617701E+00    4.7441814E-04
  1.4619900E+00    0.0000000E+00
  1.4622000E+00    0.0000000E+00
  1.4624200E+00    0.0000000E+00
  1.4626300E+00    3.8511778E-04
  1.4628400E+00    1.6183269E-03
  1.4630600E+00    3.2242681E-03
  1.4632699E+00    6.1903917E-03
  1.4634900E+00    1.0101471E-02
  1.4637001E+00    1.4709817E-02
  1.4639100E+00    1.8838575E-02
  1.4641300E+00    2.1151327E-02
  1.4643400E+00    2.2272395E-02
  1.4645600E+00    2.2766860E-02
  1.4647700E+00    2.1523258E-02
  1.4649900E+00    1.9094922E-02
  1.4651999E+00    1.6363839E-02
  1.4654200E+00    1.3348833E-02
  1.4656301E+00    1.1989346E-02
  1.4658500E+00    1.2840096E-02
  1.4660600E+00    1.4857175E-02
  1.4662800E+00    1.6538292E-02
  1.4664900E+00    1.6873773E-02
  1.4667100E+00    1.5784601E-02
  1.4669200E+00    1.3857688E-02
  1.4671400E+00    1.1834350E-02
  1.4673500E+00    9.9056866E-03
  1.4675699E+00    8.6754998E-03
  1.4677800E+00    8.6021693E-03
  1.4680001E+00    1.0047360E-02
  1.4682100E+00    1.2963473E-02
  1.4684300E+00    1.5649235E-02
  1.4686400E+00    1.5878605E-02
  1.4688600E+00    1.3584916E-02
  1.4690800E+00    1.0035730E-02
  1.4692900E+00    7.3103420E-03
  1.4695100E+00    7.0067309E-03
  1.4697200E+00    8.8224374E-03
  1.4699399E+00    1.1268291E-02
  1.4701600E+00    1.3297635E-02
  1.4703701E+00    1.4460905E-02
  1.4705900E+00    1.5351882E-02
  1.4708000E+00    1.6242020E-02
  1.4710200E+00    1.6344896E-02
  1.4712400E+00    1.6343577E-02
  1.4714500E+00    1.4805739E-02
  1.4716700E+00    1.1848344E-02
  1.4718900E+00    9.5217787E-03
  1.4721000E+00    8.7693697E-03
  1.4723200E+00    9.4405469E-03
  1.4725400E+00    1.1197694E-02
  1.4727499E+00    1.3815723E-02
  1.4729700E+00    1.6309883E-02
  1.4731899E+00    1.8120615E-02
  1.4734100E+00    1.9503543E-02
  1.4736201E+00    2.0813329E-02
  1.4738400E+00    2.2687247E-02
  1.4740601E+00    2.5477441E-02
  1.4742700E+00    2.9057778E-02
  1.4744900E+00    3.2495789E-02
  1.4747100E+00    3.3841670E-02
  1.4749300E+00    3.3163995E-02
  1.4751400E+00    3.0346943E-02
  1.4753600E+00    2.6803175E-02
  1.4755800E+00    2.4013102E-02
  1.4758000E+00    2.2594327E-02
  1.4760100E+00    2.2496607E-02
  1.4762300E+00    2.4128685E-02
  1.4764500E+00    2.6662415E-02
  1.4766700E+00    2.8875649E-02
  1.4768900E+00    3.0337950E-02
  1.4771000E+00    3.0729065E-02
  1.4773200E+00    2.9875856E-02
  1.4775400E+00    2.8365355E-02
  1.4777600E+00    2.7129304E-02
  1.4779800E+00    2.6491916E-02
  1.4782000E+00    2.7728325E-02
  1.4784200E+00    3.0139396E-02
  1.4786299E+00    3.3061601E-02
  1.4788500E+00    3.6240987E-02
  1.4790699E+00    3.9037418E-02
  1.4792900E+00    4.0179823E-02
  1.4795099E+00    3.9889067E-02
  1.4797300E+00    3.8799297E-02
  1.4799500E+00    3.7936855E-02
  1.4801700E+00    3.8076419E-02
  1.4803801E+00    3.9218709E-02
  1.4806000E+00    4.1394174E-02
  1.4808199E+00    4.3919988E-02
  1.4810400E+00    4.5355313E-02
  1.4812599E+00    4.4943694E-02
  1.4814800E+00    4.4508819E-02
  1.4816999E+00    4.4356186E-02
  1.4819200E+00    4.4614807E-02
  1.4821399E+00    4.6770010E-02
  1.4823600E+00    5.0711729E-02
  1.4825799E+00    5.5423919E-02
  1.4828000E+00    6.0040552E-02
  1.4830199E+00    6.4201079E-02
  1.4832400E+00    6.6233151E-02
  1.4834599E+00    6.7227483E-02
  1.4836800E+00    6.7427471E-02
  1.4839000E+00    6.7767628E-02
  1.4841200E+00    6.7974932E-02
  1.4843400E+00    6.7900360E-02
  1.4845600E+00    6.7910314E-02
  1.4847800E+00    6.9889255E-02
  1.4850000E+00    7.4180961E-02
  1.4852200E+00    7.9911582E-02
  1.4854400E+00    8.5825182E-02
  1.4856600E+00    8.8847257E-02
  1.4858800E+00    8.7833628E-02
  1.4861000E+00    8.3579570E-02
  1.4863300E+00    7.8545079E-02
  1.4865500E+00    7.5600460E-02
  1.4867700E+00    7.6609775E-02
  1.4869900E+00    7.9878978E-02
  1.4872100E+00    8.5045099E-02
  1.4874300E+00    9.1104016E-02
  1.4876500E+00    9.6779719E-02
  1.4878700E+00    1.0165738E-01
  1.4881001E+00    1.0606886E-01
  1.4883200E+00    1.0966119E-01
  1.4885401E+00    1.1158558E-01
  1.4887600E+00    1.1212309E-01
  1.4889801E+00    1.1240738E-01
  1.4892000E+00    1.1083153E-01
  1.4894300E+00    1.0938901E-01
  1.4896500E+00    1.0991837E-01
  1.4898700E+00    1.1235378E-01
  1.4900900E+00    1.1713204E-01
  1.4903100E+00    1.2429558E-01
  1.4905400E+00    1.3224375E-01
  1.4907600E+00    1.3783349E-01
  1.4909800E+00    1.4282495E-01
  1.4912000E+00    1.4603107E-01
  1.4914200E+00    1.4754541E-01
  1.4916500E+00    1.4999975E-01
  1.4918700E+00    1.5271550E-01
  1.4920900E+00    1.5564825E-01
  1.4923100E+00    1.6001502E-01
  1.4925400E+00    1.6621384E-01
  1.4927599E+00    1.7296901E-01
  1.4929800E+00    1.7978053E-01
  1.4932100E+00    1.8565564E-01
  1.4934300E+00    1.9054517E-01
  1.4936500E+00    1.9449946E-01
  1.4938800E+00    1.9805810E-01
  1.4941000E+00    2.0129900E-01
  1.4943200E+00    2.0362027E-01
  1.4945400E+00    2.0502909E-01
  1.4947701E+00    2.0587318E-01
  1.4949900E+00    2.0718488E-01
  1.4952199E+00    2.1023755E-01
  1.4954400E+00    2.1426259E-01
  1.4956599E+00    2.1886316E-01
  1.4958900E+00    2.2352846E-01
  1.4961100E+00    2.2821894E-01
  1.4963300E+00    2.3300178E-01
  1.4965600E+00    2.3865387E-01
  1.4967800E+00    2.4629988E-01
  1.4970100E+00    2.5443870E-01
  1.4972301E+00    2.6155236E-01
  1.4974500E+00    2.6916242E-01
  1.4976799E+00    2.7566579E-01
  1.4979000E+00    2.8212002E-01
  1.4981300E+00    2.8953344E-01
  1.4983500E+00    2.9727900E-01
  1.4985800E+00    3.0408332E-01
  1.4988000E+00    3.0984810E-01
  1.4990300E+00    3.1533593E-01
  1.4992501E+00    3.2088012E-01
  1.4994800E+00    3.2779473E-01
  1.4997000E+00    3.3669850E-01
  1.4999300E+00    3.4594283E-01
  1.5001500E+00    3.5407326E-01
  1.5003800E+00    3.6084881E-01
  1.5006000E+00    3.6602488E-01
  1.5008301E+00    3.7019381E-01
  1.5010500E+00    3.7442866E-01
  1.5012800E+00    3.7862280E-01
  1.5015000E+00    3.8387561E-01
  1.5017300E+00    3.9054087E-01
  1.5019500E+00    3.9811015E-01
  1.5021800E+00    4.0610507E-01
  1.5024000E+00    4.1324994E-01
  1.5026300E+00    4.1838044E-01
  1.5028600E+00    4.2213088E-01
  1.5030800E+00    4.2577347E-01
  1.5033100E+00    4.2971581E-01
  1.5035300E+00    4.3503815E-01
  1.5037600E+00    4.4131252E-01
  1.5039901E+00    4.4783029E-01
  1.5042100E+00    4.5732519E-01
  1.5044399E+00    4.6663064E-01
  1.5046600E+00    4.7598043E-01
  1.5048900E+00    4.8471752E-01
  1.5051200E+00    4.9311176E-01
  1.5053400E+00    5.0203711E-01
  1.5055701E+00    5.1225740E-01
  1.5058000E+00    5.2280259E-01
  1.5060199E+00    5.3303969E-01
  1.5062500E+00    5.4079479E-01
  1.5064800E+00    5.4694688E-01
  1.5067000E+00    5.5164218E-01
  1.5069300E+00    5.5776781E-01
  1.5071599E+00    5.6623882E-01
  1.5073900E+00    5.7549268E-01
  1.5076100E+00    5.8346242E-01
  1.5078400E+00    5.8922726E-01
  1.5080700E+00    5.9291172E-01
  1.5082999E+00    5.9497762E-01
  1.5085200E+00    5.9776050E-01
  1.5087500E+00    6.0367393E-01
  1.5089800E+00    6.0888958E-01
  1.5092100E+00    6.1764109E-01
  1.5094301E+00    6.2689739E-01
  1.5096600E+00    6.3573647E-01
  1.5098900E+00    6.4472055E-01
  1.5101200E+00    6.5258241E-01
  1.5103500E+00    6.5856540E-01
  1.5105700E+00    6.6329068E-01
  1.5108000E+00    6.6759747E-01
  1.5110300E+00    6.7267519E-01
  1.5112600E+00    6.7923737E-01
  1.5114900E+00    6.8697691E-01
  1.5117199E+00    6.9445992E-01
  1.5119400E+00    7.0120311E-01
  1.5121700E+00    7.0635635E-01
  1.5124000E+00    7.1031183E-01
  1.5126300E+00    7.1421105E-01
  1.5128599E+00    7.1833920E-01
  1.5130900E+00    7.2235823E-01
  1.5133200E+00    7.2629935E-01
  1.5135500E+00    7.3055941E-01
  1.5137800E+00    7.3548609E-01
  1.5140001E+00    7.4126047E-01
  1.5142300E+00    7.4855518E-01
  1.5144600E+00    7.5518805E-01
  1.5146900E+00    7.6016992E-01
  1.5149200E+00    7.6336765E-01
  1.5151500E+00    7.6527405E-01
  1.5153800E+00    7.6725602E-01
  1.5156100E+00    7.6948613E-01
  1.5158401E+00    7.7206039E-01
  1.5160700E+00    7.7558428E-01
  1.5163000E+00    7.7967650E-01
  1.5165300E+00    7.8443646E-01
  1.5167600E+00    7.9054779E-01
  1.5169899E+00    7.9656559E-01
  1.5172200E+00    8.0200666E-01
  1.5174500E+00    8.0668879E-01
  1.5176800E+00    8.1116819E-01
  1.5179100E+00    8.1518483E-01
  1.5181400E+00    8.1844258E-01
  1.5183700E+00    8.2114148E-01
  1.5186000E+00    8.2342917E-01
  1.5188299E+00    8.2576960E-01
  1.5190600E+00    8.2912564E-01
  1.5193000E+00    8.3376580E-01
  1.5195301E+00    8.3827281E-01
  1.5197600E+00    8.4198374E-01
  1.5199900E+00    8.4471983E-01
  1.5202200E+00    8.4662145E-01
  1.5204500E+00    8.4869093E-01
  1.5206800E+00    8.5137308E-01
  1.5209100E+00    8.5444134E-01
  1.5211400E+00    8.5707670E-01
  1.5213799E+00    8.5928285E-01
  1.5216100E+00    8.6139315E-01
  1.5218400E+00    8.6327076E-01
  1.5220701E+00    8.6481869E-01
  1.5223000E+00    8.6641812E-01
  1.5225300E+00    8.6779696E-01
  1.5227700E+00    8.6900681E-01
  1.5230000E+00    8.7072861E-01
  1.5232300E+00    8.7255228E-01
  1.5234600E+00    8.7443465E-01
  1.5236900E+00    8.7628114E-01
  1.5239300E+00    8.7800413E-01
  1.5241600E+00    8.7907004E-01
  1.5243900E+00    8.7954122E-01
  1.5246201E+00    8.7987572E-01
  1.5248600E+00    8.8056993E-01
  1.5250900E+00    8.8244879E-01
  1.5253201E+00    8.8575679E-01
  1.5255500E+00    8.8982624E-01
  1.5257900E+00    8.9359230E-01
  1.5260201E+00    8.9609700E-01
  1.5262500E+00    8.9721090E-01
  1.5264800E+00    8.9782232E-01
  1.5267200E+00    8.9871448E-01
  1.5269500E+00    9.0018559E-01
  1.5271800E+00    9.0246606E-01
  1.5274200E+00    9.0494084E-01
  1.5276500E+00    9.0690958E-01
  1.5278800E+00    9.0780765E-01
  1.5281200E+00    9.0703434E-01
  1.5283500E+00    9.0447080E-01
  1.5285800E+00    9.0172035E-01
  1.5288200E+00    9.0010047E-01
  1.5290500E+00    9.0015441E-01
  1.5292900E+00    9.0151888E-01
  1.5295200E+00    9.0256917E-01
  1.5297500E+00    9.0194339E-01
  1.5299900E+00    9.0031987E-01
  1.5302200E+00    8.9938712E-01
  1.5304600E+00    9.0052611E-01
  1.5306900E+00    9.0412670E-01
  1.5309200E+00    9.0901262E-01
  1.5311600E+00    9.1339737E-01
  1.5313900E+00    9.1607952E-01
  1.5316300E+00    9.1683018E-01
  1.5318600E+00    9.1641289E-01
  1.5321000E+00    9.1577262E-01
  1.5323300E+00    9.1595250E-01
  1.5325700E+00    9.1739368E-01
  1.5328000E+00    9.1955668E-01
  1.5330400E+00    9.2150861E-01
  1.5332700E+00    9.2222917E-01
  1.5335100E+00    9.2191511E-01
  1.5337400E+00    9.2195350E-01
  1.5339800E+00    9.2321360E-01
  1.5342100E+00    9.2614520E-01
  1.5344501E+00    9.2952150E-01
  1.5346800E+00    9.3164134E-01
  1.5349200E+00    9.3232596E-01
  1.5351599E+00    9.3263060E-01
  1.5353900E+00    9.3331760E-01
  1.5356300E+00    9.3510532E-01
  1.5358599E+00    9.3718672E-01
  1.5361000E+00    9.3845171E-01
  1.5363300E+00    9.3924427E-01
  1.5365700E+00    9.4013989E-01
  1.5368100E+00    9.4131732E-01
  1.5370400E+00    9.4279802E-01
  1.5372800E+00    9.4393593E-01
  1.5375201E+00    9.4435799E-01
  1.5377500E+00    9.4489270E-01
  1.5379900E+00    9.4654858E-01
  1.5382200E+00    9.4831705E-01
  1.5384600E+00    9.5004004E-01
  1.5387000E+00    9.5055079E-01
  1.5389400E+00    9.5008922E-01
  1.5391700E+00    9.5045972E-01
  1.5394100E+00    9.5205194E-01
  1.5396500E+00    9.5445961E-01
  1.5398800E+00    9.5633358E-01
  1.5401200E+00    9.5619690E-01
  1.5403600E+00    9.5399678E-01
  1.5405900E+00    9.5102441E-01
  1.5408300E+00    9.4849932E-01
  1.5410700E+00    9.4718164E-01
